element_type,osmid,access,amenity,female,male,operator,geometry
node,4157449217,private,toilets,yes,yes,中国科学技术大学,POINT (117.260973 31.8379157)
node,4157496617,private,toilets,yes,yes,中国科学技术大学,POINT (117.2649256 31.8404717)
