element_type,osmid,nodes,access,amenity,fee,parking,geometry,covered,lit,opening_hours,supervised
way,156085202,"[1683870883, 1683870875, 1683870881, 1683870902, 1683870883]",permissive,parking,no,surface,"POLYGON ((118.7753032 32.054075, 118.7753302 32.0539134, 118.7759248 32.0539847, 118.7758978 32.0541463, 118.7753032 32.054075))",,,,
way,156224649,"[1684951070, 1684951061, 1684951063, 1684951072, 1684951070]",,parking,,surface,"POLYGON ((118.7741254 32.0597455, 118.7741922 32.0593142, 118.7743517 32.0593319, 118.7742849 32.0597632, 118.7741254 32.0597455))",,,,
way,156224651,"[1030353695, 1684951074, 1684951067, 1684951048, 1684951049, 1030353695]",,parking,,garage_boxes,"POLYGON ((118.77315 32.0595659, 118.7731256 32.0597678, 118.7728679 32.0597455, 118.7729505 32.0590604, 118.7732083 32.0590827, 118.77315 32.0595659))",yes,,,
way,156227973,"[1684973926, 1984699805, 1684973924, 1684973925, 1984699806, 1684973927, 1684973926]",permissive,parking,no,surface,"POLYGON ((118.7756402 32.0532677, 118.7756594 32.0531496, 118.7756651 32.0531144, 118.7762765 32.0531859, 118.7762703 32.0532239, 118.7762516 32.0533392, 118.7756402 32.0532677))",,,,
way,156231218,"[1984514227, 1684982492, 1984514222, 1984514229, 1984514227]",,parking,,surface,"POLYGON ((118.7757817 32.0526855, 118.7757849 32.0524829, 118.7757021 32.0524812, 118.7756989 32.052686, 118.7757817 32.0526855))",,,,
way,156343884,"[1686027132, 1686027130, 1686027131, 1686027133, 1686027132]",,parking,,surface,"POLYGON ((118.7721651 32.0596754, 118.7721681 32.0594738, 118.7726361 32.0594787, 118.7726332 32.0596803, 118.7721651 32.0596754))",,,,
way,156343886,"[1686027135, 1686027138, 1030354684, 1030354668, 1686027135]",,parking,,surface,"POLYGON ((118.7722828 32.0601147, 118.7722802 32.0603717, 118.7727806 32.0603754, 118.7727832 32.0601183, 118.7722828 32.0601147))",,,,
way,316474893,"[3225975171, 3225975172, 3225975175, 3225975174, 3225975171]",permissive,parking,no,surface,"POLYGON ((118.7749712 32.0592229, 118.775134 32.0592476, 118.7751057 32.0593815, 118.7749429 32.0593568, 118.7749712 32.0592229))",,yes,24/7,no
way,316474896,"[3225975173, 3225975176, 3225975178, 3225975177, 3225975173]",,parking,,,"POLYGON ((118.7757874 32.0593386, 118.776115 32.0593861, 118.7760711 32.0596037, 118.7757435 32.0595562, 118.7757874 32.0593386))",,,,
