element_type,osmid,nodes,amenity,fee,parking,geometry,covered
way,156339453,"[1685988970, 1685988961, 1683882110, 1155818326, 1685988970]",bicycle_parking,no,underground,"POLYGON ((118.7768596 32.0536661, 118.7766459 32.0536438, 118.7766241 32.0537929, 118.7768379 32.0538153, 118.7768596 32.0536661))",
way,156339454,"[1155818447, 1685988955, 1685988956, 1685988958, 1155818447]",bicycle_parking,,,"POLYGON ((118.7763803 32.0532573, 118.7763912 32.0531819, 118.7767964 32.0532243, 118.7767854 32.0532997, 118.7763803 32.0532573))",yes
