element_type,osmid,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,amenity,nodes,fast_food,building:levels,height,layer,alt_name,addr:city,addr:housenumber,addr:postcode,addr:street,school
node,1678269048,office,一教,一教,一教,一教,POINT (116.3355041 39.9511389),,,,,,,,,,,,
node,1678269055,apartments,嘉园A座,嘉园A座,嘉园A座,嘉園A座,POINT (116.3359761 39.9474665),,,,,,,,,,,,
node,1678269060,apartments,1号公寓,1号公寓,1号公寓,1號公寓,POINT (116.3373454 39.9495024),,,,,,,,,,,,
node,1678269061,office,7教,7教,7教,7教,POINT (116.3357683 39.9497862),,,,,,,,,,,,
node,1678269065,school,逸夫教学楼,逸夫教学楼,逸夫教学楼,逸夫教學樓,POINT (116.3391143 39.9503946),,,,,,,,,,,,
node,1678269067,apartments,嘉园B座,嘉园B座,嘉园B座,嘉園B座,POINT (116.3366028 39.9472643),,,,,,,,,,,,
node,1678269080,apartments,专家楼,专家楼,专家楼,專家樓,POINT (116.3375735 39.9486204),,,,,,,,,,,,
node,1678269082,yes,招生就业处,招生就业处,招生就业处,招生就業處,POINT (116.335783 39.9479436),,,,,,,,,,,,
node,1678269083,yes,工程训练中心,工程训练中心,工程训练中心,工程訓練中心,POINT (116.3406861 39.9502794),,,,,,,,,,,,
node,1678269087,yes,隧道中心,隧道中心,隧道中心,隧道中心,POINT (116.3408164 39.9492929),,,,,,,,,,,,
node,1678269092,school,思源西楼,思源西楼,思源西楼,思源西樓,POINT (116.3337295 39.9499138),,,,,,,,,,,,
node,1678269096,school,九教,九教,九教,九教,POINT (116.3361452 39.9484368),,,,,,,,,,,,
node,1678269100,school,八教,八教,八教,八教,POINT (116.3363677 39.9512828),,,,,,,,,,,,
node,1678269101,yes,软件学院,软件学院,软件学院,軟件學院,POINT (116.338535 39.950263),,,,,,,,,,,,
node,1678269113,yes,大结构,大结构,大结构,大結構,POINT (116.3389377 39.9489783),,,,,,,,,,,,
node,1678269118,office,二教,二教,二教,二教,POINT (116.3345546 39.9509909),,,,,,,,,,,,
node,1678269119,yes,光波楼,光波楼,光波楼,光波樓,POINT (116.3409221 39.94986),,,,,,,,,,,,
node,1678269125,apartments,嘉园C座,嘉园C座,嘉园C座,嘉園C座,POINT (116.3369891 39.9477549),,,,,,,,,,,,
node,1678269130,apartments,留园公寓,留园公寓,留园公寓,留園公寓,POINT (116.3375425 39.9489182),,,,,,,,,,,,
node,4217498057,yes,研究生院,,,,POINT (116.339459 39.9504896),atm,,,,,,,,,,,
way,188600671,yes,图书馆,图书馆,图书馆,图书馆,"POLYGON ((116.3369697 39.9506909, 116.3369858 39.9505799, 116.3373613 39.9504195, 116.3374472 39.9504319, 116.3374941 39.9504931, 116.3375759 39.9504606, 116.3376872 39.9504808, 116.3377476 39.950547, 116.3377194 39.9506329, 116.3376242 39.9506786, 116.3376872 39.9507275, 116.3376604 39.9508303, 116.337592 39.9508678, 116.3375169 39.9508636, 116.3374136 39.9509085, 116.3373828 39.9509665, 116.337313 39.9510035, 116.3372004 39.950987, 116.3371467 39.9509377, 116.3370877 39.9509706, 116.336959 39.9509541, 116.3369 39.9508801, 116.3369214 39.9507814, 116.3370234 39.9507526, 116.3369697 39.9506909))",library,"[1992227334, 1992227321, 1992227320, 1992227332, 1992227323, 1992227314, 1992227327, 1992227325, 1992227318, 1992227315, 1992227322, 1992227313, 1992227316, 1992227326, 1992227330, 1992227324, 1992227317, 1992227329, 1992227328, 1992227331, 1992227319, 1992227312, 1992227335, 1992227333, 1992227334]",,,,,,,,,,
way,276198652,apartments,16号学生公寓,16号学生公寓,16号学生公寓,16號學生公寓,"POLYGON ((116.3367717 39.9521792, 116.3368148 39.9520242, 116.3375869 39.9521503, 116.3375438 39.9523054, 116.3367717 39.9521792))",,"[2808210318, 2808210319, 2808210320, 2808210322, 2808210318]",,,,,,,,,,
way,276198748,yes,学生一食堂,学生一食堂,学生一食堂,學生一食堂,"POLYGON ((116.3369555 39.9518843, 116.3370565 39.9515907, 116.3376624 39.9516754, 116.3375976 39.9519967, 116.3369669 39.9519383, 116.3369555 39.9518843))",restaurant,"[2808208593, 2808208594, 2808208595, 2808208596, 2808208597, 2808208593]",cafeteria,,,,,,,,,
way,276198818,apartments,18号学生公寓,18号学生公寓,18号学生公寓,18號學生公寓,"POLYGON ((116.3370355 39.9514242, 116.3370565 39.9513555, 116.3370927 39.9513672, 116.3371174 39.9512942, 116.3373918 39.9513453, 116.337409 39.9513278, 116.3377653 39.9513818, 116.33771 39.9516082, 116.3371936 39.951541, 116.3370584 39.9515089, 116.3370355 39.9514242))",,"[2808212218, 2808212219, 4217498056, 2808212221, 2808212222, 2808212223, 2808212224, 2808212225, 2808212226, 2808212227, 2808212218]",,,,,,,,,,
way,276198844,school,第八教学楼,第八教学楼,第八教学楼,第八教學樓,"POLYGON ((116.3359308 39.9513092, 116.3359632 39.9511828, 116.3366155 39.9512813, 116.336583 39.9514077, 116.3359308 39.9513092))",,"[2808214501, 2808214502, 2808214503, 4721340176, 2808214501]",,6,,,,,,,,
way,276198909,school,思源东楼,思源东楼,思源东楼,思源東樓,"POLYGON ((116.3353249 39.9500458, 116.3360552 39.9501589, 116.3359946 39.9503887, 116.3352643 39.9502756, 116.3353249 39.9500458))",,"[2808215487, 2808215488, 2808215489, 2808215490, 2808215487]",,,,,,,,,,
way,276199032,school,科学会堂,科学会堂,科学会堂,科學會堂,"POLYGON ((116.3353294 39.9505839, 116.3354054 39.950339, 116.3359322 39.950435, 116.3358563 39.9506799, 116.3353294 39.9505839))",,"[2808211256, 2808211257, 2808211258, 2808211259, 2808211256]",,,,,,,,,,
way,276199049,school,思源楼,思源楼,思源楼,思源樓,"POLYGON ((116.3341747 39.9503157, 116.3343108 39.9498649, 116.3351648 39.9500164, 116.3350287 39.9504672, 116.3341747 39.9503157))",,"[2808220835, 2808220836, 2808220837, 2808220838, 2808220835]",,13,,,,,,,,
way,276199074,school,思源西楼,思源西楼,思源西楼,思源西樓,"POLYGON ((116.3333431 39.9499238, 116.333408 39.9497317, 116.3341695 39.9498829, 116.3341046 39.950075, 116.3333431 39.9499238))",,"[2808225947, 2808225948, 2808225949, 2808225950, 2808225947]",,,,,,,,,,
way,276199644,apartments,信息中心,信息中心,信息中心,信息中心,"POLYGON ((116.3332378 39.9503295, 116.3332708 39.9502352, 116.3336054 39.9503041, 116.3336522 39.9501705, 116.334021 39.9502465, 116.3339217 39.9505299, 116.3336648 39.950477, 116.3336843 39.9504215, 116.3332736 39.9503369, 116.3332378 39.9503295))",,"[2808228056, 2808228057, 2808228058, 2808228059, 2808228060, 2808228061, 2808228062, 2808228063, 2808228064, 2808228056]",,,,,,,,,,
way,276200624,apartments,15号学生公寓,15号学生公寓,15号学生公寓,15號學生公寓,"POLYGON ((116.3324991 39.9496997, 116.3325419 39.9495678, 116.3332689 39.9497062, 116.3332261 39.9498381, 116.3324991 39.9496997))",,"[2808228215, 2808228216, 2808228217, 2808228218, 2808228215]",,,,,,,,,,
way,276200626,school,建筑与艺术楼,建筑与艺术楼,建筑与艺术楼,建築與藝術樓,"POLYGON ((116.3324743 39.9499606, 116.333153 39.9500834, 116.3331086 39.9502276, 116.3324299 39.9501049, 116.3324743 39.9499606))",,"[2808228220, 2808228221, 2808228222, 2808228223, 2808228220]",,,,,,,,,,
way,276200628,apartments,9号公寓,9号公寓,9号公寓,9號公寓,"POLYGON ((116.3325104 39.9495378, 116.332556 39.9493959, 116.3333045 39.9495374, 116.3332588 39.9496793, 116.3325104 39.9495378))",,"[2808228224, 2808228225, 2808228226, 2808228227, 2808228224]",,,,,,,,,,
way,276201135,apartments,8号公寓,8号公寓,8号公寓,8號公寓,"POLYGON ((116.3325927 39.9491788, 116.3326319 39.9490461, 116.3333826 39.9491767, 116.3333433 39.9493094, 116.3325927 39.9491788))",,"[2808231023, 2808231024, 2808231025, 2808231026, 2808231023]",,,,,,,,,,
way,276201136,apartments,7号公寓,7号公寓,7号公寓,7號公寓,"POLYGON ((116.3326901 39.9488594, 116.3327371 39.9487045, 116.3334768 39.9488365, 116.3334298 39.9489914, 116.3326901 39.9488594))",,"[2808231027, 2808231028, 2808231029, 2808231030, 2808231027]",,,,,,,,,,
way,276201137,apartments,12号学生公寓,12号学生公寓,12号学生公寓,12號學生公寓,"POLYGON ((116.3327829 39.9485049, 116.3328227 39.9483622, 116.333577 39.948486, 116.3335372 39.9486286, 116.3327829 39.9485049))",,"[2808231031, 2808231032, 2808231033, 2808231034, 2808231031]",,,11,,,,,,,
way,276201138,apartments,19号学生公寓,19号学生公寓,19号学生公寓,19號學生公寓,"POLYGON ((116.33285 39.9481519, 116.3329272 39.9478517, 116.3334539 39.9476403, 116.3338152 39.9477143, 116.3337628 39.947839, 116.3337545 39.9478834, 116.3335035 39.9478327, 116.3332057 39.9479722, 116.3331395 39.9479785, 116.333123 39.948061, 116.3336166 39.9481244, 116.3335918 39.9483083, 116.3328693 39.9481836, 116.33285 39.9481519))",,"[2808231035, 2808231036, 2808231037, 2808231038, 2808231039, 2808231040, 2808231041, 2808231042, 2808231043, 2808231044, 2808231045, 2808231046, 2808231047, 2808231035]",,,,,,,,,,
way,276201139,apartments,2号学生公寓,,,,"POLYGON ((116.3338863 39.9479635, 116.3339157 39.9478609, 116.3347801 39.9480063, 116.3347398 39.9481471, 116.3338754 39.9480016, 116.3338863 39.9479635))",,"[2808231048, 2808231049, 2808231050, 2808231051, 2808231052, 2808231048]",,,,,,,,,,
way,276201140,yes,天佑会堂,天佑会堂,天佑会堂,天佑會堂,"POLYGON ((116.3336466 39.9487359, 116.3337348 39.9484344, 116.3338611 39.9484561, 116.3338751 39.948408, 116.3340002 39.9484295, 116.3339887 39.9484687, 116.334524 39.9485607, 116.3344332 39.9488711, 116.3336466 39.9487359))",,"[1678269046, 2808231054, 2808231055, 2808231056, 2808231057, 2808231058, 2808231059, 2808231060, 1678269046]",,,,,,,,,,
way,276201142,school,第四教学楼,第四教学楼,第四教学楼,第四教學樓,"POLYGON ((116.3334727 39.949347, 116.333538 39.9491536, 116.3343832 39.9493213, 116.3343179 39.9495148, 116.3334727 39.949347))",,"[2808231062, 2808231063, 2808231064, 2808231065, 2808231062]",,,,,,,,,,
way,276202111,school,第七教学楼,第七教学楼,第七教学楼,第七教學樓,"POLYGON ((116.3352423 39.949751, 116.3352832 39.9496118, 116.3363823 39.9498015, 116.3363342 39.9499652, 116.3352352 39.9497754, 116.3352423 39.949751))",,"[2808236920, 2808236921, 2808236922, 2808236923, 2808236924, 2808236920]",,,,,,,,,,
