element_type,osmid,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,amenity,nodes,fast_food,building:levels,height,layer,alt_name,addr:city,addr:housenumber,addr:postcode,addr:street,school
way,276202112,school,东阶梯教室,东阶梯教室,东阶梯教室,東階梯教室,"POLYGON ((116.3363678 39.9494076, 116.3364119 39.9492745, 116.3367069 39.9493252, 116.3366766 39.9494647, 116.336627 39.9494774, 116.3364008 39.9494457, 116.3363678 39.9494076))",,"[2808236925, 2808236926, 2808236927, 2808236928, 1678269112, 2808236930, 2808236925]",,,,,,,,,,
way,276202113,school,第九教学楼,第九教学楼,第九教学楼,第九教學樓,"POLYGON ((116.3354936 39.9486064, 116.3356673 39.9480948, 116.3368669 39.9482914, 116.3367069 39.9489024, 116.3355625 39.9487312, 116.3354936 39.9486064))",,"[2808236931, 2808236932, 2808236933, 2808236934, 2808236935, 2808236931]",,,,,,,,,,
way,276202114,apartments,嘉园A座,嘉园A座,嘉园A座,嘉園A座,"POLYGON ((116.3357424 39.9476057, 116.3358869 39.9471318, 116.3361933 39.9471867, 116.3360373 39.9476983, 116.3357309 39.9476434, 116.3357424 39.9476057))",,"[2808236936, 2808236937, 2808236938, 2808236939, 2808236940, 2808236936]",,,,,,,,,,
way,276202115,apartments,嘉园B座,嘉园B座,嘉园B座,嘉園B座,"POLYGON ((116.3362681 39.9471883, 116.3360372 39.947119, 116.3360691 39.9470565, 116.3362759 39.9471186, 116.3362992 39.947073, 116.3363425 39.947086, 116.3363494 39.9470726, 116.3369953 39.9472663, 116.3368964 39.94746, 116.3362312 39.9472605, 116.3362681 39.9471883))",,"[2808236941, 2808236942, 2808236943, 2808236944, 8978753132, 2808236945, 2808236946, 2808236947, 2808236948, 2808236949, 2808236941]",,,,,,,,,,
way,276202116,yes,嘉园C座,嘉园C座,嘉园C座,嘉園C座,"POLYGON ((116.3367623 39.9477735, 116.3369413 39.9475281, 116.3372374 39.9475756, 116.3371135 39.9479688, 116.3367899 39.9479054, 116.3367623 39.9477735))",,"[2808236950, 2808236951, 2808236952, 2808236953, 2808236954, 2808236950]",,,,,,,,,,
way,276202117,apartments,留园公寓,留园公寓,留园公寓,留園公寓,"POLYGON ((116.337099 39.9489034, 116.3371345 39.9487742, 116.3378646 39.9488921, 116.3378291 39.9490213, 116.337099 39.9489034))",,"[2808236955, 2808236956, 2808236957, 2808236958, 2808236955]",,,,,,,,,,
way,276202118,school,专家楼,专家楼,专家楼,專家樓,"POLYGON ((116.3371188 39.9486138, 116.3371605 39.9484627, 116.3379635 39.9485931, 116.3379218 39.9487442, 116.3371188 39.9486138))",,"[2808236959, 2808236960, 2808236961, 2808236962, 2808236959]",,,,,,,,,,
way,287661510,apartments,一号宿舍楼,一号宿舍楼,一号宿舍楼,一號宿舍樓,"POLYGON ((116.3369573 39.9494991, 116.3369962 39.9493492, 116.3377003 39.9494565, 116.3376614 39.9496064, 116.3369573 39.9494991))",,"[2912327734, 2912327735, 2912327736, 2912327737, 2912327734]",,,,,,,,,,
way,287661745,yes,电气工程楼,电气工程楼,电气工程楼,電氣工程樓,"POLYGON ((116.3384463 39.9498675, 116.338498 39.9496603, 116.3391681 39.9497585, 116.3390478 39.950241, 116.338862 39.9502138, 116.3389307 39.9499385, 116.3384463 39.9498675))",,"[8794764290, 2912329536, 2912329537, 2912329538, 2912329539, 2912329540, 8794764290]",,,,-1,,,,,,
way,287661839,school,机械实验馆,机械实验馆,机械实验馆,機械實驗館,"POLYGON ((116.3385006 39.9495521, 116.3386237 39.9491725, 116.3392656 39.9492948, 116.3391426 39.9496744, 116.3385006 39.9495521))",,"[2912325937, 2912325938, 2912325939, 2912325940, 2912325937]",,,,,,,,,,
way,287661858,yes,机械楼,机械楼,机械楼,機械樓,"POLYGON ((116.3392883 39.9497186, 116.3393523 39.9495049, 116.3401218 39.9496402, 116.3400578 39.949854, 116.3397965 39.9498094, 116.3398295 39.9499653, 116.3395916 39.9499798, 116.3393606 39.9498868, 116.3395054 39.9497579, 116.3392883 39.9497186))",,"[2912330126, 2912330127, 2912330128, 2912330129, 4718054402, 4718054401, 4718054403, 4718054404, 4718054405, 2912330126]",,,,,国际会议中心,,,,,
way,287661893,school,土木工程楼,土木工程楼,土木工程楼,土木工程樓,"POLYGON ((116.3393895 39.9490534, 116.3394266 39.9489349, 116.3403709 39.9491089, 116.3403315 39.9492347, 116.3402489 39.9492195, 116.3402286 39.9492844, 116.3395588 39.949161, 116.3395815 39.9490888, 116.3393895 39.9490534))",,"[2912330249, 2912330250, 2912330251, 2912330252, 2912330253, 2912330254, 2912330255, 2912330256, 2912330249]",,,,,,,,,,
way,287661916,yes,逸夫教学楼 & 研究生院,逸夫教学楼 & 研究生院,逸夫教学楼 & 研究生院,逸夫教學樓 & 研究生院,"POLYGON ((116.3382967 39.9503681, 116.338367 39.9501313, 116.3397167 39.9503668, 116.3396464 39.9506036, 116.3382967 39.9503681))",,"[2912330555, 2912330556, 2912330557, 2912330558, 2912330555]",,,,,,,,,,
way,287662019,yes,22号学生公寓,22号学生公寓,22号学生公寓,22號學生公寓,"POLYGON ((116.3317991 39.9487035, 116.3318579 39.9484869, 116.332088 39.9483192, 116.332603 39.9480872, 116.3326665 39.9481616, 116.3326665 39.9482415, 116.332307 39.9484128, 116.332148 39.9484885, 116.332025 39.9485514, 116.3319464 39.9486215, 116.331897 39.9487217, 116.3317991 39.9487035))",,"[2912331155, 2718732080, 2912331156, 2912331157, 4721380269, 2912331158, 2912331159, 2912331160, 2912336768, 2912331161, 2912331162, 2912331155]",,,,,,,,,,
way,287662861,yes,20号宿舍楼,20号宿舍楼,20号宿舍楼,20號宿舍樓,"POLYGON ((116.3320569 39.9486148, 116.3324952 39.9486997, 116.3324503 39.9488358, 116.3320121 39.948751, 116.3320569 39.9486148))",,"[4721380270, 2912336769, 4721380268, 2912336771, 4721380270]",,,,,,,,,,
way,287662866,school,体育馆,体育馆,体育馆,體育館,"POLYGON ((116.3304757 39.9506886, 116.3305691 39.9503127, 116.3306345 39.9502912, 116.3311108 39.9503736, 116.3311388 39.9504201, 116.3310314 39.9507817, 116.3309427 39.9508139, 116.330499 39.9507387, 116.3304757 39.9506886))",,"[2912336782, 2912336783, 2912336784, 2912336785, 2912336786, 2912336787, 2912336788, 2912336789, 2912336782]",,,,,,,,,,
way,287662943,house,主席台,主席台,主席台,主席台,"POLYGON ((116.3308524 39.9515463, 116.3311891 39.9503621, 116.3313103 39.9503823, 116.3309733 39.9515665, 116.3308524 39.9515463))",,"[8520579190, 2912337807, 2912337808, 2912337809, 8520579190]",,,,,,,,,,
way,287663004,school,北京交通大学综合体育馆,游泳馆,游泳馆,游泳館,"POLYGON ((116.3321605 39.9519657, 116.33245 39.9508596, 116.3330926 39.950973, 116.3327871 39.9520718, 116.3321605 39.9519657))",,"[2912338507, 2912338508, 2912338509, 2912338510, 2912338507]",,,,,,,,,,
way,287663142,yes,运输设备教学馆,运输设备教学馆,运输设备教学馆,運輸設備教學館,"POLYGON ((116.3358728 39.9514946, 116.3360111 39.9515162, 116.3359859 39.9516112, 116.3364608 39.9516853, 116.3364836 39.9515993, 116.3365926 39.9516163, 116.3364728 39.9520677, 116.3357506 39.951955, 116.3358728 39.9514946))",,"[2912339221, 2912339222, 2912339223, 2912339224, 2912339225, 2912339226, 2912339227, 2912339228, 2912339221]",,,,,,,,,,
way,343659185,yes,交大知行大厦,交大知行大厦,交大知行大厦,交大知行大廈,"POLYGON ((116.331502 39.9488083, 116.3316168 39.9488645, 116.3315698 39.9489209, 116.3316541 39.9489622, 116.3315496 39.9490876, 116.331236 39.9494641, 116.3310661 39.9496681, 116.3309542 39.9496133, 116.330997 39.949562, 116.3309099 39.9495193, 116.331502 39.9488083))",,"[3504651657, 3504651658, 3504651659, 3504651660, 11173604248, 11173604235, 3504651661, 3504651662, 3504651663, 3504651664, 3504651657]",,,,,,,,,,
way,352008020,apartments,学苑公寓7号楼,学苑公寓7号楼,学苑公寓7号楼,學苑公寓7號樓,"POLYGON ((116.3426037 39.9529545, 116.3426442 39.9528332, 116.3421082 39.9527281, 116.3420677 39.9528494, 116.3426037 39.9529545))",,"[3577927354, 3577927355, 3577927356, 3577927357, 3577927354]",,13,,,,北京,18号院,100044,交大东路,
way,468435300,yes,,,,,"POLYGON ((116.3386681 39.949048, 116.3391566 39.94912, 116.3392021 39.9489389, 116.3387136 39.9488669, 116.3386681 39.949048))",,"[4629709956, 4629709957, 4629709958, 4629709959, 4629709956]",,,,,,,,,,
way,468435307,apartments,,,,,"POLYGON ((116.3404342 39.9492616, 116.3405845 39.9492921, 116.3405649 39.949349, 116.3409353 39.9494241, 116.34099 39.9492657, 116.3404692 39.9491602, 116.3404342 39.9492616))",,"[4629709984, 4629709985, 4629709986, 4629709987, 4629709988, 4629715289, 4629709984]",,,,,,,,,,
way,468435308,apartments,,,,,"POLYGON ((116.3415941 39.9496295, 116.3419095 39.94968, 116.3419801 39.9494635, 116.3419283 39.9494274, 116.3418201 39.9494599, 116.3417589 39.9493986, 116.3416883 39.9493769, 116.3416506 39.9494455, 116.3415941 39.9496295))",,"[4629715290, 4629715291, 4629715292, 4629715293, 4629715294, 4629715295, 4629715296, 4629715297, 4629715290]",,,,,,,,,,
way,468435309,yes,,,,,"POLYGON ((116.3403751 39.9503367, 116.3408928 39.9504305, 116.340954 39.9502465, 116.3404457 39.9501779, 116.3403751 39.9503367))",,"[4629715298, 4629715299, 4629715300, 4629715301, 4629715298]",,,,,,,,,,
way,468435310,yes,,,,,"POLYGON ((116.3407422 39.9501022, 116.340954 39.9501491, 116.3410905 39.9497305, 116.3408411 39.9496656, 116.3407422 39.9501022))",,"[4629715302, 4629715303, 4629715304, 4629715305, 4629715302]",,,,,,,,,,
way,468435311,yes,,,,,"POLYGON ((116.3404269 39.9497089, 116.3405963 39.9497233, 116.3406575 39.949597, 116.3405069 39.9495609, 116.3404269 39.9497089))",,"[4629715306, 4629715307, 4629715308, 4629715309, 4629715306]",,,,,,,,,,
way,468435313,yes,,,,,"POLYGON ((116.3409776 39.9505604, 116.3414906 39.9506398, 116.3415141 39.950564, 116.3416694 39.9505748, 116.3417212 39.9503403, 116.3415894 39.9503114, 116.3415141 39.9505099, 116.3410105 39.9504486, 116.3409776 39.9505604))",,"[4629715314, 4629715315, 4629715316, 4629715317, 4629715318, 4629715319, 4629715320, 4629715321, 4629715314]",,,,,,,,,,
way,468435314,yes,,,,,"POLYGON ((116.3410999 39.9502429, 116.3415 39.9502898, 116.3415424 39.950196, 116.3411423 39.9501346, 116.3410999 39.9502429))",,"[4629715322, 4629715323, 4629715324, 4629715325, 4629715322]",,,,,,,,,,
way,478014192,yes,,,,,"POLYGON ((116.3369703 39.9492435, 116.3370861 39.9492644, 116.3370909 39.9492487, 116.3369751 39.9492278, 116.3369703 39.9492435))",,"[4712860654, 4712860651, 4712860652, 4712860653, 4712860654]",,,,,,,,,,
way,478014193,yes,,,,,"POLYGON ((116.3370326 39.9490737, 116.3371359 39.9490867, 116.3371389 39.9490726, 116.3370356 39.9490596, 116.3370326 39.9490737))",,"[4712860658, 4712860655, 4712860656, 4712860657, 4712860658]",,,,,,,,,,
way,478014194,yes,,,,,"POLYGON ((116.3369913 39.9492084, 116.3371118 39.9492282, 116.3371445 39.9491116, 116.337024 39.9490918, 116.3369913 39.9492084))",,"[4712860662, 4712860661, 4712860660, 4712860659, 4712860662]",,,,,,,,,,
way,478014195,yes,,,,,"POLYGON ((116.3371166 39.9490627, 116.3372063 39.9490798, 116.3372378 39.9489827, 116.3371481 39.9489656, 116.3371166 39.9490627))",,"[4712860666, 4712860665, 4712860664, 4712860663, 4712860666]",,,,,,,,,,
way,478014196,yes,,,,,"POLYGON ((116.3372171 39.9490879, 116.3373065 39.9491064, 116.3373231 39.9490593, 116.3372337 39.9490408, 116.3372171 39.9490879))",,"[4712860670, 4712860669, 4712860668, 4712860667, 4712860670]",,,,,,,,,,
way,478014197,yes,,,,,"POLYGON ((116.3371786 39.9492924, 116.3372587 39.9493076, 116.3372843 39.9492285, 116.3372042 39.9492133, 116.3371786 39.9492924))",,"[4712860674, 4712860673, 4712860672, 4712860671, 4712860674]",,,,,,,,,,
way,478014198,yes,,,,,"POLYGON ((116.337287 39.949312, 116.3376387 39.9493729, 116.3376731 39.949256, 116.3373215 39.949195, 116.337287 39.949312))",,"[4712860678, 4712860677, 4712860676, 4712860675, 4712860678]",,,,,,,,,,
way,478083544,yes,世纪钟,世纪钟,世纪钟,世紀鐘,"POLYGON ((116.3359318 39.9490447, 116.3360714 39.9490652, 116.3360969 39.9489626, 116.3359573 39.9489422, 116.3359318 39.9490447))",,"[4713379433, 4713379434, 4713379435, 4713379436, 4713379433]",,,,,,,,,,
way,478575224,yes,交大科技大厦,交大科技大厦,交大科技大厦,交大科技大廈,"POLYGON ((116.3301207 39.9515404, 116.3306127 39.9516164, 116.3308109 39.9509707, 116.3303048 39.9508757, 116.3301207 39.9515404))",,"[4718100408, 4718100409, 4718100410, 4718100411, 4718100408]",,,,,,,,,,
way,478580533,dormitory,学苑公寓4号楼,学苑公寓4号楼,学苑公寓4号楼,學苑公寓4號樓,"POLYGON ((116.3415194 39.9524291, 116.3416858 39.9524522, 116.3417181 39.9523155, 116.3421837 39.9523801, 116.3422141 39.9522516, 116.341582 39.9521639, 116.3415194 39.9524291))",,"[4718110488, 4718120289, 4718120290, 4718120291, 4718120292, 4718120293, 4718110488]",,,,,,,,,,
way,478581132,dormitory,学苑公寓3号楼,学苑公寓3号楼,学苑公寓3号楼,學苑公寓3號樓,"POLYGON ((116.3414231 39.9528437, 116.3418561 39.9529044, 116.3418955 39.9527392, 116.3414625 39.9526785, 116.3414231 39.9528437))",,"[4718126666, 4718126667, 4718126668, 4718126669, 4718126666]",,,,,,,,,,
way,478581133,dormitory,学苑公寓6号楼,学苑公寓6号楼,学苑公寓6号楼,學苑公寓6號樓,"POLYGON ((116.3418543 39.9533264, 116.3418929 39.9531232, 116.3424318 39.9531834, 116.3423932 39.9533866, 116.3418543 39.9533264))",,"[4718126670, 4718126671, 4718126672, 4718126673, 4718126670]",,,,,,,,,,
way,478581134,dormitory,学苑公寓1号楼,学苑公寓1号楼,学苑公寓1号楼,學苑公寓1號樓,"POLYGON ((116.3411075 39.9539738, 116.3417306 39.9540731, 116.3417797 39.9538917, 116.3411567 39.9537924, 116.3411075 39.9539738))",,"[4718126674, 4718126675, 4718126676, 4718126677, 4718126674]",,,,,,,,,,
way,478581135,dormitory,学苑公寓2号楼,学苑公寓2号楼,学苑公寓2号楼,學苑公寓2號樓,"POLYGON ((116.3412243 39.9535999, 116.3412567 39.9534367, 116.3416614 39.9534839, 116.341629 39.9536472, 116.3412243 39.9535999))",,"[4718126678, 4718126679, 4718126680, 4718126681, 4718126678]",,,,,,,,,,
way,478581136,dormitory,学苑公寓5号楼,学苑公寓5号楼,学苑公寓5号楼,學苑公寓5號樓,"POLYGON ((116.3418738 39.953813, 116.3419205 39.9536279, 116.3424431 39.9537054, 116.3423964 39.9538905, 116.3418738 39.953813))",,"[4718126682, 4718126683, 4718126684, 4718126685, 4718126682]",,,,,,,,,,
way,478581983,dormitory,学苑公寓8号楼,學苑公寓4號樓,學苑公寓4號樓,學苑公寓8號樓,"POLYGON ((116.3426676 39.952423, 116.3430404 39.9524785, 116.3430542 39.9524188, 116.3434194 39.9524679, 116.3434471 39.9523191, 116.3430897 39.9522659, 116.3430774 39.9523261, 116.3426984 39.9522718, 116.3426676 39.952423))",,"[4718134106, 4718134110, 4718134111, 4718134107, 4718134108, 4718134113, 4718134112, 4718134109, 4718134106]",,,,,,,,,,
way,479408009,yes,,,,,"POLYGON ((116.3326864 39.9481338, 116.3328087 39.9480756, 116.3327604 39.948016, 116.3326381 39.9480742, 116.3326864 39.9481338))",,"[4725186579, 4725186576, 4725186577, 4725186578, 4725186579]",,,,,,,,,,
way,950001388,yes,一号教学楼,一号教学楼,一号教学楼,一號教學樓,"POLYGON ((116.334985 39.9511044, 116.3357896 39.951236, 116.3358378 39.9510631, 116.3350331 39.9509315, 116.334985 39.9511044))",,"[8794764284, 8794764283, 8794764282, 8794764281, 8794764284]",,,,,,,,,,
way,950001389,yes,二号教学楼,二号教学楼,二号教学楼,二號教學樓,"POLYGON ((116.3340354 39.9509398, 116.3348401 39.9510714, 116.3348882 39.9508985, 116.3340835 39.9507669, 116.3340354 39.9509398))",,"[8794764288, 8794764287, 8794764286, 8794764285, 8794764288]",,,,,,,,,,
way,1205709513,yes,学生活动中心,,,,"POLYGON ((116.331236 39.9494641, 116.3314565 39.9495567, 116.3316559 39.9493799, 116.3317455 39.9493919, 116.331853 39.9493885, 116.3319605 39.9493387, 116.3319605 39.9493129, 116.3320971 39.9493627, 116.3322069 39.949385, 116.3323323 39.9493936, 116.3323861 39.9493679, 116.3324936 39.9490021, 116.3317567 39.9488922, 116.3315496 39.9490876, 116.331236 39.9494641))",,"[11173604235, 11173604236, 11173604237, 11173604238, 11173604239, 11173604240, 11173604241, 11173604242, 11173604243, 11173604244, 11173604245, 11173604246, 11173604247, 11173604248, 11173604235]",,,,,,,,,,high_school
