element_type,osmid,amenity,diet:halal,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,cuisine,fast_food,brand,brand:wikidata,nodes,building
node,1678269043,restaurant,yes,清真食堂,清真食堂,清真食堂,清真食堂,POINT (116.3322357 39.949101),,,,,,
node,1678269072,restaurant,,学生第三食堂,学生第三食堂,学生第三食堂,學生第三食堂,POINT (116.3318877 39.949249),chinese,cafeteria,,,,
node,1678269099,restaurant,,学生第四食堂,学生第四食堂,学生第四食堂,學生第四食堂,POINT (116.3382077 39.9483301),,cafeteria,,,,
node,1678269102,restaurant,,学生第二食堂,学生第二食堂,学生第二食堂,學生第二食堂,POINT (116.3317553 39.9493016),chinese,cafeteria,,,,
node,1678269115,restaurant,,学苑餐厅,学苑餐厅,学苑餐厅,學苑餐廳,POINT (116.3416624 39.9531992),chinese,,,,,
node,4213393030,restaurant,,巫山烤全鱼,巫山烤全鱼,巫山烤全鱼,巫山烤全魚,POINT (116.3368259 39.9471663),,,,,,
node,4213393032,restaurant,,黄焖鸡米饭,黄焖鸡米饭,黄焖鸡米饭,黃燜雞米飯,POINT (116.3369412 39.9472321),,,,,,
node,4218545637,restaurant,,,,,,POINT (116.3371596 39.9491676),,,,,,
node,4258304290,restaurant,,西贝莜面村,,,,POINT (116.3412712 39.9531691),chinese,,西贝莜面村,Q111041047,,
node,4718115962,restaurant,,益民餐厅,益民餐厅,益民餐厅,益民餐廳,POINT (116.3376433 39.9517702),,,,,,
way,276198748,restaurant,,学生一食堂,学生一食堂,学生一食堂,學生一食堂,"POLYGON ((116.3369555 39.9518843, 116.3370565 39.9515907, 116.3376624 39.9516754, 116.3375976 39.9519967, 116.3369669 39.9519383, 116.3369555 39.9518843))",,cafeteria,,,"[2808208593, 2808208594, 2808208595, 2808208596, 2808208597, 2808208593]",yes
