element_type,osmid,nodes,intermittent,natural,water,geometry,salt,tidal,name,name:zh,name:zh-Hans,name:zh-Hant,ways,type
way,673281556,"[6305629433, 6305158687, 6312617042, 6312617033, 7883984472, 6312617041, 7883984477, 7883984474, 7883984475, 7883984476, 7883984469, 6312617040, 6312617034, 6312617043, 6305629433]",yes,water,river,"POLYGON ((116.1416114 40.247745, 116.1415181 40.2477785, 116.1410104 40.2469574, 116.1409866 40.2468963, 116.1409797 40.2468597, 116.1409276 40.2467962, 116.140903 40.2466021, 116.1408527 40.2461969, 116.1409226 40.246161, 116.1409863 40.2465635, 116.141015 40.2467692, 116.1410358 40.2468582, 116.141081 40.2468599, 116.1411091 40.2468876, 116.1416114 40.247745))",,,,,,,,
way,673281557,"[6305158695, 6305158748, 6305158750, 6305158749, 6305158699, 6305158751, 6305629295, 6305629288, 6305629289, 6305629290, 6305629291, 6305158700, 6305629292, 6305629293, 6305158701, 6305629294, 6305158752, 6305158702, 6305158703, 6305158753, 6305158704, 9185258233, 6305158705, 6305629319, 6305629320, 6305629321, 6305158706, 6305629322, 6305629323, 6305629324, 6305629325, 6305629326, 6305158707, 6305629327, 6305629328, 6305158708, 6305158709, 6305629248, 6305629247, 6305629249, 6305158710, 6305629250, 6305158711, 6305629251, 6305158765, 6305629252, 6305158712, 6305158764, 6305158713, 6305158763, 6305158714, 6305158762, 6305158715, 6305629145, 8113772816, 6305158761, 6305158760, 6305158759, 6305158758, 6305158716, 6305158768, 6305158769, 6305158717, 6305158770, 6305103644, 6305103643, 6305158718, 6305158719, 6305158767, 6305158720, 6305158766, 6305158721, 6305158722, 6305629271, 6305629272, 6305629273, 6305629270, 6305629269, 6305629274, 6305629268, 6305158723, 6305629267, 6305629266, 6305629265, 6305629264, 6305629263, 6305629262, 6305629260, 6305629261, 6305158724, 6305629132, 6305629133, 6305629131, 6305629134, 6305629135, 6305629136, 6305629137, 6305629138, 6305158725, 6305629139, 6305629140, 6305629141, 6305629142, 6305629143, 8113774561, 6305629144, 6305158726, 8113774560, 6305158727, 8113774559, 6305158728, 6305158729, 8113774597, 6305158730, 6305158757, 6305158731, 7759803254, 7759803252, 7759803253, 6305158754, 6305158756, 6305158755, 6305158732, 6305158733, 6305158734, 6305158735, 6305629299, 6305158738, 6305158736, 6305629329, 6305158737, 6305158694, 6305158695]",yes,water,river,"POLYGON ((116.1418855 40.2484016, 116.1419838 40.2484747, 116.1420827 40.2485786, 116.1420666 40.2486361, 116.1420682 40.2486793, 116.1421798 40.2488449, 116.142233 40.2488792, 116.1422711 40.2489462, 116.1422586 40.2489843, 116.1422878 40.2490304, 116.1423124 40.2490496, 116.1423649 40.2490745, 116.1423472 40.2491056, 116.1423358 40.2491385, 116.1423219 40.2491926, 116.1423235 40.2492225, 116.1423333 40.2492536, 116.1424031 40.2492816, 116.1425046 40.2493397, 116.1425452 40.2493959, 116.1424792 40.2494521, 116.1424801 40.2494844, 116.1424811 40.2495202, 116.1425906 40.2495198, 116.1425914 40.2496387, 116.1425587 40.2496388, 116.1425557 40.2496949, 116.142667 40.2496948, 116.1426699 40.2497394, 116.1426714 40.2497938, 116.1427189 40.2498479, 116.1427732 40.2498875, 116.1428462 40.249927, 116.1428723 40.2499864, 116.1428269 40.2500037, 116.1428142 40.2500602, 116.1428354 40.2500857, 116.142888 40.2500946, 116.1429083 40.2501603, 116.1429318 40.2502235, 116.1428712 40.2502397, 116.1428028 40.2502705, 116.1427765 40.2503112, 116.1427905 40.2503623, 116.1428402 40.2503985, 116.1428682 40.2504533, 116.1429031 40.2504713, 116.1428841 40.2505165, 116.1428345 40.2506063, 116.1427951 40.2506317, 116.1427669 40.2507295, 116.1427743 40.2508007, 116.142836 40.250831, 116.142819 40.2508848, 116.1428218 40.2509025, 116.1428273 40.2509366, 116.1427782 40.250963, 116.14273 40.2510284, 116.1427173 40.2511296, 116.1427588 40.2511745, 116.1427674 40.2512179, 116.1427355 40.251229, 116.1427203 40.2513209, 116.142774 40.2513751, 116.1427556 40.2515076, 116.1428504 40.251528, 116.1428878 40.2513635, 116.1429309 40.2512977, 116.1429039 40.2512186, 116.1429103 40.251148, 116.142975 40.2511104, 116.1430146 40.2510516, 116.1429943 40.2509956, 116.1429547 40.2509436, 116.1429021 40.2509311, 116.1429086 40.2508401, 116.1429403 40.25083, 116.142947 40.2507723, 116.1429839 40.2507916, 116.1430158 40.2508418, 116.1430221 40.2507612, 116.1430181 40.2507062, 116.1430267 40.2506473, 116.1429682 40.2506452, 116.1429649 40.2506043, 116.1429758 40.2505515, 116.1429471 40.2505422, 116.1429503 40.2505081, 116.1430411 40.2505124, 116.1430425 40.2504824, 116.1429729 40.250452, 116.1429836 40.2504195, 116.1430397 40.2504159, 116.1430688 40.2503673, 116.1430354 40.2503065, 116.1429935 40.2503011, 116.1429801 40.2502791, 116.1429973 40.2502257, 116.1430121 40.2501531, 116.143007 40.2500851, 116.143055 40.2500684, 116.1430562 40.2500254, 116.1429937 40.2500367, 116.1429751 40.2500172, 116.1429948 40.2499993, 116.1429574 40.2499789, 116.1429488 40.2499066, 116.1429635 40.2498302, 116.1430502 40.2497619, 116.1430552 40.2497143, 116.1430572 40.2496666, 116.1430261 40.2496137, 116.1429139 40.2495978, 116.1428525 40.2495891, 116.1427793 40.2495479, 116.1427507 40.2494811, 116.1427443 40.2494381, 116.1427222 40.249395, 116.1426709 40.2493666, 116.1426173 40.2493554, 116.1425921 40.2493387, 116.1426007 40.2493004, 116.142563 40.2492429, 116.1425655 40.2491771, 116.1424767 40.2490977, 116.1423423 40.2488441, 116.1423048 40.248853, 116.1422547 40.2487771, 116.1422052 40.2486484, 116.1422185 40.2486067, 116.142223 40.2485651, 116.141987 40.2483397, 116.1418855 40.2484016))",,,,,,,,
way,674073569,"[6312617073, 6312617074, 10246266158, 10246266159, 6312617083, 6312617084, 6312617985, 6312617986, 6312617987, 6312617988, 6312617989, 6312617990, 6312617991, 6312617992, 6312617993, 6312617994, 6312617995, 6312617996, 6312617997, 6312617998, 6312617999, 6312618000, 6312618001, 6312618002, 6312618003, 6312618004, 6312618005, 6312618006, 6312618007, 6312618008, 6312618009, 6312618010, 6312618011, 6312618012, 6312618013, 6312618014, 6312618015, 6312618016, 6312618017, 6312618018, 6312618019, 6312618020, 6312618021, 6312618022, 6312618023, 6312618024, 6312618025, 7825661178, 6312618026, 6312618027, 6312618028, 6312618029, 6312618030, 6312618031, 6312618032, 6312618033, 6312618034, 6312618035, 6312618036, 6312618037, 6312618038, 6312618039, 6312618040, 6312618041, 6312618042, 6312618043, 6312618044, 6312618045, 6312618046, 6312618047, 6312618048, 6312618049, 6312618050, 6312618051, 6312618052, 6312618053, 6312618054, 6312618055, 6312618056, 6312618057, 6312618058, 6312618059, 6312618060, 6312618061, 6312618062, 6312618063, 6312618064, 6312618065, 6312618066, 6312618067, 6312618068, 6312617073]",yes,water,river,"POLYGON ((116.1421799 40.2544158, 116.142271 40.254142, 116.1423662 40.2538594, 116.14247 40.2538885, 116.142408 40.2540594, 116.1422715 40.2545584, 116.1422192 40.2548222, 116.1420797 40.2552657, 116.142042 40.2554808, 116.1419403 40.2557535, 116.1417776 40.2560108, 116.141519 40.2563855, 116.1414289 40.2566139, 116.1412255 40.2569886, 116.1411093 40.2571926, 116.1410559 40.2572639, 116.1408885 40.2574654, 116.1406996 40.2576538, 116.1404962 40.2577492, 116.1403422 40.257778, 116.1400836 40.2577802, 116.139979 40.2577869, 116.1398396 40.2578689, 116.1397437 40.2581306, 116.1397001 40.2582858, 116.1397233 40.2585297, 116.1398134 40.2586627, 116.1398396 40.2587802, 116.1399093 40.2589665, 116.1399936 40.2590707, 116.140165 40.2592436, 116.1403161 40.2593856, 116.1403858 40.2595674, 116.1405863 40.2597093, 116.1406705 40.2597714, 116.1408129 40.2598357, 116.1408216 40.2598822, 116.1407054 40.2598778, 116.1406212 40.2598401, 116.1405253 40.2597448, 116.1403887 40.2596561, 116.1403161 40.2595718, 116.1402318 40.2594765, 116.140165 40.2593856, 116.1400691 40.2592946, 116.1400139 40.2592082, 116.1398744 40.2590108, 116.139801 40.2589099, 116.1397553 40.2587958, 116.1397204 40.2587248, 116.139671 40.2586095, 116.1396246 40.2584011, 116.1396304 40.2583146, 116.1396391 40.2582237, 116.1396652 40.2581439, 116.1396885 40.2580663, 116.1396774 40.2579968, 116.1396982 40.2579276, 116.1396333 40.2578334, 116.1395868 40.2578002, 116.1395171 40.2577891, 116.1394793 40.2577847, 116.1394299 40.2577758, 116.1394066 40.2577713, 116.1393602 40.257758, 116.1392294 40.2577669, 116.1390347 40.2577824, 116.1387907 40.2577824, 116.1387355 40.2577736, 116.1387297 40.2577048, 116.13875 40.2576827, 116.1388866 40.257676, 116.1390754 40.2576782, 116.1392381 40.2576849, 116.1394212 40.2576849, 116.1399296 40.2576716, 116.1402347 40.2576716, 116.1405543 40.2575984, 116.1407316 40.2574587, 116.1408565 40.2572724, 116.1409814 40.2570041, 116.1411209 40.2567979, 116.1412517 40.2565895, 116.1414115 40.2563145, 116.1416584 40.2559575, 116.141856 40.2554786, 116.1418996 40.2552879, 116.1419548 40.2550928, 116.1420536 40.2548001, 116.142103 40.2546337, 116.1421461 40.2545203, 116.1421799 40.2544158))",no,no,,,,,,
way,1056197004,"[9705077366, 9705077367, 9705077368, 9705077369, 9705077366]",,water,wastewater,"POLYGON ((116.1406832 40.2491183, 116.1406831 40.2490978, 116.1408022 40.2490976, 116.1408022 40.2491181, 116.1406832 40.2491183))",,,,,,,,
way,1165131911,"[6305158687, 6305629433, 6305629337, 6305158688, 6305629432, 6305158740, 6305158689, 6305158741, 6305158742, 6305158690, 6305629431, 6305158743, 6305629338, 6305158691, 6305158692, 6305158744, 6305158745, 6305158693, 6305158746, 6305158694, 6305158695, 6305158696, 6305158747, 6305158697, 6305158698, 6305629330, 6305158679, 6305158739, 6305629331, 6305158680, 6305158681, 6312617039, 6305158682, 6312617038, 6305629332, 6312617037, 6305158683, 6305629333, 6312617036, 6305158684, 6312617035, 6305158685, 6305629435, 6305629334, 6305629335, 6305158686, 6305629336, 6305629434, 6305158687]",,water,lake,"POLYGON ((116.1415181 40.2477785, 116.1416114 40.247745, 116.1416388 40.2477618, 116.1416957 40.2477601, 116.1417524 40.2477452, 116.1417762 40.2477253, 116.1419007 40.2477364, 116.1420022 40.2477341, 116.1420476 40.2477559, 116.1420925 40.2477965, 116.1421071 40.2478452, 116.1420865 40.2478788, 116.1420879 40.2479328, 116.1421289 40.2479901, 116.1421392 40.248064, 116.1421316 40.2481201, 116.1420999 40.2481773, 116.1420124 40.2482305, 116.1419921 40.2482954, 116.141987 40.2483397, 116.1418855 40.2484016, 116.1417891 40.2484397, 116.1417104 40.2484707, 116.1416419 40.2485249, 116.1415709 40.2485694, 116.1415163 40.2485752, 116.1414617 40.2485675, 116.1414021 40.2485268, 116.1413892 40.2484777, 116.1414335 40.2484017, 116.1414724 40.2483815, 116.1415291 40.2483691, 116.1415736 40.2483492, 116.1416162 40.2483171, 116.1416296 40.2482812, 116.1416339 40.2482512, 116.1416309 40.2482285, 116.1416158 40.2481892, 116.1415996 40.2481674, 116.1415773 40.2481408, 116.1415466 40.2481246, 116.1415233 40.2480749, 116.1415281 40.2480213, 116.1414736 40.2479728, 116.1414454 40.2479243, 116.1414502 40.2478807, 116.1414677 40.2478456, 116.1415204 40.2478053, 116.1415181 40.2477785))",,,荷塘,荷塘,荷塘,荷塘,,
relation,11481387,"[[[6305103662, 6305103661, 6305103660, 6305103659, 6305103658, 6305103657, 6305103656, 6305103655, 6305103654, 6305103653, 6305103666, 7859920577, 6305103665, 6305103664, 6305103663, 6305103662], [7991676786, 6305103602, 7991665284, 6305103603, 6305103604, 6305103605, 6305103606, 6305103607, 6305103608, 6305103609, 6305103610, 6305103611, 6305103612, 6305103613, 6305103614, 6305103615, 6305103616, 6305103617, 6305103618, 6305103619, 6305103620, 6305103621, 6305103622, 6305103623, 6305103624, 6305103625, 6305103626, 6305103627, 6305103628, 6305103629, 6305103630, 6305103631, 6305103632, 6305103633, 6305103634, 6305103635, 6305103636, 6305103637, 6305103638, 6305103639, 6305103640, 6305103641, 6305103642, 6305103643, 6305103644, 6305103645, 6305103646, 6305103647, 6305103648, 6305103649, 6305103650, 6305103651, 6305103652, 7793901130, 7793901128, 7793901129, 7793901126, 7793901127, 7793901124, 7793901125, 7793901122, 7793901123, 7793901120, 7793901121, 7793901132, 7793901133, 7793901131, 6305103667, 6305103668, 6305103669, 6305103670, 6305103671, 6305103672, 6305103673, 6305103674, 6305103675, 6305103676, 6305103677, 6305103678, 6305103679, 6305103680, 6305103681, 6305103682, 6305103683, 6305103684, 6305105185, 6305105186, 6305105187, 6305105188, 6305105189, 6305105190, 7991676786]]]",,water,lake,"POLYGON ((116.1427071 40.2523941, 116.1427495 40.2523978, 116.1427891 40.2524013, 116.1428368 40.2523925, 116.1428909 40.2523527, 116.1429526 40.2523379, 116.1430068 40.252318, 116.1430792 40.2523471, 116.1430983 40.2523846, 116.1431231 40.252417, 116.1431867 40.2524521, 116.1432574 40.2524764, 116.1433564 40.2524872, 116.1434412 40.2524791, 116.1435261 40.2524494, 116.1435862 40.2524008, 116.1436074 40.2523819, 116.1435543 40.2523442, 116.1435402 40.2523064, 116.1435261 40.2522551, 116.1435402 40.252212, 116.1435579 40.2521823, 116.1436109 40.2521688, 116.1435897 40.2521149, 116.1435084 40.2520501, 116.1434483 40.2519934, 116.1434342 40.251953, 116.14342 40.2518801, 116.1434377 40.2518181, 116.1434695 40.2517911, 116.143519 40.2517371, 116.1435296 40.2516778, 116.143519 40.2516373, 116.143473 40.2515969, 116.1434235 40.2515915, 116.1433493 40.2516076, 116.1432998 40.2516319, 116.1432185 40.2516697, 116.1431125 40.2516832, 116.1429852 40.2516508, 116.1428898 40.2516076, 116.1428513 40.2515652, 116.1428504 40.251528, 116.1427556 40.2515076, 116.1427121 40.2515353, 116.1426732 40.2515558, 116.1426396 40.2515609, 116.1425726 40.2515681, 116.1425471 40.2515865, 116.1425337 40.2515998, 116.1425096 40.2516213, 116.1425002 40.2516438, 116.1424868 40.2516653, 116.1424519 40.2516878, 116.1423982 40.2516991, 116.1423446 40.2516991, 116.1422454 40.2516817, 116.1421528 40.2516694, 116.1420697 40.2516745, 116.1420093 40.2516827, 116.1419812 40.2516929, 116.1419503 40.2517144, 116.1419262 40.2517349, 116.1419114 40.2517574, 116.1418953 40.251782, 116.1418792 40.2518086, 116.1418685 40.2518495, 116.1418712 40.2518864, 116.1418779 40.2519263, 116.141894 40.2519621, 116.1419289 40.2520061, 116.1419637 40.2520348, 116.142008 40.2520481, 116.142067 40.2520604, 116.1421273 40.2520553, 116.1421796 40.2520491, 116.1422641 40.252044, 116.142303 40.2520563, 116.1423473 40.2520757, 116.1423835 40.2521075, 116.142405 40.2521412, 116.1424117 40.2521822, 116.142409 40.2522129, 116.1424023 40.2522375, 116.1423915 40.2522743, 116.1424063 40.252303, 116.1424613 40.2523163, 116.1425163 40.2523204, 116.1425645 40.2523306, 116.1426088 40.2523398, 116.1426589 40.2523641, 116.1427071 40.2523941), (116.142519 40.2519385, 116.1424332 40.2518863, 116.1424112 40.2518644, 116.1423812 40.251809, 116.142397 40.2517594, 116.1424467 40.2517286, 116.1425686 40.2517154, 116.1426169 40.251742, 116.1426437 40.2517717, 116.1426732 40.2518014, 116.142751 40.2518249, 116.1427979 40.2518761, 116.1427819 40.2519344, 116.1427161 40.2519672, 116.1426249 40.2519651, 116.142519 40.2519385))",,,柳湖,柳湖,柳湖,柳湖,"[812421564, 673276059]",multipolygon
