element_type,osmid,amenity,geometry,nodes,operator
node,7715264720,parking,POINT (112.9453497 28.1849445),,
way,826336737,parking,"POLYGON ((112.9449737 28.1851284, 112.9454267 28.1851063, 112.9454116 28.1847445, 112.9451213 28.1847335, 112.9449211 28.1849144, 112.9449086 28.1851328, 112.9449737 28.1851284))","[7715240973, 7715240974, 7715240975, 7715240976, 7715240977, 7715240978, 7715240973]",
way,826336739,parking,"POLYGON ((112.9443017 28.1829148, 112.9446821 28.1828972, 112.9447396 28.1828972, 112.9447321 28.1830251, 112.9442992 28.1830428, 112.9443017 28.1829148))","[7715264692, 7715264693, 7715264694, 4794478277, 7715264696, 7715264692]",
way,1031928623,parking,"POLYGON ((112.9468084 28.1808792, 112.9467524 28.1801313, 112.9472805 28.1801005, 112.9472883 28.1802038, 112.9473564 28.1801999, 112.9473738 28.1804306, 112.9473085 28.1804344, 112.9473372 28.1808276, 112.9473395 28.1808482, 112.9468084 28.1808792))","[3188074229, 3188074230, 3188074231, 9509812815, 9509812816, 9509908817, 9509812814, 9509908818, 9509812813, 3188074229]",天马山公交首末站
