element_type,osmid,nodes,name,natural,water,geometry
way,272516772,"[2774498537, 2774498538, 2774498539, 2774498540, 2774498541, 2774498542, 2774498543, 2774498537]",东方红湖,water,lake,"POLYGON ((112.9391834 28.1826971, 112.9393332 28.1827258, 112.9395026 28.18272, 112.9395091 28.1826282, 112.9393658 28.182588, 112.939229 28.1825708, 112.9391248 28.1826224, 112.9391834 28.1826971))"
way,337183036,"[3442813670, 3442813671, 3442813672, 3442813673, 3442813674, 3442813675, 3442813676, 3442813677, 3442813678, 3442813679, 3442813680, 3442813681, 3442813670]",,water,pond,"POLYGON ((112.9363818 28.1813424, 112.9363883 28.1812345, 112.9364592 28.1812326, 112.9365172 28.1812042, 112.9365494 28.1811606, 112.9365516 28.1811303, 112.9367084 28.1811322, 112.9367342 28.1812667, 112.9367342 28.1813443, 112.9367063 28.1814049, 112.9366569 28.1814617, 112.9365838 28.1815129, 112.9363818 28.1813424))"
way,339271951,"[3464569140, 3464569141, 3464569142, 3464569143, 3464569140]",,water,pond,"POLYGON ((112.9389006 28.1806523, 112.9390835 28.1806724, 112.938987 28.181353, 112.9388042 28.1813329, 112.9389006 28.1806523))"
