u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,service
2774498645,2774498611,0,272516794,footway,False,False,139.69,,,,"LINESTRING (112.939294 28.1841887, 112.9378698 28.1841406)",
2774498645,2774498639,0,312552702,living_street,False,False,44.801,,,,"LINESTRING (112.939294 28.1841887, 112.9393308 28.1845903)",
2774498645,3640713119,0,"[359336577, 312552702]","['footway', 'living_street']",False,True,141.864,,,,"LINESTRING (112.939294 28.1841887, 112.9392321 28.1835138, 112.9392286 28.1834757, 112.9392171 28.1829153)",
3130911902,941382240,0,307858644,living_street,False,True,62.836,,,,"LINESTRING (112.9389681 28.1827939, 112.9387766 28.1833332)",
3130911902,3287267942,0,310763586,residential,False,False,94.48400000000001,,登高路,,"LINESTRING (112.9389681 28.1827939, 112.9385935 28.1827926, 112.9382645 28.1827094, 112.938039 28.1826203)",
3130911902,9441043055,0,1030743544,tertiary,True,False,90.27900000000001,1,麓山南路,,"LINESTRING (112.9389681 28.1827939, 112.9389654 28.1827342, 112.9389671 28.1826627, 112.9390005 28.1819827)",
3162474193,3162474194,0,272516778,living_street,False,True,43.157,,教学1号,,"LINESTRING (112.9404651 28.1811639, 112.9400248 28.1811608)",
3162474193,2774498582,0,272516778,living_street,False,False,81.036,,教学1号,,"LINESTRING (112.9404651 28.1811639, 112.9405217 28.1811643, 112.9412916 28.1811461)",
3162474193,3162474195,0,310762332,living_street,False,True,155.151,,,,"LINESTRING (112.9404651 28.1811639, 112.940465 28.1801503, 112.940032 28.1801554)",
3162474194,3162474193,0,272516778,living_street,False,False,43.157,,教学1号,,"LINESTRING (112.9400248 28.1811608, 112.9404651 28.1811639)",
3162474194,2774498603,0,272516778,living_street,False,True,8.096,,教学1号,,"LINESTRING (112.9400248 28.1811608, 112.9399422 28.1811602)",
3162474194,3162474195,0,310762333,living_street,False,False,111.798,,,,"LINESTRING (112.9400248 28.1811608, 112.940032 28.1801554)",
3162474195,690140941,0,310762332,living_street,False,True,66.299,,,,"LINESTRING (112.940032 28.1801554, 112.9393556 28.1801593)",
3162474195,3162474194,0,310762333,living_street,False,True,111.798,,,,"LINESTRING (112.940032 28.1801554, 112.9400248 28.1811608)",
3162474195,11397564470,0,1229018662,living_street,False,True,114.882,,,,"LINESTRING (112.940032 28.1801554, 112.9400439 28.1791223)",
3162474195,3162474193,0,310762332,living_street,False,False,155.151,,,,"LINESTRING (112.940032 28.1801554, 112.940465 28.1801503, 112.9404651 28.1811639)",
3202641520,941382240,0,314215551,footway,False,True,10.111,,,,"LINESTRING (112.9388147 28.1834177, 112.9387766 28.1833332)",
3287267941,2774498609,0,272516793,living_street,False,True,17.677,,,,"LINESTRING (112.9379695 28.1833028, 112.9381497 28.1833093)",
3287267941,3287267942,0,321958787,living_street,False,False,76.196,,,,"LINESTRING (112.9379695 28.1833028, 112.938039 28.1826203)",
3287267941,2774498637,0,272516793,living_street,False,False,64.39,,,,"LINESTRING (112.9379695 28.1833028, 112.937723 28.1832938, 112.9373131 28.183279)",
3287267942,3287267941,0,321958787,living_street,False,True,76.196,,,,"LINESTRING (112.938039 28.1826203, 112.9379695 28.1833028)",
3287267942,3444498150,0,310763586,residential,False,False,28.796,,登高路,,"LINESTRING (112.938039 28.1826203, 112.9379519 28.1825859, 112.9377848 28.1824917)",
3287267942,3130911902,0,310763586,residential,False,True,94.48400000000001,,登高路,,"LINESTRING (112.938039 28.1826203, 112.9382645 28.1827094, 112.9385935 28.1827926, 112.9389681 28.1827939)",
3442440888,2774498567,0,337142409,footway,False,True,72.57,,,,"LINESTRING (112.9398074 28.1818811, 112.939067 28.1818844)",
