u,v,key,osmid,name,highway,oneway,reversed,length,geometry
2629760252,2629760253,0,257453041,,residential,False,False,104.446,"LINESTRING (116.3113961 39.9585329, 116.3115356 39.9575997)"
2629760253,2377138415,0,257453039,,residential,False,False,154.036,"LINESTRING (116.3115356 39.9575997, 116.3133323 39.957749)"
2629760253,2629760244,0,257453039,,residential,False,True,106.245,"LINESTRING (116.3115356 39.9575997, 116.3102967 39.9574942)"
2629760253,2629760252,0,257453041,,residential,False,True,104.446,"LINESTRING (116.3115356 39.9575997, 116.3113961 39.9585329)"
3577937728,8662392248,0,60105853,校园西路,residential,False,False,103.356,"LINESTRING (116.3076546 39.9566724, 116.3088669 39.9566933)"
3577937728,3577937734,0,60105853,校园西路,residential,False,True,90.678,"LINESTRING (116.3076546 39.9566724, 116.306591 39.956654)"
3577937728,3577937730,0,934714239,,residential,False,False,68.76599999999999,"LINESTRING (116.3076546 39.9566724, 116.3076567 39.9572086, 116.3077632 39.9572184)"
3577937730,3577937732,0,934714239,,residential,False,False,167.208,"LINESTRING (116.3077632 39.9572184, 116.3077313 39.9578042, 116.3077115 39.9587215)"
3577937730,3577937728,0,934714239,,residential,False,True,68.76599999999999,"LINESTRING (116.3077632 39.9572184, 116.3076567 39.9572086, 116.3076546 39.9566724)"
3577937730,8662392248,0,1013671066,,path,False,False,151.97,"LINESTRING (116.3077632 39.9572184, 116.3087958 39.957219, 116.3088602 39.9572191, 116.3088669 39.9566933)"
3577937732,3577937733,0,352009351,,residential,False,True,96.363,"LINESTRING (116.3077115 39.9587215, 116.3065811 39.9587052)"
3577937732,8662383349,0,934714239,,residential,False,False,55.133,"LINESTRING (116.3077115 39.9587215, 116.3076324 39.9592136)"
3577937732,3577937730,0,934714239,,residential,False,True,167.208,"LINESTRING (116.3077115 39.9587215, 116.3077313 39.9578042, 116.3077632 39.9572184)"
3577937733,3577937732,0,352009351,,residential,False,False,96.363,"LINESTRING (116.3065811 39.9587052, 116.3077115 39.9587215)"
3577937733,3577937734,0,352009351,,residential,False,True,228.085,"LINESTRING (116.3065811 39.9587052, 116.306591 39.956654)"
3577937733,8662392253,0,352009353,,residential,False,True,52.986,"LINESTRING (116.3065811 39.9587052, 116.3065101 39.9591786)"
3577937734,3577937728,0,60105853,校园西路,residential,False,False,90.678,"LINESTRING (116.306591 39.956654, 116.3076546 39.9566724)"
3577937734,3577937733,0,352009351,,residential,False,False,228.085,"LINESTRING (116.306591 39.956654, 116.3065811 39.9587052)"
7821451108,2629760242,0,257453039,,residential,False,True,20.647,"LINESTRING (116.3157465 39.9584932, 116.3157687 39.9583083)"
7821451108,2629760249,0,257453039,,residential,False,False,145.783,"LINESTRING (116.3157465 39.9584932, 116.3156985 39.9588937, 116.314521 39.9587868)"
7821451108,7821451111,0,"[838013187, 838013188]",,unclassified,False,"[False, True]",64.439,"LINESTRING (116.3157465 39.9584932, 116.3163778 39.9585439, 116.3164205 39.958506, 116.316427 39.9584634)"
7821451111,2629760242,0,"[838013188, 257453038]",,unclassified,False,False,65.782,"LINESTRING (116.316427 39.9584634, 116.3164339 39.9584176, 116.3163966 39.9583637, 116.3157687 39.9583083)"
7821451111,7821451108,0,"[838013187, 838013188]",,unclassified,False,"[False, True]",64.439,"LINESTRING (116.316427 39.9584634, 116.3164205 39.958506, 116.3163778 39.9585439, 116.3157465 39.9584932)"
8662360252,746804826,0,934714247,,residential,False,False,25.195,"LINESTRING (116.3125118 39.9569853, 116.3125488 39.9567605)"
8662360253,746804826,0,60105853,校园西路,residential,False,True,75.0,"LINESTRING (116.3134287 39.956766, 116.3125488 39.9567605)"
8662360253,8662360260,0,934717405,,residential,False,False,26.021,"LINESTRING (116.3134287 39.956766, 116.3134451 39.9567291, 116.3134768 39.9566986, 116.31352 39.956678, 116.3135698 39.9566698, 116.3136202 39.9566749, 116.3136655 39.9566927)"
8662360253,2377138434,0,934717405,,residential,False,True,13.004999999999999,"LINESTRING (116.3134287 39.956766, 116.3134295 39.956805, 116.3134473 39.9568415, 116.3134801 39.9568713)"
8662360256,2377138401,0,934713613,,residential,False,True,47.432,"LINESTRING (116.3148692 39.9557759, 116.3148692 39.9560875, 116.3148235 39.956197)"
8662360260,2377138436,0,934717405,,residential,False,False,8.001999999999999,"LINESTRING (116.3136655 39.9566927, 116.3136981 39.9567186, 116.3137185 39.956751)"
8662360260,8662360253,0,934717405,,residential,False,True,26.021,"LINESTRING (116.3136655 39.9566927, 116.3136202 39.9566749, 116.3135698 39.9566698, 116.31352 39.956678, 116.3134768 39.9566986, 116.3134451 39.9567291, 116.3134287 39.956766)"
8662360260,8662360276,0,934717406,,residential,False,False,65.86,"LINESTRING (116.3136655 39.9566927, 116.3136905 39.9566171, 116.313691 39.9561028)"
8662360276,2377138401,0,934714247,,residential,False,False,98.556,"LINESTRING (116.313691 39.9561028, 116.313884 39.9560899, 116.31434 39.9560981, 116.3147105 39.956147, 116.3148235 39.956197)"
8662360276,746804826,0,934714247,,residential,False,True,167.007,"LINESTRING (116.313691 39.9561028, 116.3136372 39.9561064, 116.3132456 39.9561023, 116.3125751 39.9561146, 116.3125488 39.9567605)"
8662360276,8662360260,0,934717406,,residential,False,True,65.86,"LINESTRING (116.313691 39.9561028, 116.3136905 39.9566171, 116.3136655 39.9566927)"
8662383349,8662392253,0,934713612,,residential,False,True,95.734,"LINESTRING (116.3076324 39.9592136, 116.3065101 39.9591786)"
8662383349,3577937732,0,934714239,,residential,False,True,55.133,"LINESTRING (116.3076324 39.9592136, 116.3077115 39.9587215)"
8662383349,8662383374,0,934713612,,residential,False,False,217.656,"LINESTRING (116.3076324 39.9592136, 116.3087454 39.9592484, 116.3101851 39.9592357)"
8662383374,2629760251,0,934714246,,residential,False,False,89.1,"LINESTRING (116.3101851 39.9592357, 116.3102641 39.9584367)"
8662383374,8662392259,0,934713612,,residential,False,False,232.32600000000002,"LINESTRING (116.3101851 39.9592357, 116.3113816 39.9592251, 116.3118068 39.9592391, 116.312068 39.9593043, 116.3120923 39.9594067, 116.3120194 39.9594533, 116.3119587 39.9599095)"
8662383374,8662383349,0,934713612,,residential,False,True,217.656,"LINESTRING (116.3101851 39.9592357, 116.3087454 39.9592484, 116.3076324 39.9592136)"
8662392248,2629760246,0,60105853,校园西路,residential,False,False,121.311,"LINESTRING (116.3088669 39.9566933, 116.3102898 39.9567178)"
8662392248,3577937728,0,60105853,校园西路,residential,False,True,103.356,"LINESTRING (116.3088669 39.9566933, 116.3076546 39.9566724)"
8662392248,3577937730,0,1013671066,,path,False,True,151.97,"LINESTRING (116.3088669 39.9566933, 116.3088602 39.9572191, 116.3087958 39.957219, 116.3077632 39.9572184)"
8662392252,8662392253,0,934713612,,residential,False,False,60.574,"LINESTRING (116.3057994 39.9591786, 116.3065101 39.9591786)"
8662392253,3577937733,0,352009353,,residential,False,False,52.986,"LINESTRING (116.3065101 39.9591786, 116.3065811 39.9587052)"
8662392253,8662383349,0,934713612,,residential,False,False,95.734,"LINESTRING (116.3065101 39.9591786, 116.3076324 39.9592136)"
8662392253,8662392252,0,934713612,,residential,False,True,60.574,"LINESTRING (116.3065101 39.9591786, 116.3057994 39.9591786)"
8662392259,8662383374,0,934713612,,residential,False,True,232.32599999999996,"LINESTRING (116.3119587 39.9599095, 116.3120194 39.9594533, 116.3120923 39.9594067, 116.312068 39.9593043, 116.3118068 39.9592391, 116.3113816 39.9592251, 116.3101851 39.9592357)"
8662392261,2629760249,0,934713613,,residential,False,False,130.567,"LINESTRING (116.3142972 39.9599468, 116.3143337 39.9595603, 116.314521 39.9587868)"
9352021344,2629760246,0,934714246,,residential,False,True,89.712,"LINESTRING (116.3102901 39.955911, 116.3102898 39.9567178)"
