element_type,osmid,amenity,parking,geometry,maxstay,maxheight,layer,name,access,golf_cart,motor_vehicle,surface,nodes,fee:conditional,note,ref,building,capacity,source,fee,parking:orientation,authentication:app,payment:cash,payment:credit_cards,addr:city,addr:housenumber,addr:state,addr:street,building:levels,loc_name,maxspeed,paloalto_ca:id,roof:levels,location,ways,type
way,324983016,parking,underground,"POLYGON ((-122.162034 37.4285333, -122.1618733 37.4284988, -122.1608645 37.428282, -122.1609667 37.4279774, -122.1610496 37.4277303, -122.1622217 37.4279795, -122.162034 37.4285333))",,,-1,Knight Management Center Garage,,,,,"[3316594115, 1758004045, 3316594116, 1757902279, 3316594117, 3316594118, 3316594115]",,,,,,,,,,,,,,,,,,,,,,,
way,324983017,parking,multi-storey,"POLYGON ((-122.1693859 37.4412184, -122.1692846 37.441138, -122.1690748 37.4409713, -122.1689836 37.4410459, -122.1685115 37.4406668, -122.1689031 37.4403367, -122.1696144 37.4408772, -122.1697158 37.4409543, -122.1693859 37.4412184))",,,,Hoover Pavilion Garage,,,,,"[3316594119, 3316594463, 3316594120, 3316594121, 3316594122, 3316594123, 3316594126, 3316594124, 3316594119]",,,,parking,,,,,,,,,,,,,,,,,,,
way,325113347,parking,,"POLYGON ((-122.1773118 37.4364328, -122.1769792 37.4361325, -122.177065 37.4358556, -122.1775344 37.435945, -122.177749 37.4353828, -122.1784678 37.4355319, -122.1773118 37.4364328))",,,,,,,,,"[3317804547, 3317804548, 3317804549, 3317804550, 3317804551, 3317804552, 3317804547]",,,,,,,,,,,,,,,,,,,,,,,
way,338598725,parking,surface,"POLYGON ((-122.1841138 37.4308061, -122.1840512 37.4310372, -122.1839124 37.4312648, -122.1837601 37.4314336, -122.1836751 37.4315083, -122.1835833 37.4314256, -122.1834803 37.4315083, -122.1832632 37.4316309, -122.1833113 37.431726, -122.1830259 37.4318585, -122.1823786 37.4310213, -122.1828835 37.4307749, -122.1828914 37.4307033, -122.1840628 37.4307511, -122.1840564 37.4307976, -122.1841138 37.4308061))",,,,,,,,,"[3457085623, 3457085630, 3457085633, 3457085638, 3457085641, 3457085636, 3457085640, 3457085642, 3457085643, 3457085644, 3457085628, 3457085618, 3457085615, 3457085616, 3457085621, 3457085623]",,,,,,,,,,,,,,,,,,,,,,,
way,338598726,parking,,"POLYGON ((-122.1825335 37.4308213, -122.1815942 37.4312766, -122.1815526 37.4312224, -122.1824918 37.4307671, -122.1825335 37.4308213))",,,,,,,,,"[3457085626, 3457085634, 3457085632, 3457085617, 3457085626]",,,,,,,,,,,,,,,,,,,,,,,
way,430272941,parking,,"POLYGON ((-122.1672284 37.4309443, -122.1673517 37.4305801, -122.1671184 37.4305268, -122.1670433 37.4307717, -122.1670943 37.4309123, -122.1672284 37.4309443))",,,,,customers;permit,,,,"[4295505300, 4295505301, 4295505302, 4295505303, 4295505304, 4295505300]",,,7282,,,,,,,,,,,,,,,,,,,,
way,430280128,parking,,"POLYGON ((-122.1829691 37.4286097, -122.1812471 37.4282093, -122.1816924 37.4268802, -122.1824273 37.4270591, -122.1830818 37.4273445, -122.1836129 37.4276257, -122.1829691 37.4286097))",,,,,,,,,"[4295590319, 4295590320, 4295590321, 4295590322, 4295590323, 4295590324, 4295590319]",,,,,,,,,,,,,,,,,,,,,,,
way,468516940,parking,surface,"POLYGON ((-122.1752915 37.4255827, -122.1744707 37.4254015, -122.174703 37.4247378, -122.1749568 37.4247938, -122.1747975 37.4252488, -122.1753646 37.425374, -122.1752915 37.4255827))",,,,,private,,,,"[4630489270, 4630489271, 4630489272, 4630489273, 4630489274, 4630489275, 4630489270]",,,,,,,,,,,,,,,,,,,,,,,
way,518904231,parking,,"POLYGON ((-122.1727874 37.4241681, -122.1727536 37.4241049, -122.1731204 37.4239812, -122.1731542 37.4240444, -122.1727874 37.4241681))",,,,,,,,,"[5060846136, 5060846137, 5060846138, 5060846139, 5060846136]",,,,,,,,,,,,,,,,,,,,,,,
way,518904232,parking,,"POLYGON ((-122.1732241 37.4239168, -122.1731338 37.4239428, -122.1730232 37.4237004, -122.1731134 37.4236744, -122.1732241 37.4239168))",,,,,,,,,"[5060846140, 5060846141, 5060846142, 5060846143, 5060846140]",,,,,,,,,,,,,,,,,,,,,,,
way,521119430,parking,surface,"POLYGON ((-122.1617162 37.4243512, -122.1619332 37.4237191, -122.1621696 37.4230328, -122.1617264 37.4229323, -122.1614997 37.42294, -122.1614267 37.423081, -122.1613362 37.4230333, -122.161139 37.4232509, -122.1607668 37.4241643, -122.1617162 37.4243512))",,,,,private,,,,"[1787964658, 8910620849, 1787964537, 5078054391, 5078054392, 6212885400, 5078054395, 5078054393, 5078054394, 1787964658]",,,,,,,,,,,,,,,,,,,,,,,
way,521119431,parking,surface,"POLYGON ((-122.1629939 37.423072, -122.1631639 37.4225639, -122.162916 37.4225068, -122.1625641 37.422502, -122.1620983 37.4225735, -122.1618604 37.4226576, -122.161816 37.4227524, -122.1618756 37.4228445, -122.1629939 37.423072))",,,,,private,,,,"[5078054396, 5078054397, 5078054398, 5078054399, 5078054400, 5078054401, 5078054402, 5078054403, 5078054396]",,,,,,,,,,,,,,,,,,,,,,,
way,538383201,parking,surface,"POLYGON ((-122.1801487 37.4324349, -122.1801916 37.4322879, -122.18015 37.4319855, -122.1801688 37.4319844, -122.1801138 37.4315893, -122.1801796 37.4315808, -122.1801581 37.4314967, -122.1800991 37.4315084, -122.1798335 37.4310079, -122.1804451 37.4303476, -122.1806986 37.4297161, -122.1809413 37.4297693, -122.1810566 37.4298045, -122.1811368 37.4298446, -122.1809158 37.4303742, -122.1811517 37.4304466, -122.1812824 37.4305158, -122.1812283 37.4305957, -122.1811362 37.4306959, -122.1804987 37.4313923, -122.1811116 37.4313433, -122.1811559 37.4317001, -122.1812337 37.4316926, -122.1812511 37.4319461, -122.1811934 37.4319557, -122.1812176 37.4321633, -122.181471 37.4321399, -122.1814751 37.432191, -122.1815394 37.4321846, -122.1815622 37.4324232, -122.1815032 37.4324296, -122.1815086 37.4324743, -122.1810727 37.4325137, -122.181062 37.4324679, -122.1809493 37.4324668, -122.1807267 37.4324828, -122.1807227 37.4324956, -122.1808085 37.4325084, -122.1807978 37.4325403, -122.1806328 37.4325116, -122.1804961 37.4324924, -122.1801487 37.4324349))",,,,,,,,asphalt,"[5211311578, 5211311579, 5211311580, 5211311581, 5211311582, 5211311583, 5211311584, 5211311585, 5211311586, 5211311587, 5211311588, 5211311589, 2574077062, 8410892007, 5211311591, 5211311592, 8410892008, 5211311593, 8410920058, 5211311594, 5211311595, 5211311596, 5211311597, 5211311598, 5211311599, 5211311600, 5211311601, 5211311602, 5211311603, 5211311604, 5211311605, 5211311606, 5211311607, 5211311608, 5211311609, 5211311610, 5211311611, 5211311612, 5211311613, 5211311614, 5211311615, 5211311578]",,,,,,,,,,,,,,,,,,,,,,,
way,591686706,parking,,"POLYGON ((-122.1714825 37.4270665, -122.1712007 37.4270139, -122.1712471 37.426857, -122.1715289 37.4269096, -122.1715055 37.4269888, -122.1714825 37.4270665))",,,,,,,,,"[5648594195, 5648594196, 5648594197, 5648594198, 256568866, 5648594195]",,,,,,,,,,,,,,,,,,,,,,,
way,591686707,parking,,"POLYGON ((-122.1710834 37.4269192, -122.1708523 37.4267663, -122.170894 37.4267266, -122.171125 37.4268795, -122.1710834 37.4269192))",,,,,,,,,"[5648594199, 5648594200, 5648594201, 5648594202, 5648594199]",,,,,,,,,,,,,,,,,,,,,,,
way,591686708,parking,,"POLYGON ((-122.1695861 37.4265457, -122.1695742 37.4265951, -122.169825 37.4266334, -122.169837 37.426584, -122.1695861 37.4265457))",,,,,,,,,"[5648594203, 5648594204, 5648594205, 5648594206, 5648594203]",,,,,,,,,,,,,,,,,,,,,,,
way,607637972,parking,underground,"POLYGON ((-122.1729331 37.4306224, -122.172938 37.4306052, -122.1729837 37.4304706, -122.1729919 37.4304473, -122.1725753 37.4303593, -122.1723144 37.4303035, -122.1722261 37.4302845, -122.1720994 37.430258, -122.1720689 37.4303487, -122.172062 37.4303691, -122.1721278 37.4303831, -122.1720896 37.4304968, -122.17202 37.4305361, -122.171977 37.4305273, -122.1719713 37.4305447, -122.1719664 37.4305596, -122.1720248 37.4305716, -122.1721088 37.4305242, -122.1725857 37.4306255, -122.1726407 37.4304622, -122.1728478 37.4305062, -122.172817 37.4305978, -122.1729331 37.4306224))",,,-1,Biology Loading Dock,no,,,,"[5686156664, 6524008584, 6239344432, 5758204507, 2411555837, 6467494629, 2411555829, 5758204508, 2411555835, 6239344405, 6239344404, 6239344403, 6239344402, 6239344401, 6239344412, 6239344400, 6239344399, 5758204509, 5758204510, 5758204511, 6524008579, 6524008580, 5686156664]",,,,,,,,,,,,,,,,,,,,,underground,,
way,700064617,parking,,"POLYGON ((-122.170911 37.4313344, -122.1710939 37.4313724, -122.1711497 37.4312028, -122.1709668 37.4311649, -122.170911 37.4313344))",,,,,private,,,asphalt,"[6574133567, 6574133568, 6574133569, 6574133570, 6574133567]",,,,,,,,,,,,,,,,,,,,,,,
way,703808918,parking,,"POLYGON ((-122.1642249 37.4276601, -122.1643 37.427438, -122.1640769 37.4273904, -122.1640017 37.4276125, -122.1642249 37.4276601))",,,,,,,,,"[6608996253, 6608996254, 6608996255, 6608996256, 6608996253]",,,,,,,,,,,,,,,,,,,,,,,
way,727172123,parking,,"POLYGON ((-122.1687062 37.4419399, -122.1685624 37.4420615, -122.1688492 37.4422754, -122.1692191 37.4419627, -122.1690534 37.4418391, -122.1688272 37.4420302, -122.1687062 37.4419399))",,,,,,,,,"[6814758759, 6814758760, 6814758761, 6814758762, 6814758763, 6814758764, 6814758759]",,,,,,,,,,,,,,,,,,,,,,,
way,891732465,parking,,"POLYGON ((-122.1790555 37.4346689, -122.1788788 37.4351885, -122.1784492 37.4350964, -122.1778273 37.434963, -122.1776424 37.4349234, -122.1778205 37.4344047, -122.1779761 37.4344386, -122.1780385 37.4344522, -122.1785492 37.4345611, -122.1786305 37.4345784, -122.1790555 37.4346689))",,,,Pasteur Staff Garage,,,,,"[6467494585, 6467494586, 7693163426, 7693163429, 6467494587, 8287966679, 7693163431, 7078764383, 7078764376, 7693163433, 6467494585]",,,,garage,,,,,,,,,1189,,Welch Road,,,,,,,,
way,936907369,parking,,"POLYGON ((-122.1778549 37.4259536, -122.1780532 37.4253711, -122.1780553 37.4251428, -122.1780091 37.4250579, -122.177866 37.4250272, -122.1779209 37.4248657, -122.1772319 37.4247179, -122.1771946 37.4248279, -122.1777356 37.4249439, -122.1776328 37.425246, -122.1774356 37.4252037, -122.1772998 37.425603, -122.1774073 37.4256261, -122.1773339 37.4258417, -122.1778549 37.4259536))",,,,,,,,,"[8681111891, 8681111892, 8681111893, 8681111894, 8681111895, 8681111896, 8681111897, 8681111898, 8681111899, 8681111900, 8681111901, 8681111902, 8681111903, 8681111904, 8681111891]",,,,,,,,,,,,,,,,,,,,,,,
way,936907371,parking,,"POLYGON ((-122.1749737 37.4238893, -122.1748583 37.4240467, -122.1751738 37.4241994, -122.1758586 37.4243675, -122.1758913 37.4242773, -122.1754777 37.4241368, -122.1749737 37.4238893))",,,,,,,,,"[8681111914, 8681111915, 8681111916, 8681114617, 8681114618, 8681114619, 8681111914]",,,,,,,,,,,,,,,,,,,,,,,
way,938235610,parking,,"POLYGON ((-122.1645317 37.4258629, -122.164456 37.4258473, -122.1644451 37.4259261, -122.1645081 37.4259392, -122.1645317 37.4258629))",,,,,,,,,"[8692045501, 8692045502, 8692045503, 8692045504, 8692045501]",,,,,,,,,,,,,,,,,,,,,,,
way,938235611,parking,,"POLYGON ((-122.1645533 37.4257979, -122.1644771 37.4257811, -122.1645179 37.4256647, -122.164594 37.4256815, -122.1645533 37.4257979))",,,,,,,,,"[8692045505, 8692045506, 8692045507, 8692045508, 8692045505]",,,,,,,,,,,,,,,,,,,,,,,
way,1135975112,parking,,"POLYGON ((-122.1785369 37.434514, -122.1785864 37.4343606, -122.1781374 37.4342632, -122.178086 37.4344178, -122.1785369 37.434514))",,,,,,,,,"[7078769385, 10589382817, 10589382839, 7078764380, 7078769385]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137076,parking,,"POLYGON ((-122.1730702 37.4226379, -122.1730596 37.4225007, -122.1728787 37.4225095, -122.172849 37.4224713, -122.1728775 37.4224187, -122.17294 37.4224401, -122.1729992 37.4223364, -122.1729557 37.4223015, -122.1729653 37.4222856, -122.1728158 37.4222287, -122.1726776 37.4224451, -122.1727303 37.4224649, -122.1727114 37.4224968, -122.1726586 37.422477, -122.1725788 37.4226079, -122.1727679 37.4226257, -122.1727788 37.4225768, -122.1728354 37.4225847, -122.172825 37.4226313, -122.1730702 37.4226379))",,,,,,,,,"[10871785543, 10871785542, 10871785541, 10871785540, 10871785539, 10871785538, 10871785537, 10871785536, 10871785535, 10871785534, 10871785533, 10871785532, 10871785531, 10871785530, 10871785529, 10871785528, 10871785527, 10871785526, 10871785525, 10871785543]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137077,parking,,"POLYGON ((-122.172247 37.421768, -122.172185 37.4216446, -122.1721212 37.4216748, -122.1722057 37.4217875, -122.172247 37.421768))",,,,,,,,,"[10871785547, 10871785546, 10871785545, 10871785544, 10871785547]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137078,parking,street_side,"POLYGON ((-122.1715569 37.4212713, -122.1716749 37.4212877, -122.171793 37.4213093, -122.1719382 37.4213432, -122.1721128 37.4213955, -122.1723119 37.421472, -122.1725144 37.4215684, -122.1726448 37.4216476, -122.1726862 37.4216792, -122.1727125 37.4217055, -122.1727359 37.4217353, -122.1727576 37.4217733, -122.1727711 37.4218085, -122.1727798 37.4218456, -122.1727929 37.4218815, -122.1728123 37.4219196, -122.1728468 37.4219634, -122.1729151 37.4220291, -122.1729393 37.4220123, -122.1728685 37.4219482, -122.1728395 37.4219069, -122.1728225 37.4218736, -122.1728096 37.4218364, -122.1728029 37.421803, -122.1727886 37.4217685, -122.172766 37.4217272, -122.1727414 37.4216923, -122.1727121 37.4216644, -122.1726749 37.4216346, -122.1726178 37.4215977, -122.1725298 37.4215466, -122.1724253 37.4214923, -122.1723289 37.4214479, -122.1722323 37.4214084, -122.1721264 37.4213702, -122.1720291 37.4213397, -122.171958 37.42132, -122.1718239 37.4212886, -122.1717172 37.4212686, -122.1715612 37.4212451, -122.1715569 37.4212713))",,,,,,,,,"[10871785573, 10871785557, 10871785558, 10871785559, 10871785560, 10871785561, 10871785563, 10871785564, 10871785562, 10871785565, 10871785566, 10871785567, 10871785568, 10871785569, 10871785570, 10871785571, 10871785572, 10871785596, 10871785595, 10871785594, 10871785593, 10871785592, 10871785591, 10871785590, 10871785589, 10871785588, 10871785587, 10871785586, 10871785585, 10871785584, 10871785583, 10871785582, 10871785581, 10871785580, 10871785579, 10871785578, 10871785577, 10871785576, 10871785575, 10871785574, 10871785573]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137090,parking,street_side,"POLYGON ((-122.1720503 37.4207427, -122.1720311 37.420702, -122.1718836 37.4207457, -122.1719027 37.4207864, -122.1720503 37.4207427))",,,,,,,,,"[10871785620, 10871785619, 10871785618, 10871785617, 10871785620]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137091,parking,street_side,"POLYGON ((-122.1729687 37.4215255, -122.1729351 37.4215354, -122.17297 37.4216214, -122.1729996 37.4217076, -122.1730248 37.4217961, -122.1730449 37.4218846, -122.1730821 37.4218807, -122.1730619 37.4217891, -122.1730368 37.4217017, -122.1730056 37.4216132, -122.1729687 37.4215255))",,,,,,,,,"[10871785633, 10871785632, 10871785625, 10871785628, 10871785627, 10871785631, 10871785630, 10871785626, 10871785629, 10871785624, 10871785633]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137092,parking,street_side,"POLYGON ((-122.1727263 37.4208127, -122.1727702 37.4207683, -122.1727414 37.4207377, -122.1726911 37.4207094, -122.1726542 37.4206951, -122.1726361 37.4206911, -122.1726106 37.4206761, -122.1725781 37.42067, -122.1725714 37.420665, -122.172499 37.4206583, -122.1724789 37.4207219, -122.1725573 37.4207307, -122.1727183 37.4208197, -122.1727263 37.4208127))",,,,,,,,,"[10865892198, 10612387441, 10865892195, 10865892188, 10865892189, 10865892191, 10865892190, 10865892192, 10865892193, 10865892194, 10612387462, 10871785639, 10871785638, 10865892198]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137093,parking,street_side,"POLYGON ((-122.1728172 37.4208082, -122.1728018 37.4208219, -122.1727564 37.4208303, -122.1728739 37.4209145, -122.172915 37.4208784, -122.1728172 37.4208082))",,,,,,,,,"[10871785644, 10871785643, 10871785642, 10871785641, 10871785640, 10871785644]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137094,parking,street_side,"POLYGON ((-122.1729666 37.4210808, -122.1730246 37.4210568, -122.1730975 37.421168, -122.1730394 37.421192, -122.1729666 37.4210808))",,,,,,,,,"[10871785648, 10871785647, 10871785646, 10871785645, 10871785648]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137095,parking,street_side,"POLYGON ((-122.1731987 37.4214872, -122.1731139 37.421513, -122.1730938 37.4214787, -122.172914 37.4212452, -122.172849 37.4211367, -122.1729265 37.421115, -122.1729795 37.4212082, -122.1731223 37.4213996, -122.1731987 37.4214872))",,,,,,,,,"[10871785654, 10871785637, 10871785653, 10871785652, 10871785651, 10871785650, 10871785636, 10871785649, 10871785654]",,,,,,,,,,,,,,,,,,,,,,,
way,1169137096,parking,street_side,"POLYGON ((-122.1728293 37.4209908, -122.1727789 37.4210173, -122.1728696 37.4211261, -122.17292 37.4210996, -122.1728293 37.4209908))",,,,,,,,,"[10871785658, 10871785657, 10871785656, 10871785655, 10871785658]",,,,,,,,,,,,,,,,,,,,,,,
way,1169897604,parking,surface,"POLYGON ((-122.1816248 37.423521, -122.1812784 37.4244028, -122.1813789 37.424424, -122.181714 37.4244948, -122.1820852 37.4245732, -122.1820926 37.4235464, -122.1818839 37.4235272, -122.18187 37.4235708, -122.1816248 37.423521))",,,,,,,,,"[10877834792, 314048876, 1782366271, 1782366282, 314048877, 314048879, 314048880, 10877834793, 10877834792]",,,,,,,,,,,,,,,,,,,,,,,
way,1169948762,parking,,"POLYGON ((-122.1694953 37.4209144, -122.1694453 37.4209291, -122.1693269 37.4209372, -122.169321 37.4208825, -122.1693823 37.4207856, -122.1692973 37.4207383, -122.1697751 37.4203573, -122.1698107 37.4203856, -122.1698581 37.4203481, -122.1699221 37.420399, -122.1698754 37.4204359, -122.1699442 37.4205001, -122.1699474 37.4205299, -122.1699384 37.420558, -122.1699159 37.4205842, -122.1696867 37.4207696, -122.1697323 37.4207962, -122.16957 37.4208921, -122.1695884 37.4209775, -122.1696556 37.4209731, -122.1696604 37.421054, -122.1696505 37.4211273, -122.1696295 37.4211933, -122.1695973 37.4212565, -122.1695517 37.4213194, -122.1694786 37.4213904, -122.1692829 37.4212903, -122.1693406 37.4212346, -122.1693825 37.4211712, -122.1694063 37.421107, -122.1694144 37.4210412, -122.1695124 37.421054, -122.1694963 37.4209837, -122.1695131 37.4209826, -122.1694953 37.4209144))",,,,,,,,,"[10878192080, 10878192088, 10878383923, 10878192089, 10878383924, 10878192090, 10878192091, 10878192092, 10878192093, 10878192094, 10878192095, 10878192083, 10878192082, 10878192081, 10878192084, 10878192085, 10878192086, 10878192087, 10878192078, 10878192104, 10878192097, 10878192096, 10878192100, 10878192098, 10878192099, 10878197809, 10878197808, 10878192101, 10878192103, 10878192102, 10878197807, 10878197806, 10878197805, 10878192079, 10878192080]",,,,,,,,,,,,,,,,,,,,,,,
way,1169948763,parking,surface,"POLYGON ((-122.1700542 37.4214385, -122.1701105 37.4215354, -122.1700622 37.4220179, -122.170077 37.4220829, -122.1700421 37.4221361, -122.1700341 37.4222235, -122.1700515 37.4222671, -122.1700314 37.4223843, -122.1697967 37.4224035, -122.1697819 37.4223449, -122.169845 37.4222916, -122.169853 37.4222128, -122.1698235 37.4221627, -122.169739 37.4221319, -122.1696317 37.4219561, -122.1698637 37.4219348, -122.1698248 37.4214534, -122.1700542 37.4214385))",,,,,,,,,"[10878197828, 10878197827, 10878197826, 10878197825, 10878197824, 10878197823, 10878197822, 10878197821, 10878197820, 10878197819, 10878197818, 10878197817, 10878197816, 10878197815, 10878197814, 10878197813, 10878197812, 10878197828]",,,,,,,,,,,,,,,,,,,,,,,
way,1193027682,parking,,"POLYGON ((-122.1848383 37.4300713, -122.1848432 37.429995, -122.1847877 37.4299907, -122.1846077 37.4299813, -122.1845787 37.4299798, -122.184574 37.4300593, -122.1848383 37.4300713))",,,,,,,,,"[11074162919, 11074162920, 6317078811, 6317078812, 11074162921, 11074162922, 11074162919]",,,,,,,,,,,,,,,,,,,,,,,
way,1193027686,parking,,"POLYGON ((-122.1843039 37.4263817, -122.1836561 37.426272, -122.1836668 37.4262251, -122.1835019 37.426191, -122.1834187 37.4261612, -122.1834724 37.4260621, -122.1836816 37.4261218, -122.184442 37.4262432, -122.1844313 37.426289, -122.1843226 37.4263412, -122.1843039 37.4263817))",,,,,,,,,"[11074162943, 11074162944, 11074162945, 11074162946, 11074162947, 11074162948, 11074162949, 11074162950, 11074162951, 11074162952, 11074162943]",,,,,,,,,,,,,,,,,,,,,,,
way,1193027688,parking,,"POLYGON ((-122.1833718 37.4260174, -122.183316 37.4260848, -122.1832481 37.4260545, -122.1831167 37.4260119, -122.1821601 37.4257772, -122.1821889 37.425683, -122.1826784 37.4258044, -122.1831411 37.4259184, -122.1833718 37.4260174))",,,,,,,,,"[11074162956, 11074162957, 847460110, 847460112, 11074162958, 11074162959, 11074162960, 11074162961, 11074162956]",,,,,,,,,,,,,,,,,,,,,,,
relation,15815522,parking,,"POLYGON ((-122.1736275 37.420392, -122.1737208 37.4204196, -122.1737493 37.4204369, -122.173764 37.4204553, -122.1737713 37.4204782, -122.1737702 37.4204969, -122.1736832 37.4206647, -122.1732102 37.4205859, -122.1732112 37.4205658, -122.1732046 37.4205529, -122.1731896 37.4205407, -122.1731488 37.4205124, -122.173253 37.4203135, -122.1733737 37.4203033, -122.1733955 37.4202493, -122.1734539 37.4202594, -122.173651 37.4203489, -122.1736275 37.420392), (-122.1733825 37.4204301, -122.173401 37.4203956, -122.1734002 37.4203879, -122.1733916 37.4203817, -122.1733797 37.4203824, -122.1733733 37.4203879, -122.1733243 37.4204763, -122.1733226 37.4204872, -122.1733263 37.4204935, -122.1733329 37.420498, -122.1733432 37.4204999, -122.1736386 37.4205533, -122.1736524 37.4205535, -122.1736621 37.4205512, -122.1736704 37.4205472, -122.1736965 37.4204977, -122.173698 37.4204904, -122.1736939 37.4204848, -122.1736867 37.4204823, -122.17368 37.4204832, -122.173673 37.4204898, -122.1736554 37.4205217, -122.1733825 37.4204301))",,,,,,,,,"[[[10871751368, 10871751361, 10871751358, 10871751356, 10871751357, 10871751359, 10871751362, 10871751363, 10871751360, 10871751355, 10871751364, 10871751354, 10871751353, 10871751351, 10871751352, 10871751365, 10871751366, 10871751350, 10871751348, 10871751349, 10871751367, 10871751369, 10871751368], [10865892154, 10871751381, 10871751380, 10871751372, 10871751371, 10871751370, 10871751374, 10871751373, 10865892157, 10865892156, 10865892155, 10865892158, 10865892159, 10612387444, 10612387445, 10865892152, 10865892153, 10865892154]]]",,,,,,,,,,,,,,,,,,,,,,"[1169137072, 1169137073]",multipolygon
relation,15815523,parking,,"POLYGON ((-122.1733654 37.421292, -122.1732986 37.4212692, -122.1731669 37.4210657, -122.1731688 37.4210189, -122.1731111 37.4209985, -122.1732809 37.4206964, -122.173344 37.4207188, -122.1733721 37.4206999, -122.1734144 37.420684, -122.1734743 37.4206794, -122.1735247 37.4206901, -122.1735586 37.4207069, -122.1735921 37.4207368, -122.1736122 37.4207747, -122.173616 37.4208134, -122.1736054 37.4208495, -122.1733654 37.421292), (-122.173545 37.4208045, -122.1735418 37.4207912, -122.1735352 37.4207782, -122.1735196 37.4207608, -122.1734989 37.4207481, -122.1734776 37.4207411, -122.1734562 37.4207391, -122.1734344 37.4207426, -122.1734222 37.4207472, -122.1734108 37.420754, -122.1734059 37.4207587, -122.1734052 37.4207664, -122.1734088 37.4207745, -122.1734177 37.420781, -122.1734502 37.4207925, -122.1732736 37.4211127, -122.1733791 37.4211493, -122.1733981 37.4211148, -122.1733318 37.4210918, -122.1734894 37.4208061, -122.1735445 37.4208218, -122.173545 37.4208045))",,,,,,,,,"[[[10871751402, 10871751401, 10871751400, 10871751399, 10871751398, 10871751397, 10871751396, 10871751395, 10871751392, 10871751390, 10871751394, 10871751391, 10871751386, 10871751387, 10871751388, 10871751389, 10871751393, 10871751385, 10871751384, 10871751382, 10871751383, 10871751402], [10871785518, 10871785517, 10871785516, 10871785515, 10871785514, 10871785513, 10871785512, 10871785511, 10871785510, 10871785509, 10871785508, 10871785507, 10871785506, 10871785505, 10871751404, 10871751403, 10871785518]]]",,,,,,,,,,,,,,,,,,,,,,"[1169137074, 1169137075]",multipolygon
