element_type,osmid,amenity,parking,geometry,maxstay,maxheight,layer,name,access,golf_cart,motor_vehicle,surface,nodes,fee:conditional,note,ref,building,capacity,source,fee,parking:orientation,authentication:app,payment:cash,payment:credit_cards,addr:city,addr:housenumber,addr:state,addr:street,building:levels,loc_name,maxspeed,paloalto_ca:id,roof:levels,location,ways,type
way,31701232,parking,surface,"POLYGON ((-122.1689368 37.4309085, -122.1688046 37.4309065, -122.1687666 37.4307927, -122.1687404 37.4306707, -122.1687235 37.4305712, -122.168668 37.4306001, -122.168647 37.4303908, -122.1686505 37.4302387, -122.1686657 37.4300963, -122.1686827 37.4299755, -122.1687247 37.4297816, -122.1687461 37.4296983, -122.1687967 37.4295816, -122.1688784 37.4294353, -122.168931 37.4294318, -122.1689728 37.4293551, -122.1690739 37.4292093, -122.1691564 37.4291105, -122.1692094 37.4290825, -122.1692465 37.4291019, -122.1692841 37.4291518, -122.1692033 37.4292314, -122.1691048 37.4293646, -122.1690147 37.4294996, -122.168962 37.4295948, -122.1689104 37.429731, -122.1688838 37.4298179, -122.1688591 37.4299414, -122.1688332 37.4300738, -122.1688212 37.4302034, -122.1688145 37.4303635, -122.1688168 37.4304673, -122.1688323 37.4305883, -122.168855 37.4307201, -122.1688994 37.4308374, -122.1689368 37.4309085))",,,,,,,,,"[354721166, 354721167, 847428767, 847428768, 847428769, 354721168, 847428771, 847428772, 354721169, 847428773, 354721171, 847428774, 847428775, 354721172, 9913605189, 847428779, 847428780, 9913605154, 354721173, 9913605153, 354721174, 847428685, 847428686, 847428687, 354721175, 847428688, 354721176, 847428565, 9913605190, 847428547, 354721177, 847428528, 847428529, 354721178, 9913605191, 354721166]",,,,,,,,,,,,,,,,,,,,,,,
way,31701485,parking,surface,"POLYGON ((-122.166656 37.4298598, -122.1667083 37.4297055, -122.1652984 37.4294047, -122.1652462 37.4295588, -122.166656 37.4298598))",,,,,,,,,"[354721365, 354721366, 354721367, 354721368, 354721365]",,,,,,,,,,,,,,,,,,,,,,,
way,31705591,parking,,"POLYGON ((-122.1660848 37.4268972, -122.1660977 37.4268596, -122.1668866 37.4270311, -122.1668737 37.4270685, -122.1660848 37.4268972))",,,,,,,,,"[354726480, 354726481, 354726482, 6533328188, 354726480]",,,,,,,,,,,,,,,,,,,,,,,
way,31705678,parking,surface,"POLYGON ((-122.1633062 37.4261488, -122.1631827 37.4265585, -122.162795 37.4264848, -122.162868 37.4262424, -122.1625344 37.426179, -122.1625655 37.426076, -122.1627801 37.4261168, -122.1627995 37.4260525, -122.1633062 37.4261488))",,,,,private,,,,"[354728665, 354728666, 354728667, 354728669, 7525362150, 354728670, 7525362152, 7525362151, 354728665]",,,,,,,,,,,,,,,,,,,,,,,
way,31705884,parking,surface,"POLYGON ((-122.1667858 37.4324703, -122.1667343 37.4324591, -122.1664816 37.4331915, -122.1665329 37.4332027, -122.1667858 37.4324703))",,,,,,,,,"[354735810, 354735811, 354735812, 354735813, 354735810]",,,,,,,,,,,,,,,,,,,,,,,
way,31705896,parking,surface,"POLYGON ((-122.1670568 37.4316803, -122.1669964 37.4316679, -122.1671968 37.431051, -122.1672573 37.4310634, -122.1670568 37.4316803))",,,,,,,,,"[354736011, 354736013, 354736014, 354736015, 354736011]",,,,,,,,,,,,,,,,,,,,,,,
way,31706002,parking,surface,"POLYGON ((-122.1708664 37.4253673, -122.1708034 37.425544, -122.1705832 37.4254946, -122.1706462 37.4253178, -122.1708664 37.4253673))",,,,,,,,,"[354739500, 354739501, 354739502, 354739503, 354739500]",,,,,,,,,,,,,,,,,,,,,,,
way,31706004,parking,surface,"POLYGON ((-122.1711744 37.4247909, -122.1711572 37.4248727, -122.1729082 37.4252544, -122.1729339 37.4251726, -122.1711744 37.4247909))",,,,,,,,,"[354739569, 354739570, 354739571, 354739572, 354739569]",,,,,,,,,,,,,,,,,,,,,,,
way,31706033,parking,,"POLYGON ((-122.1709512 37.4216758, -122.1702045 37.4212873, -122.1706336 37.4209942, -122.1713031 37.4213895, -122.1709512 37.4216758))",,,,,,,,,"[354740636, 354740637, 354740638, 354740639, 354740636]",,,,,,,,,,,,,,,,,,,,,,,
way,31706034,parking,,"POLYGON ((-122.1698381 37.4219059, -122.1698322 37.4216539, -122.1697238 37.421335, -122.1694519 37.4214453, -122.1693905 37.4214794, -122.1694587 37.4216771, -122.1694694 37.4219274, -122.1696187 37.4219184, -122.1698381 37.4219059))",,,,,,,,,"[354740683, 354740684, 354740685, 354740686, 354740687, 10878197810, 10878197811, 354740688, 354740683]",,,,,,,,,,,,,,,,,,,,,,,
way,31709922,parking,street_side,"POLYGON ((-122.1701848 37.4327734, -122.1704659 37.4319296, -122.1705195 37.4319409, -122.1702382 37.4327847, -122.1701848 37.4327734))",,,,,yes,,,asphalt,"[354783055, 354783056, 354783057, 354783058, 354783055]",,,,,,,yes,perpendicular,,,,,,,,,,,,,,,
way,31709981,parking,,"POLYGON ((-122.1701412 37.4330424, -122.170089 37.4330315, -122.1697644 37.4340081, -122.1698169 37.4340191, -122.1701412 37.4330424))",,,,,yes,,,,"[354783073, 354783074, 354783075, 354783076, 354783073]",,,,,,,,,,,,,,,,,,,,,,,
way,31711544,parking,,"POLYGON ((-122.1719948 37.42508, -122.1719338 37.4252754, -122.1717966 37.4252484, -122.1717702 37.425333, -122.1716914 37.4253175, -122.1717788 37.4250374, -122.1719948 37.42508))",,,,,,,,,"[354786153, 354786154, 354786156, 354786157, 354786158, 354786159, 354786153]",,,,,,,,,,,,,,,,,,,,,,,
way,31711609,parking,,"POLYGON ((-122.1626366 37.424847, -122.1625854 37.4249941, -122.1625156 37.4251946, -122.1623109 37.4251497, -122.1624318 37.4248021, -122.1626366 37.424847))",,,,,,,,,"[354788320, 6533185370, 354788321, 354788322, 354788323, 354788320]",,,,,,,,,,,,,,,,,,,,,,,
