u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,service,access,junction,width,tunnel,bridge
65427084,338518144,0,539105647,False,2,Lasuen Street,unclassified,,False,34.06,"LINESTRING (-122.1664854 37.4334672, -122.1664608 37.4335628, -122.1664278 37.4336665, -122.1664033 37.4337664)",,,,,,
65458552,4913257330,0,413736756,False,2,Santa Teresa Street,residential,,True,20.923,"LINESTRING (-122.1711519 37.4247623, -122.1713809 37.4248106)",,,,,,
65461959,6332449639,0,8933802,False,,Via Palou,service,,True,5.528,"LINESTRING (-122.1741373 37.4299195, -122.1741536 37.4298715)",,private,,,,
65461959,6333452718,0,8958410,False,,Jane Stanford Way,unclassified,,True,5.031,"LINESTRING (-122.1741373 37.4299195, -122.1741921 37.4299319)",,private,,,,
65461959,6502805181,0,250914486,False,,,footway,,False,6.44,"LINESTRING (-122.1741373 37.4299195, -122.1741192 37.4299756)",,,,,,
65461959,6333452715,0,609348639,False,,Jane Stanford Way,unclassified,,False,4.504,"LINESTRING (-122.1741373 37.4299195, -122.1740876 37.4299104)",,private,,,,
65461960,1758054039,0,596052103,True,2,Campus Drive,tertiary,25 mph,False,6.348,"LINESTRING (-122.1753535 37.4304624, -122.175284 37.4304478)",,,,,,
65461960,275516062,0,596052104,False,,Via Ortega Drive,residential,,True,28.418,"LINESTRING (-122.1753535 37.4304624, -122.1754371 37.4302156)",,,,,,
65461960,65682860,0,690324832,False,,Via Ortega Drive,residential,,False,9.061,"LINESTRING (-122.1753535 37.4304624, -122.1753269 37.4305411)",,,,,,
65464351,65510924,0,425209893,True,1,Campus Drive East,tertiary,25 mph,False,57.135,"LINESTRING (-122.1669993 37.4222626, -122.1674262 37.4220459, -122.1675299 37.4219708)",,,,,,
65464351,4742673726,0,"[963300849, 963300850, 963300851]",False,,,footway,,False,7.477,"LINESTRING (-122.1669993 37.4222626, -122.1669859 37.4222436, -122.1669714 37.4222251, -122.1669547 37.4222055)",,,,,,
