element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:state,addr:street,access,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,note,amenity,operator,wheelchair,layer,parking,website,addr:postcode,description,fixme,tourism,nodes,building:levels,name:etymology:wikidata,name:etymology:wikipedia,wikidata,old_name,alt_name,architect,contact:yelp,display,faces,height,man_made,opening_hours,start_date,support,tower:construction,tower:type,visibility,wikipedia,internet_access,addr:housename,disused:museum,disused:tourism,historic,occupant,comment,air_conditioning,phone,heritage,leisure,sport,is_in:state_code,toilets:wheelchair,healthcare,contact:facebook,contact:instagram,museum,wikimedia_commons,cooperative,heritage:operator,name_1,landuse,plant:output:electricity,plant:source,power,brand,brand:wikidata,cuisine,outdoor_seating,roof:levels,covered,historic:note,ref:nrhp,shop,official_name,operator:type,operator:wikidata,short_name,email,location,designation,survey:date,wheelchair:description,bridge,building:use,disused,min_height,smoking,drinking_water,bar,fax,internet_access:fee,payment:cash,payment:credit_cards,rooms,guest_house,reservation,telescope:type,alt_name_1,content,material,bicycle_parking,branch,cooling:method,memorial,ways,type,architect:wikidata,building:material,contact:foursquare,url,really_has_a_road_through_it
way,24024501,"POLYGON ((-122.2570651 37.8723953, -122.2572525 37.8723535, -122.2575032 37.8722977, -122.2574094 37.8720353, -122.2569713 37.8721329, -122.2570357 37.8723131, -122.2570651 37.8723953))",,,,CA,,,university,99,Alameda,1656671,57871b70-0100-4405-bb30-88b2e001a944,,Birge Hall,USGS Geonames,,,,,,,,,,,,"[260543411, 4301518165, 260543412, 260543413, 260543414, 4301518114, 260543411]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024502,"POLYGON ((-122.2562885 37.87319, -122.2561845 37.8729012, -122.2555465 37.8730437, -122.2555935 37.8731732, -122.2556094 37.8732196, -122.2556265 37.8732666, -122.2556505 37.8733325, -122.2562885 37.87319))",,,,CA,,,yes,106,Alameda,1656729,57871b70-0100-4405-bb30-88b2e001a944,,Latimer Hall,USGS Geonames,,,,,,,,,,,,"[260543415, 260543416, 260543417, 1419636757, 9553234205, 1419636751, 260543418, 260543415]",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024503,"POLYGON ((-122.2566357 37.8732312, -122.2566683 37.8732239, -122.2565605 37.8729214, -122.256516 37.8729317, -122.2565046 37.8729013, -122.2562338 37.8729642, -122.256347 37.8732928, -122.2563796 37.8732858, -122.2563976 37.8733265, -122.2566471 37.8732686, -122.2566357 37.8732312))",,,,,,,yes,,,,,,Tan Hall,,,,,,,,,,,,,"[260543419, 260543467, 260543465, 260543420, 260543466, 260543421, 260543470, 260543422, 260543469, 260543468, 260543419]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024504,"POLYGON ((-122.2562134 37.8733706, -122.2562194 37.8734027, -122.2562104 37.8734378, -122.2561814 37.8734729, -122.2561304 37.873506, -122.2560864 37.8735225, -122.2560262 37.8735328, -122.2559738 37.8735318, -122.2559244 37.8735206, -122.2558864 37.8735031, -122.2558584 37.8734641, -122.2558504 37.87343, -122.2558594 37.873392, -122.2558854 37.8733645, -122.2559188 37.8733424, -122.2559631 37.8733228, -122.2559887 37.8733164, -122.256027 37.8733069, -122.2560944 37.8733078, -122.2561464 37.873317, -122.2561884 37.8733433, -122.2562134 37.8733706))",,,,,,,university,,,,,,Pimentel Hall,,,,,,,,,,,,,"[260543423, 260543429, 260543446, 260543447, 260543448, 260543451, 260543452, 260543453, 260543454, 260543455, 260543456, 260543457, 260543458, 9531601741, 260543459, 260543460, 9531601743, 260543461, 260543464, 260543462, 260543463, 260543423]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024505,"POLYGON ((-122.2567798 37.8760431, -122.256796 37.8760411, -122.2567342 37.8757028, -122.2566551 37.8756573, -122.2564002 37.8756901, -122.2563959 37.8756797, -122.256215 37.8757019, -122.2561721 37.8757078, -122.2561964 37.875829, -122.2562142 37.8758267, -122.2562531 37.8760213, -122.2563476 37.8760092, -122.2563305 37.8759484, -122.2563479 37.875943, -122.2563198 37.8758046, -122.2563693 37.875801, -122.2563744 37.8758149, -122.256553 37.8757944, -122.2565458 37.8757618, -122.2566158 37.8757523, -122.2566298 37.8757603, -122.256684 37.8759909, -122.25666 37.875993, -122.2566577 37.8760073, -122.2566206 37.8760104, -122.2566211 37.8760243, -122.2564095 37.8760462, -122.2564336 37.8761653, -122.2567508 37.8761304, -122.2567446 37.876095, -122.2567881 37.8760909, -122.2567798 37.8760431))",,,,,,,dormitory,,,,,,Foothill La Loma 1,,,,,,,,,,,,,"[260543471, 260543472, 260543473, 260543474, 1333176964, 1333177033, 462761932, 270661305, 1333176989, 1333176990, 270661321, 1333177051, 1333176966, 270661320, 270661318, 1333177027, 1333177058, 270661325, 270661323, 1333176982, 270661307, 270661309, 1333176960, 1333176956, 1333177039, 1333177005, 270661310, 270661312, 270661314, 270661315, 1333176987, 260543471]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024507,"POLYGON ((-122.2577402 37.872026, -122.2578612 37.8720004, -122.2578914 37.8720894, -122.2578782 37.8720921, -122.2578343 37.8721017, -122.2578048 37.8721081, -122.2577704 37.872115, -122.2577402 37.872026))",,,,CA,,,yes,96,Alameda,1656758,57871b70-0100-4405-bb30-88b2e001a944,,Sather Tower,USGS Geonames,,clock,,yes,,,https://campanile.berkeley.edu/,,,,attraction,"[260543499, 260543500, 260543501, 10067845508, 3166077062, 10067845509, 260543502, 260543499]",,,,Q357019,,The Campanile,John Galen Howard,the-campanile-berkeley,analog,4,93.6,tower,"Mo-Fr 10:00-15:45, Sa 10:00-16:45, Su 10:00-13:30, Su 15:00-16:45",1914,tower,freestanding,clock,area,en:Sather Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024508,"POLYGON ((-122.2587343 37.8725486, -122.2590878 37.8724657, -122.2591093 37.8724606, -122.2590922 37.8724153, -122.2591087 37.8724115, -122.2591173 37.8724343, -122.2591475 37.8724272, -122.2591844 37.8724185, -122.2591793 37.872405, -122.2592078 37.8723983, -122.2591901 37.8723514, -122.2591537 37.87236, -122.2591075 37.8722371, -122.2591439 37.8722286, -122.2591164 37.8721557, -122.259082 37.8721637, -122.2590386 37.8720485, -122.259073 37.8720404, -122.2590358 37.8719414, -122.2589811 37.8719543, -122.2589146 37.8719699, -122.2589205 37.8719855, -122.2585547 37.8720713, -122.2586461 37.8723141, -122.2587343 37.8725486))",,,,CA,,,yes,91,Alameda,1656666,,,Bancroft Library,USGS Geonames,,library,,,,,,,,,,"[260543503, 10161144284, 260543504, 430086579, 2687928561, 2687928603, 10161144285, 10161144303, 10161144302, 430086582, 2687928579, 2687928570, 2687928604, 2687928593, 2687928568, 2687928581, 2687928577, 2687928589, 430086583, 9336406082, 2687928600, 260543505, 260543506, 9438441527, 260543503]",5,,,Q4854158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024509,"POLYGON ((-122.2585155 37.8715582, -122.2586933 37.8715179, -122.258661 37.8714292, -122.2586736 37.8714263, -122.258595 37.8712106, -122.2585819 37.8712135, -122.2585494 37.8711241, -122.2583721 37.8711643, -122.2585155 37.8715582))",,,,CA,,,yes,90,Alameda,1656759,57871b70-0100-4405-bb30-88b2e001a944,no,South Hall,USGS Geonames,,,,,,,,,,,,"[260543508, 260543509, 10067839651, 10067839652, 10067839653, 10067839650, 260543510, 260543511, 260543508]",4,,,Q7567407,,School of Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024512,"POLYGON ((-122.26014 37.8716415, -122.2603872 37.8715827, -122.2605947 37.8721263, -122.2603476 37.8721851, -122.26014 37.8716415))",,,,CA,,,yes,83,Alameda,1656674,57871b70-0100-4405-bb30-88b2e001a944,no,California Hall,USGS Geonames,,,,,,,,,,,,"[260543516, 260543517, 260543518, 260543519, 260543516]",2,,,Q5020526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024513,"POLYGON ((-122.2590258 37.8719148, -122.2597025 37.8717561, -122.2598971 37.8722729, -122.2599337 37.8722644, -122.2600008 37.8724426, -122.2596799 37.8725179, -122.2596242 37.872531, -122.2595733 37.8725429, -122.2592495 37.8726188, -122.2591913 37.8724642, -122.2591884 37.8724564, -122.2591831 37.8724424, -122.259221 37.8724335, -122.2592078 37.8723983, -122.2591901 37.8723514, -122.2591439 37.8722286, -122.2591164 37.8721557, -122.259073 37.8720404, -122.2590358 37.8719414, -122.2590258 37.8719148))",,,,CA,,,yes,88,Alameda,1656688,,,Doe Memorial Library,USGS Geonames,,library,,,,,https://www.lib.berkeley.edu/libraries/doe-library,,,,,"[260543520, 260543521, 260543531, 260543530, 260543522, 10161144263, 9336410150, 10161144262, 260543523, 2687928592, 10161144283, 2687928564, 2687928571, 430086582, 2687928579, 2687928593, 2687928568, 2687928589, 430086583, 260543520]",4,,,Q5288048,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
