element_type,osmid,nodes,historic,memorial,name,natural,geometry,layer,intermittent,water,amenity
way,128463532,"[1419647318, 1419647296, 1419647362, 1419647359, 1419647401, 1419647297, 1419647300, 1419647309, 1419647407, 1419647363, 1419647315, 1419647308, 1419647365, 1419647368, 1419647367, 1419647305, 1419647316, 1419647397, 1419647318]",memorial,pool,Memorial Pool,water,"POLYGON ((-122.2602122 37.873095, -122.2602243 37.8730945, -122.2602402 37.8730878, -122.2602475 37.8730802, -122.260251 37.873071, -122.2602504 37.8730614, -122.2602458 37.8730527, -122.2602376 37.8730456, -122.2602268 37.8730412, -122.260218 37.87304, -122.2602059 37.8730412, -122.2601951 37.8730456, -122.260186 37.8730538, -122.2601818 37.8730628, -122.2601818 37.8730724, -122.260186 37.8730814, -122.2601938 37.8730888, -122.2602044 37.8730936, -122.2602122 37.873095))",,,,
way,188434148,"[1990630241, 1990630227, 1990630259, 1990630221, 1990630197, 1990630206, 1990630228, 1990630257, 1990630198, 1990630189, 1990630263, 1990630239, 1990630245, 1990630224, 1990630262, 1990630217, 1990630260, 1990630196, 1990630241]",,,,water,"POLYGON ((-122.2595205 37.8695662, -122.2595191 37.8695757, -122.2595137 37.8695843, -122.2595049 37.8695909, -122.2594938 37.8695947, -122.2594833 37.8695954, -122.2594715 37.8695932, -122.2594614 37.8695879, -122.2594542 37.8695801, -122.2594508 37.8695713, -122.2594514 37.8695617, -122.2594562 37.8695529, -122.2594644 37.8695458, -122.2594725 37.8695423, -122.2594844 37.8695403, -122.2594964 37.8695416, -122.2595071 37.8695461, -122.2595153 37.8695533, -122.2595205 37.8695662))",1,,,
way,188699001,"[1993196227, 1993196216, 1993196217, 1993196219, 1993196220, 1993196211, 1993196213, 1993196215, 1993196189, 1993196212, 1993196218, 1993196226, 1993196191, 1993196214, 1993196193, 1993196194, 1993196195, 1993196196, 1993196227]",,,,water,"POLYGON ((-122.2546944 37.869492, -122.254694 37.8695017, -122.2546894 37.8695107, -122.2546811 37.8695179, -122.2546702 37.8695225, -122.2546538 37.8695235, -122.2546422 37.8695203, -122.2546326 37.8695142, -122.2546262 37.8695059, -122.2546239 37.8694967, -122.2546256 37.8694871, -122.2546315 37.8694786, -122.2546406 37.8694721, -122.2546485 37.8694692, -122.2546607 37.8694679, -122.2546727 37.8694699, -122.2546831 37.8694751, -122.2546907 37.8694828, -122.2546944 37.869492))",,,,
way,613977107,"[5808345742, 5808345743, 9095714554, 9095714555, 5809157887, 5808345744, 5808345747, 9095714560, 354048550, 5808345745, 9095714559, 9095714558, 9095714557, 9095714556, 5808345746, 9095714552, 9095714553, 5808345742]",,,Japanese Pool,water,"POLYGON ((-122.2369375 37.8748914, -122.2369243 37.8748814, -122.2369107 37.8748569, -122.2369301 37.8748456, -122.236959 37.8748349, -122.2369943 37.8748288, -122.2370264 37.8748382, -122.2370589 37.8748305, -122.237078 37.8748356, -122.2371021 37.8748419, -122.2371331 37.8748382, -122.2371455 37.8748478, -122.2371365 37.8748867, -122.2371146 37.8749074, -122.2370861 37.8749247, -122.2370295 37.8749312, -122.2369786 37.8749069, -122.2369375 37.8748914))",,no,pond,
way,614121348,"[5809464720, 5809464721, 5809464722, 5809464723, 5809464724, 5809464725, 5809464720]",,,School Pond,water,"POLYGON ((-122.2400343 37.8755796, -122.2399852 37.8756271, -122.2399184 37.875617, -122.2399175 37.8755612, -122.2399768 37.8755224, -122.2399999 37.8755267, -122.2400343 37.8755796))",,,pond,
way,675763060,"[6328432842, 6328432844, 6328432845, 6328432843, 6328432841, 6328432839, 6328432838, 6328432840, 6328432842]",,,,water,"POLYGON ((-122.2467475 37.8794043, -122.2467295 37.879438, -122.2466865 37.879452, -122.2466445 37.879438, -122.2466265 37.8794043, -122.2466445 37.8793706, -122.2466865 37.8793566, -122.2467295 37.8793706, -122.2467475 37.8794043))",,,,fountain
