u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access,width,service,bridge,tunnel,junction
251225796,11002451133,0,23224882,track,False,True,4.624,Lower Jordan Fire Trail,"LINESTRING (-122.2385787 37.8720665, -122.2385917 37.8720262)",,,,3,,,,
251225796,251225771,0,23224882,track,False,False,530.398,Lower Jordan Fire Trail,"LINESTRING (-122.2385787 37.8720665, -122.2384511 37.8721452, -122.2382886 37.8722366, -122.2382349 37.8722533, -122.2379281 37.8723147, -122.2378078 37.8723656, -122.2377592 37.8724162, -122.2377536 37.8724494, -122.2377655 37.8724767, -122.2379325 37.8725787, -122.2381104 37.8726272, -122.2384146 37.872679, -122.2386087 37.872802, -122.2387511 37.8728796, -122.2388032 37.8729288, -122.2388371 37.873013, -122.2388402 37.8730733, -122.2388359 37.8731437, -122.2388274 37.8732668, -122.2388336 37.8732919, -122.2388615 37.8733148, -122.2388938 37.8733225, -122.2389516 37.8733105, -122.2389901 37.873268, -122.239011 37.8731728, -122.2390925 37.8730017, -122.2391262 37.8729651, -122.2392035 37.8729165, -122.2392965 37.8728854, -122.2394531 37.8728166, -122.2396364 37.8726848, -122.2397358 37.8726547, -122.2400101 37.8726591, -122.2403442 37.8726874, -122.2405659 37.8727789, -122.2406568 37.8728226, -122.2407086 37.8728224, -122.2407794 37.8727983, -122.2409485 37.872696, -122.2410366 37.8726634, -122.2412199 37.8726499, -122.2416052 37.8725774)",,,,3,,,,
251225796,11002337303,0,1184554430,path,False,True,495.477,Euler's Drums,"LINESTRING (-122.2385787 37.8720665, -122.2384671 37.8720309, -122.2382922 37.8719312, -122.2382391 37.8718083, -122.2380905 37.8717105, -122.2380126 37.8717049, -122.2377436 37.8716295, -122.2375419 37.8714982, -122.2373927 37.8714902, -122.237251 37.8715285, -122.2371384 37.871554, -122.2369861 37.8715533, -122.2369251 37.8714675, -122.2368482 37.8714367, -122.236721 37.8714751, -122.2366855 37.8714611, -122.2366983 37.8714293, -122.2368341 37.8712216, -122.2369509 37.8710623, -122.2369596 37.8710158, -122.2369237 37.8709968, -122.2367562 37.8709981, -122.2366966 37.8709975, -122.2365925 37.8709655, -122.2365534 37.8709715, -122.2363786 37.8711122, -122.2361719 37.8711454, -122.2360362 37.8710355, -122.2359313 37.8709263, -122.235833 37.8708108, -122.2357444 37.8706351, -122.2355567 37.870453, -122.2355379 37.8703619, -122.2355996 37.8703048, -122.2356103 37.8702582, -122.2355567 37.8702137, -122.235326 37.8700401, -122.2352192 37.8700407)",,,,1,,,,
260543429,1419647393,0,1034706088,footway,False,False,12.758,,"LINESTRING (-122.2562194 37.8734027, -122.2563565 37.8733646)",,,,,,,,
260544549,9536023050,0,1035238645,service,False,False,2.97,,"LINESTRING (-122.2548211 37.872465, -122.2548545 37.8724693)",,,,,,,,
260544549,286079885,0,26131301,service,True,False,99.60900000000001,,"LINESTRING (-122.2548211 37.872465, -122.2547918 37.8725077, -122.2547781 37.872532, -122.2547313 37.8726056, -122.254388 37.8726259, -122.2541563 37.8725852, -122.2540478 37.8725662, -122.2538302 37.8724817)",,,,,,,,
260544555,260544558,0,224038025,footway,False,True,13.913,,"LINESTRING (-122.2592504 37.8728653, -122.2594088 37.8728607)",,,,,,,,
260544555,2687928578,0,263159511,footway,False,True,22.13,,"LINESTRING (-122.2592504 37.8728653, -122.2591869 37.8726727)",,,,,,,,
260544555,260544559,0,224038025,footway,False,False,41.081,,"LINESTRING (-122.2592504 37.8728653, -122.2589695 37.8729354, -122.2587979 37.8729552)",,,,,,,,
260544556,260544558,0,224038025,footway,False,False,18.504,,"LINESTRING (-122.2596147 37.8728964, -122.2594088 37.8728607)",,,,,,,,
