element_type,osmid,amenity,geometry,layer,name,parking,access,fee,tourism,operator,nodes,building,addr:city,addr:housenumber,addr:street,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,building:levels,covered,capacity:disabled,opening_hours,capacity,source,surface,wheelchair,wheelchair:description,sport,park_ride,alt_name,ways,type
way,69020833,parking,"POLYGON ((-122.2488814 37.8717445, -122.2487978 37.8715891, -122.248066 37.8718091, -122.2480835 37.8718525, -122.2480607 37.8718705, -122.2478032 37.8719594, -122.2474009 37.8720748, -122.247366 37.8720103, -122.2472426 37.8720515, -122.2470334 37.8717414, -122.2469302 37.8717785, -122.2468362 37.8718123, -122.2470985 37.8722206, -122.2471286 37.8722675, -122.2479319 37.8720304, -122.2484804 37.8718716, -122.2488814 37.8717445))",,,surface,customers,,,,"[828422542, 828422543, 828422544, 3177033166, 3177033167, 828422545, 828422546, 3177033168, 828422547, 828422548, 1329086514, 828422549, 7132278910, 828422550, 828422551, 828422552, 828422542]",,,,,,,,,,,,,,,,,,,,,,,
way,69020836,parking,"POLYGON ((-122.2505175 37.8698333, -122.2505127 37.8699009, -122.2503351 37.8699155, -122.2502149 37.8699433, -122.2500546 37.8696424, -122.2500192 37.8695666, -122.2500088 37.8695697, -122.2499789 37.8696333, -122.2499837 37.8699952, -122.2499341 37.870009, -122.2499368 37.8700948, -122.2498174 37.870171, -122.2497946 37.8701466, -122.2498348 37.870117, -122.2497973 37.8700916, -122.2497965 37.8699678, -122.2498099 37.8698313, -122.2498435 37.8695391, -122.249877 37.8694851, -122.2499722 37.8694343, -122.2503102 37.8693485, -122.2503646 37.8695326, -122.250445 37.8697073, -122.2505175 37.8698333))",,Prospect Court,,,,,,"[298084449, 4333613304, 4333613305, 828422559, 4333613300, 3177154989, 11374955293, 3177154988, 3177289272, 3177154987, 3177289273, 3177289274, 3177289275, 3177289276, 3177289277, 3177154986, 3177154985, 828422560, 3177154984, 6227855709, 760874899, 3177154993, 3177154994, 298084449]",,,,,,,,,,,,,,,,,,,,,,,
way,70661500,parking,"POLYGON ((-122.2439503 37.8802159, -122.2440308 37.8803514, -122.2436285 37.8804953, -122.2435453 37.8803535, -122.2438157 37.8802616, -122.2439503 37.8802159))",,,,customers,,,,"[843011944, 843011946, 843011947, 843011948, 7134534986, 843011944]",,,,,,,,,,,,,,,,,,,,,,,
way,96489712,parking,"POLYGON ((-122.2316315 37.8813736, -122.2316375 37.8812911, -122.2316184 37.8812347, -122.2315903 37.8811934, -122.2315456 37.8811662, -122.2315035 37.8811511, -122.2314422 37.881138, -122.2313911 37.881141, -122.2313465 37.8811501, -122.2313209 37.8811622, -122.2312688 37.8812056, -122.2313693 37.8812594, -122.2316315 37.8813736))",,,,,,,,"[1117884001, 1117883856, 1117883754, 1117883659, 1117883570, 1117883931, 1117883699, 1117883622, 1117883974, 1117883843, 2844470155, 2844470156, 1117884001]",,,,,,,,,,,,,,,,,,,,,,,
way,96489715,parking,"POLYGON ((-122.2332252 37.8813251, -122.2332535 37.8812555, -122.2331596 37.8811577, -122.2331151 37.8810123, -122.2329743 37.881015, -122.2328558 37.8811649, -122.2327819 37.8812744, -122.2328329 37.8812618, -122.2328854 37.8812542, -122.2329387 37.8812517, -122.232992 37.8812544, -122.2330445 37.8812621, -122.2330954 37.8812748, -122.2332252 37.8813251))",,,,,,,,"[2844470157, 1117883750, 1117883656, 1117883911, 1117883671, 1117883808, 4728624125, 4728624126, 4728624127, 4728624128, 4728624129, 4728624130, 4728624131, 2844470157]",,,,,,,,,,,,,,,,,,,,,,,
way,109192577,parking,"POLYGON ((-122.2555646 37.8672182, -122.2555516 37.8671552, -122.2555181 37.8671595, -122.255396 37.8665706, -122.2552826 37.8665852, -122.2550978 37.8666091, -122.254998 37.866622, -122.254383 37.8667015, -122.2543011 37.8667121, -122.2544244 37.8673072, -122.2544362 37.867364, -122.2545171 37.8673535, -122.2550026 37.8672908, -122.2551895 37.8672667, -122.2552887 37.8672539, -122.2555646 37.8672182))",,Underhill Parking & Field,multi-storey,,,,"University of California, Berkeley","[1250649448, 11247451381, 11247451382, 1250649557, 8436435694, 11247451384, 11247451387, 11247451363, 1250649469, 11247451367, 1250649527, 11247451359, 8436435695, 11247451375, 11247451377, 1250649448]",parking,Berkeley,,,,,,,,3,,,,,,,,,,,,,
way,109192580,parking,"POLYGON ((-122.2557148 37.8663026, -122.2556501 37.8659869, -122.255577 37.8659963, -122.2554993 37.8655894, -122.2553931 37.8656049, -122.2555406 37.8663249, -122.2557148 37.8663026))",,Unit 2 Parking Lot,surface,,,,,"[1250649488, 1250649438, 1250649434, 1250649524, 1250649505, 1250649451, 1250649488]",,Berkeley,,,,,,,,,,,,,,,,,,,,,
way,109194852,parking,"POLYGON ((-122.2631412 37.8662667, -122.2630638 37.865896, -122.262782 37.8659326, -122.2627113 37.8655941, -122.2617905 37.8657139, -122.2618598 37.8660458, -122.2623306 37.8659846, -122.2624093 37.8663619, -122.2631412 37.8662667))",,Ellsworth Parking Structure,multi-storey,,,,,"[1250693262, 1250693249, 1250693242, 1250693296, 1250693293, 1250693247, 1250693255, 1250693258, 1250693262]",yes,,2325;2337;2339,Haste Street,,,,,,,,,,,,,yes,Parking lot,,,,,
way,118550142,parking,"POLYGON ((-122.257711 37.8758994, -122.2576361 37.8755342, -122.257503 37.8755522, -122.2572123 37.8755893, -122.257152 37.8756041, -122.2571077 37.8756253, -122.2570662 37.875656, -122.257038 37.8756941, -122.2570233 37.8757406, -122.257023 37.8757906, -122.2570367 37.8758507, -122.2570689 37.8759788, -122.2571432 37.8759692, -122.257189 37.8759636, -122.257711 37.8758994))",,Upper Hearst Parking Structure,multi-storey,,,,,"[260551472, 1333176958, 1333176986, 1333177037, 1333177014, 1333176999, 1333177000, 1333177003, 1333177053, 1333177030, 1333176994, 1333177042, 1333177045, 1333176979, 260551472]",yes,,,,,,,,,,,,,,,,,,tennis,,,,
way,128467232,parking,"POLYGON ((-122.2461411 37.8638202, -122.246366 37.8636561, -122.2462423 37.8635505, -122.2460174 37.8637146, -122.2461411 37.8638202))",,,,,,,,"[1419660912, 1419661039, 1419660646, 1419660905, 1419660912]",,,,,,,,,,,,,,,,,,,,,,,
way,128467236,parking,"POLYGON ((-122.2503161 37.8658105, -122.2500372 37.8658444, -122.249844 37.8658105, -122.2497394 37.8656093, -122.2499084 37.8654293, -122.249891 37.865271, -122.2502719 37.8652584, -122.2502973 37.86555, -122.2503161 37.8658105))",,Northwest Parking Lot,,,,,,"[1419660861, 1419660718, 1419660881, 1419660816, 1419660909, 1419660757, 1419660835, 1419660722, 1419660861]",,,,,,,,,,,,,,,,,,,,,,,
way,128467239,parking,"POLYGON ((-122.2480243 37.8632352, -122.2479353 37.8628908, -122.2477088 37.8629273, -122.2477978 37.8632717, -122.2480243 37.8632352))",,,,,,,,"[1419660674, 1419660872, 1419660879, 1419660889, 1419660674]",,,,,,,,,,,,,,,,,,,,,,,
way,128467242,parking,"POLYGON ((-122.2453487 37.8632462, -122.2454801 37.8632419, -122.2456866 37.8632928, -122.245692 37.8633753, -122.246167 37.86335, -122.246148 37.8631572, -122.2458079 37.8631773, -122.2456813 37.8631848, -122.2454747 37.8631234, -122.2453433 37.8631276, -122.2453487 37.8632462))",,,,private,,,,"[1419660902, 1419660942, 1419660692, 1419660695, 1419660748, 1419660720, 7132157366, 1419660867, 1419660824, 1419660839, 1419660902]",,,,,,,,,,,,,,,,,,,,,,,
way,128467256,parking,"POLYGON ((-122.2500238 37.8632153, -122.2492086 37.8632622, -122.2491541 37.8626721, -122.2499693 37.8626252, -122.2500238 37.8632153))",,Southwest Parking Lot,,,,,,"[1419660768, 1419661102, 1419661004, 1419661083, 1419660768]",,,,,,,,,,,,,,,,,,,,,,,
way,184013736,parking,"POLYGON ((-122.2718667 37.872475, -122.2708485 37.8725985, -122.270796 37.872326, -122.2718326 37.8722008, -122.2718667 37.872475))",,,,private,,,,"[1944517886, 1944517889, 1944517882, 1944517881, 1944517886]",,Berkeley,,,,,,,,,,,,,,,,,,,,,
way,234529358,parking,"POLYGON ((-122.2591475 37.8701955, -122.2591808 37.8703647, -122.2587498 37.8704176, -122.2587165 37.8702485, -122.2591475 37.8701955))",,,,,,,,"[286081374, 2427751967, 2427751944, 2427751941, 286081374]",,,,,,,,,,,,,,,,,,,,,,,
way,243069485,parking,"POLYGON ((-122.2512902 37.8769851, -122.2512321 37.8769281, -122.2510926 37.8768762, -122.2510005 37.8768626, -122.2509756 37.8769446, -122.2510369 37.8770105, -122.2511879 37.877081, -122.2512074 37.8770675, -122.2512466 37.8770113, -122.2512902 37.8769851))",,I,,permit,,,,"[52996326, 2505095418, 10772546646, 2505095419, 10772546649, 2505095420, 10772546648, 420458365, 10772546647, 52996326]",,,,,,,,,,,,,,,,,,,,,,,
way,243069486,parking,"POLYGON ((-122.2502032 37.8767518, -122.2496658 37.8768839, -122.2496937 37.8768414, -122.2497578 37.8767585, -122.2498915 37.8766496, -122.2500467 37.8765467, -122.2500472 37.87653, -122.249966 37.8764531, -122.2499433 37.8764523, -122.2499161 37.8764416, -122.2497497 37.8765299, -122.2496384 37.876605, -122.249537 37.8766984, -122.2494904 37.8767453, -122.2494793 37.8767654, -122.2494788 37.8767966, -122.2495044 37.8768873, -122.2496167 37.8768749, -122.249622 37.8769012, -122.2496319 37.8769275, -122.2496619 37.8769709, -122.2497026 37.8770054, -122.2497524 37.8770308, -122.2498186 37.8770513, -122.2498641 37.8770559, -122.2499255 37.8770508, -122.2499691 37.8770383, -122.2500271 37.8770099, -122.2502826 37.8768089, -122.2502032 37.8767518))",,J,,permit,,,,"[420458361, 10785540060, 10785540061, 10785540068, 10785540069, 10785540070, 10785540076, 10785540075, 10785540074, 10785540071, 10785540072, 10785540073, 10785540067, 10785540066, 10785540065, 10785540064, 10785540063, 10785540062, 7784913739, 7784913746, 7784913747, 7784913748, 7784913745, 7784913743, 7784913744, 7784913742, 7784913740, 775889067, 52996321, 420458361]",,,,,,,,,,,,,,,,,,,,,,,
way,258412109,parking,"POLYGON ((-122.2611524 37.8741239, -122.2611138 37.8740194, -122.2612565 37.8739867, -122.261295 37.8740911, -122.2611524 37.8741239))",,,,private,,,,"[2637690096, 2637690091, 2637690087, 2637690095, 2637690096]",,,,,,,,,,,,1,,2,,,,,,,,,
way,313061811,parking,"POLYGON ((-122.2667167 37.8714694, -122.2664256 37.8715099, -122.2664359 37.8715861, -122.2664523 37.8717226, -122.2665332 37.8717175, -122.266528 37.8716751, -122.266813 37.871663, -122.2667855 37.8715138, -122.2667546 37.8715178, -122.2667271 37.8715213, -122.2667167 37.8714694))",,,surface,private,,,"University of California, Berkeley","[3189861637, 3189861639, 1250620559, 1250620580, 3189861647, 3189861646, 3189861645, 3189861640, 3189861641, 3189861642, 3189861637]",,,,,,,,,,,,,,,,,,,,,,,
way,314576962,parking,"POLYGON ((-122.2610868 37.8705784, -122.2608837 37.8706305, -122.2608646 37.870582, -122.2610697 37.8705316, -122.2610868 37.8705784))",,,,,,,,"[3206193506, 3206193507, 3206193508, 3206193509, 3206193506]",,,,,,,,,,,,,,,,,,,,no,,,
way,314580357,parking,"POLYGON ((-122.262452 37.8698212, -122.2622034 37.8698531, -122.2622366 37.8700253, -122.2623242 37.8700143, -122.2623803 37.8700229, -122.2624003 37.8699831, -122.2624811 37.8699746, -122.262452 37.8698212))",,,,private,,,,"[3206232411, 3206232412, 3206232413, 3206232417, 3206232416, 3206232414, 3206232415, 3206232411]",,,,,,,,,,,,,,,,,,,,,,,
way,319201433,parking,"POLYGON ((-122.2523481 37.8746924, -122.2526936 37.8746125, -122.2526527 37.8745082, -122.2525264 37.8744053, -122.2525102 37.8743992, -122.2524905 37.8743976, -122.2523099 37.8744395, -122.2522918 37.8744492, -122.2522776 37.8744616, -122.2522679 37.8744749, -122.2522646 37.8744898, -122.2522657 37.8745129, -122.2523229 37.8746525, -122.252329 37.8746529, -122.2523357 37.8746557, -122.2523481 37.8746924))",,F,surface,permit,,,,"[3256182002, 3256182004, 3256181997, 3256181998, 7779828744, 7779828745, 3256181999, 3256182005, 7779828746, 7779828747, 3256182006, 7779828748, 7779828750, 7779828751, 7779828749, 3256182002]",,,,,,,,,,,,,,,,,,,,,,,
way,360162083,parking,"POLYGON ((-122.2522077 37.8722546, -122.2521056 37.8723176, -122.2527554 37.8728724, -122.2527989 37.872861, -122.2528765 37.872864, -122.2522077 37.8722546))",,,,,,,,"[3647674072, 3647674074, 299625068, 299625054, 299625069, 3647674072]",,,,,,,,,,,,,,,,,,,,,,,
way,423200796,parking,"POLYGON ((-122.248042 37.8810037, -122.2476987 37.8808725, -122.2475083 37.8806777, -122.2474546 37.880502, -122.2475324 37.8803072, -122.2476531 37.880394, -122.2477952 37.8806523, -122.2481144 37.8808132, -122.248042 37.8810037))",,,,,,,,"[4228816958, 4228816959, 4228816960, 4228816961, 4228816962, 4228816963, 4228816964, 4228816965, 4228816958]",,,,,,,,,,,,,,,,,,,,,,,
