element_type,osmid,amenity,geometry,layer,name,parking,access,fee,tourism,operator,nodes,building,addr:city,addr:housenumber,addr:street,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,building:levels,covered,capacity:disabled,opening_hours,capacity,source,surface,wheelchair,wheelchair:description,sport,park_ride,alt_name,ways,type
node,234653692,parking,POINT (-122.2652101 37.8735022),-1,Genetics Underground Garage,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,286081337,parking,POINT (-122.2623273 37.8701801),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,833292360,parking,POINT (-122.2606309 37.8688322),,Lower Sproul Garage,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1419660784,parking,POINT (-122.2467676 37.8635807),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1419660804,parking,POINT (-122.2462392 37.8641059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1419660936,parking,POINT (-122.2490233 37.8657279),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2621749356,parking,POINT (-122.224246 37.8716947),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025044,parking,"POLYGON ((-122.2556144 37.8699399, -122.2561751 37.8698675, -122.256044 37.8692349, -122.2559385 37.8692485, -122.2554834 37.8693072, -122.2556144 37.8699399))",,Bancroft Parking Structure,multi-storey,,,,,"[260547518, 260547519, 260547520, 3178364020, 260547521, 260547518]",parking,,,,,,,,,,,,,,,,,,,,,,
way,24026036,parking,"POLYGON ((-122.2456961 37.8795395, -122.2455567 37.8793458, -122.2452697 37.8792653, -122.2451651 37.8793426, -122.2451463 37.8793966, -122.2453236 37.8796549, -122.2454524 37.8799237, -122.2455114 37.8800613, -122.2455661 37.8802159, -122.2456412 37.880398, -122.2454132 37.8804509, -122.2453327 37.8804255, -122.2455808 37.8808044, -122.2457605 37.8808203, -122.2458289 37.8809219, -122.2461105 37.8809897, -122.2465772 37.8809844, -122.2466242 37.8808796, -122.2466778 37.8808426, -122.2468066 37.8807579, -122.24688 37.8805476, -122.2466738 37.8805081, -122.2466309 37.8806361, -122.2464244 37.8804139, -122.2462366 37.880362, -122.2460944 37.8804488, -122.2459858 37.8802688, -122.2458477 37.8803376, -122.2457055 37.8799481, -122.2459241 37.8800042, -122.2456961 37.8795395))",,,,,,,,"[260556373, 260556374, 260556375, 1026012464, 260556378, 260556379, 260556380, 260556381, 260556382, 260556388, 260556389, 260556390, 260556391, 260556392, 260556393, 260556394, 260556395, 260556396, 260556397, 260556398, 260556399, 260556400, 260556401, 260556402, 260556403, 260556404, 1026012513, 1026012516, 1026012520, 260556405, 260556373]",,,,,,,,,,,,,,,,,,,,,,,
way,25905171,parking,"POLYGON ((-122.2616766 37.8705082, -122.261727 37.8705428, -122.2617599 37.8705815, -122.2617799 37.8706199, -122.2617994 37.8706773, -122.2618209 37.8707345, -122.2618316 37.8707885, -122.2618235 37.8708425, -122.2618074 37.8708774, -122.2617826 37.8709097, -122.2617545 37.8709298, -122.261723 37.870951, -122.2616894 37.8709705, -122.2614748 37.8710203, -122.2613683 37.8709966, -122.2612039 37.8706017, -122.2613829 37.8705398, -122.2616766 37.8705082))",,Dwinelle Lot,surface,yes,,,,"[282578530, 282578531, 3205734994, 3205734993, 3205734992, 3205734991, 3205734989, 282828286, 3205734990, 3205734988, 3205734987, 3205734986, 282578532, 282578533, 282578534, 282578536, 283261481, 282578530]",,,,,,,,,,,,,,,,,,,,,,,
way,25932430,parking,"POLYGON ((-122.2629493 37.8735765, -122.2630499 37.8735565, -122.2630713 37.8735428, -122.2630987 37.8734931, -122.2631221 37.8734257, -122.2631292 37.8733808, -122.2631262 37.873331, -122.2630977 37.8732604, -122.262578 37.873392, -122.2626159 37.8734538, -122.2626535 37.8734939, -122.2626942 37.87353, -122.2627359 37.8735597, -122.2627714 37.8735821, -122.262807 37.8735958, -122.2628456 37.873599, -122.2629493 37.8735765))",,Wellman Courtyard,,,,,,"[282874071, 2755979978, 282874072, 2755979980, 282874073, 2755979983, 282874074, 282874075, 282874081, 2755979956, 282874082, 2755979972, 282874083, 2755979974, 282874084, 2755979976, 282874071]",,,,,82,001,01/01/1995,1656777,06,,,,,,,,,,,,,,
way,26133971,parking,"POLYGON ((-122.2502672 37.8755806, -122.2502835 37.8755785, -122.2502446 37.875249, -122.2501392 37.8749761, -122.2501096 37.8749402, -122.2500536 37.8748955, -122.2499583 37.8749093, -122.2499318 37.8749596, -122.2499486 37.8752386, -122.2499981 37.8753373, -122.2500188 37.8753627, -122.2500991 37.8754209, -122.2501379 37.8753904, -122.2501405 37.8754318, -122.2501175 37.8754567, -122.2501794 37.875488, -122.2502672 37.8755806))",,Z,,permit,,,,"[286112030, 7784913722, 286112031, 286112033, 7784913729, 286112034, 7784913730, 286112035, 286112036, 7784913728, 7784913727, 7784913726, 7784913725, 7784913724, 7784913723, 286112037, 286112030]",,,,,,,,,,,,,,,,,,,,,,,
way,26133993,parking,"POLYGON ((-122.2509494 37.8764049, -122.250853 37.8761482, -122.2507191 37.8761819, -122.2506633 37.8761959, -122.2507195 37.8763454, -122.2507696 37.8763372, -122.2507516 37.8763569, -122.2507305 37.8763665, -122.25071 37.876369, -122.2506888 37.8763638, -122.250662 37.8763417, -122.2505985 37.8762082, -122.2503135 37.8762491, -122.2502678 37.8763253, -122.250168 37.8764222, -122.2501466 37.8764236, -122.2500778 37.8765109, -122.2502614 37.8765556, -122.250325 37.8765539, -122.2504207 37.8765428, -122.2506318 37.8765142, -122.2507493 37.8764912, -122.2508915 37.8764518, -122.2508802 37.8764188, -122.2509494 37.8764049))",,K1,,,,,,"[286112660, 286112646, 7784913770, 7784913771, 7784913774, 7784913779, 7784913778, 7784913777, 7784913776, 7784913775, 7784913773, 7784913772, 286112710, 286112648, 7784913763, 7784913764, 286112652, 7779835130, 7784913762, 7779835129, 7784913761, 286112711, 7779835128, 7779835127, 286112660]",,,,,,,,,,,,,,,,,,,,,,,
way,27294024,parking,"POLYGON ((-122.253489 37.8707909, -122.2533756 37.8707951, -122.2533241 37.8707981, -122.2532762 37.8707963, -122.2531932 37.8708006, -122.2531846 37.8706567, -122.253163 37.8706229, -122.2531442 37.8704874, -122.2530074 37.8704959, -122.2529873 37.8704101, -122.2534821 37.8703466, -122.2536682 37.8703369, -122.2540937 37.8703148, -122.2541822 37.8703826, -122.2541822 37.8704673, -122.254172 37.8704801, -122.254103 37.8705686, -122.253973 37.8706875, -122.2536981 37.8707002, -122.2536921 37.8707746, -122.253489 37.8707909))",,Boalt Lot,,,,,UC Berkeley,"[299624108, 1329086506, 346510643, 346510644, 299624109, 299624110, 299624111, 3180271667, 3180271668, 299624112, 299624113, 299624114, 3207677730, 3180271664, 3180271665, 3180269939, 299624115, 3180271666, 299624116, 299624117, 299624108]",,,,,,,,,,,,,,,,,,,,,,,
way,27294043,parking,"POLYGON ((-122.2521436 37.8700033, -122.2517277 37.870048, -122.2517199 37.8701627, -122.2518057 37.8701632, -122.2518163 37.8701923, -122.2518787 37.8701856, -122.2518758 37.8701571, -122.2521689 37.8701137, -122.2521436 37.8700033))",,,,private,,,,"[299624997, 299624998, 299624999, 3176139062, 3176139063, 3176139064, 3176139061, 299625000, 299624997]",,,,,,,,,,,,,,,,,,,,,,,
way,27294061,parking,"POLYGON ((-122.2638827 37.8684415, -122.2638602 37.8683088, -122.2637125 37.8683244, -122.2636992 37.8682459, -122.2631774 37.868301, -122.2632132 37.8685122, -122.2638827 37.8684415))",-1,RSF Garage,underground,yes,yes,,,"[299625154, 286633468, 299625155, 299625156, 299625157, 299625158, 299625154]",,,,,,,,,,,,,,,,,,,,,,,
way,28997603,parking,"POLYGON ((-122.2620894 37.8752768, -122.2607755 37.8754516, -122.2607191 37.8751123, -122.2619183 37.8749578, -122.2619241 37.8749927, -122.2620434 37.874979, -122.2620894 37.8752768))",,Lower Hearst Structure,multi-storey,yes,,,,"[318886101, 318886102, 318886103, 318886104, 1954530538, 318886105, 318886101]",yes,,2400;2451,Hearst Avenue,,,,,,,,,,,,,,,,,,,
way,31780763,parking,"POLYGON ((-122.266775 37.8714518, -122.2667855 37.8715138, -122.266813 37.871663, -122.2668195 37.8716989, -122.2668443 37.871824, -122.2671122 37.8717874, -122.2670385 37.8714186, -122.266775 37.8714518))",,University Hall West Lot,surface,private,,,"University of California, Berkeley","[355800944, 3189861640, 3189861645, 1250620506, 355800946, 355800947, 355800948, 355800944]",,,,,,,,,,,,,,,,,,,,,,,
way,35894484,parking,"POLYGON ((-122.2539285 37.874834, -122.2537692 37.8749376, -122.2535079 37.8746782, -122.2533363 37.8745359, -122.2529758 37.8743123, -122.2526239 37.8741565, -122.2522376 37.874021, -122.252066 37.8739465, -122.2519115 37.8738245, -122.2517827 37.8737026, -122.251963 37.8736213, -122.252169 37.873811, -122.2523664 37.8738991, -122.2527955 37.8740413, -122.2531045 37.8741701, -122.25295 37.8740075, -122.2529071 37.8740142, -122.252744 37.873872, -122.2526496 37.8738178, -122.2524436 37.8737703, -122.252272 37.873689, -122.2521003 37.8735535, -122.2522205 37.8734587, -122.2524007 37.8735874, -122.2526153 37.8736755, -122.252787 37.8737229, -122.2529071 37.8737907, -122.2530273 37.8739058, -122.2531646 37.874082, -122.2532848 37.8742175, -122.2532934 37.8742988, -122.2534711 37.8744206, -122.2535165 37.8744546, -122.253774 37.8746714, -122.2538411 37.8747421, -122.2539285 37.874834))",,Foothill Lot,surface,,,,,"[419512801, 419512802, 419512803, 419512804, 419512805, 419512806, 419512807, 419512808, 419512809, 419512810, 419512811, 419512812, 419512813, 419512814, 419512815, 419512816, 419512817, 419512818, 419512819, 419512820, 419512821, 419512822, 419512823, 419512824, 419512825, 419512826, 419512827, 419512828, 419512829, 419512830, 419512831, 462761561, 419512832, 419512833, 7132278924, 419512801]",,,,,,,,,,,,7,Mo-Su 05:00-02:00,,,,,,,,,,
way,38896047,parking,"POLYGON ((-122.2515678 37.8767774, -122.2516009 37.8769216, -122.2516468 37.8770205, -122.251725 37.8771114, -122.2518177 37.8771851, -122.2518835 37.877217, -122.2519705 37.8772448, -122.2520332 37.8772443, -122.2520151 37.8771173, -122.2519935 37.87712, -122.2519819 37.8770283, -122.2520021 37.8770259, -122.2519753 37.8768646, -122.2517277 37.8768862, -122.251705 37.8767608, -122.2515678 37.8767774))",,H1,,permit,,,,"[462038355, 7855023792, 7855023791, 7855023790, 7855023789, 7132278955, 462038356, 462038357, 7855023786, 7855023787, 7855023788, 462038358, 462038359, 462038360, 7855023793, 462038355]",,,,,,,,,,,,,,,,,,,,,,,
way,38896049,parking,"POLYGON ((-122.2530669 37.8783622, -122.2526197 37.8783363, -122.2525207 37.8780136, -122.2527427 37.8779318, -122.252917 37.8778555, -122.2528527 37.8777768, -122.2529888 37.8776924, -122.2531301 37.8777738, -122.253247 37.87814, -122.2531911 37.8781467, -122.2531839 37.8782279, -122.2533158 37.878233, -122.2533002 37.8783641, -122.2530669 37.8783622))",,D,,permit,,,,"[462038404, 462038405, 462038406, 5483072327, 5483072323, 7133879541, 462038407, 462038408, 462038409, 7781516057, 7781516058, 7781516059, 7781516060, 462038404]",,,,,,,,,,,,,,,,,,,,,,,
way,38939358,parking,"POLYGON ((-122.2535494 37.8728116, -122.2535189 37.8728784, -122.2535822 37.8730241, -122.2536227 37.8731545, -122.2535924 37.8732283, -122.2535898 37.8732348, -122.2534475 37.8732529, -122.2533701 37.8732769, -122.2533042 37.8733221, -122.2532543 37.8734074, -122.2533386 37.873436, -122.2534447 37.8734727, -122.2534518 37.8734743, -122.25335 37.8736498, -122.25333 37.8736451, -122.2532939 37.8736713, -122.2532707 37.8736529, -122.2531956 37.8737115, -122.25319 37.873754, -122.2533033 37.8738578, -122.2534378 37.8739025, -122.2534893 37.8737128, -122.2534979 37.8736179, -122.2536094 37.8734756, -122.2537039 37.8733604, -122.2537468 37.8732724, -122.2539184 37.8732182, -122.2540214 37.8731978, -122.2541073 37.8730962, -122.2540987 37.8730217, -122.2539699 37.8729878, -122.253824 37.8730217, -122.2536953 37.8727642, -122.2535494 37.8728116))",,Bowles Lot,,,,,,"[462761575, 462761576, 462761577, 462761578, 9520728930, 462761579, 9520695907, 9520695914, 9520695906, 9520695905, 9553234150, 4676766909, 9520695904, 462761580, 9520695915, 7132278921, 462761581, 9553234166, 462761582, 462761583, 462761584, 462761585, 462761586, 462761588, 462761590, 462761594, 462761595, 462761596, 462761597, 462761598, 462761599, 462761600, 462761601, 462761575]",,,,,,,,,,,,2,,,local_knowledge,,,,,,,,
way,38939448,parking,"POLYGON ((-122.2549944 37.8747259, -122.2550555 37.8746506, -122.2549949 37.8746094, -122.2548701 37.8746715, -122.2549207 37.8747515, -122.2549944 37.8747259))",,,,private,,,,"[462762672, 7708163905, 462762673, 462762676, 462762677, 462762672]",,,,,,,,,,,,,,,,,,,,,,,
way,41745926,parking,"POLYGON ((-122.264632 37.8671978, -122.2646667 37.8673721, -122.2644643 37.8673973, -122.2644295 37.8672229, -122.264632 37.8671978))",,,surface,,,,,"[514117952, 514117953, 514117954, 514117955, 514117952]",,,,,,,,,,,,,,,,,,,,,,,
way,43831342,parking,"POLYGON ((-122.2573473 37.8763376, -122.2571301 37.8763651, -122.257073 37.8761005, -122.2572245 37.8760804, -122.2572997 37.8761312, -122.2573473 37.8763376))",,,surface,,,,,"[555961575, 555961586, 1333177043, 555961610, 1333177017, 555961575]",,,,,,,,,,,,,,,,,,,,,,,
way,60777480,parking,"POLYGON ((-122.2394175 37.8754036, -122.2393075 37.875394, -122.2392069 37.8754057, -122.2391117 37.8754226, -122.2390218 37.875447, -122.2389306 37.8754756, -122.2388475 37.8755116, -122.2387965 37.8755465, -122.2387657 37.8755909, -122.2387576 37.8756386, -122.2387764 37.8756968, -122.238818 37.8757529, -122.2388569 37.8757878, -122.2388917 37.8758133, -122.2389548 37.8758503, -122.2390245 37.875881, -122.2390406 37.8758895, -122.2391781 37.8759101, -122.2392364 37.8759191, -122.2393719 37.8758874, -122.2393719 37.8758387, -122.2396475 37.8757828, -122.2397391 37.8756281, -122.2396801 37.8755773, -122.2396264 37.875554, -122.2395138 37.8755265, -122.2394 37.87552, -122.2394142 37.8754256, -122.2394175 37.8754036))",,UC - Botanical Garden lot,surface,public,yes,,UC Berkeley - Parking and Transportation,"[760707747, 3178362141, 760707748, 3178362142, 760707749, 760707750, 3178362143, 760707751, 3178362144, 3178362145, 3178362146, 3178362147, 3178362148, 3178362149, 760707752, 3178362150, 3178362152, 3178362151, 760707753, 760707754, 760707755, 760707756, 760707757, 760707758, 760707759, 760707760, 760707761, 760707549, 760707747]",,Berkeley,,Centennial Drive,,,,,,,,,,72,,,,,,,,,
