u,v,key,osmid,highway,oneway,reversed,length,geometry,name
4138951618,8998037770,0,412476330,service,False,True,74.455,"LINESTRING (116.4231683 39.9768421, 116.4231824 39.9761726)",
4138951618,4138951622,0,972201455,service,False,True,39.497,"LINESTRING (116.4231683 39.9768421, 116.4227049 39.9768338)",
4138951618,8998037750,0,412476330,service,False,False,45.182,"LINESTRING (116.4231683 39.9768421, 116.4234226 39.9768564, 116.4235058 39.9768755, 116.4235702 39.9769125, 116.4235965 39.9769927)",
4138951620,4138951621,0,412476330,service,False,False,76.011,"LINESTRING (116.4235728 39.977622, 116.4226808 39.9776139)",
4138951620,8998037750,0,412476330,service,False,True,70.004,"LINESTRING (116.4235728 39.977622, 116.4235965 39.9769927)",
4138951620,4138951630,0,412476334,service,False,False,15.982,"LINESTRING (116.4235728 39.977622, 116.4235622 39.9777655)",
4138951621,4138951622,0,412476330,service,False,False,86.768,"LINESTRING (116.4226808 39.9776139, 116.4227049 39.9768338)",
4138951621,4138951620,0,412476330,service,False,True,76.011,"LINESTRING (116.4226808 39.9776139, 116.4235728 39.977622)",
4138951621,4138951623,0,412476331,service,False,False,16.323999999999998,"LINESTRING (116.4226808 39.9776139, 116.4226609 39.97771, 116.422618 39.977747)",
4138951622,4138951621,0,412476330,service,False,True,86.768,"LINESTRING (116.4227049 39.9768338, 116.4226808 39.9776139)",
4138951622,8998037783,0,972201454,service,False,True,163.288,"LINESTRING (116.4227049 39.9768338, 116.4207888 39.9768118)",
4138951622,4138951618,0,972201455,service,False,False,39.497,"LINESTRING (116.4227049 39.9768338, 116.4231683 39.9768421)",
4138951623,4138951630,0,972201452,service,False,False,80.48,"LINESTRING (116.422618 39.977747, 116.4235622 39.9777655)",
4138951623,4138951624,0,412476331,service,False,False,20.177,"LINESTRING (116.422618 39.977747, 116.4225402 39.9777573, 116.4223835 39.9777719)",
4138951623,4138951621,0,412476331,service,False,True,16.323999999999998,"LINESTRING (116.422618 39.977747, 116.4226609 39.97771, 116.4226808 39.9776139)",
4138951624,4138951625,0,412476331,service,False,False,63.69,"LINESTRING (116.4223835 39.9777719, 116.4223648 39.9783445)",
4138951624,8998037739,0,972201453,service,False,True,85.375,"LINESTRING (116.4223835 39.9777719, 116.4213816 39.9777634)",
4138951624,4138951623,0,412476331,service,False,True,20.177,"LINESTRING (116.4223835 39.9777719, 116.4225402 39.9777573, 116.422618 39.977747)",
4138951625,4138951626,0,412476331,service,False,False,83.981,"LINESTRING (116.4223648 39.9783445, 116.4213792 39.9783425)",
4138951625,4138951624,0,412476331,service,False,True,63.69,"LINESTRING (116.4223648 39.9783445, 116.4223835 39.9777719)",
4138951625,4138951629,0,412476333,service,False,False,123.022,"LINESTRING (116.4223648 39.9783445, 116.4238085 39.9783569)",
4138951626,8998037736,0,412476331,service,False,False,49.345,"LINESTRING (116.4213792 39.9783425, 116.4213687 39.9787862)",
4138951626,4138951625,0,412476331,service,False,True,83.981,"LINESTRING (116.4213792 39.9783425, 116.4223648 39.9783445)",
4138951626,4138951628,0,972201443,service,False,True,125.34,"LINESTRING (116.4213792 39.9783425, 116.4199085 39.9783199)",
4138951626,8998037739,0,972201444,service,False,True,64.393,"LINESTRING (116.4213792 39.9783425, 116.4213816 39.9777634)",
4138951628,8998037737,0,412476332,service,False,False,49.646,"LINESTRING (116.4199085 39.9783199, 116.4198977 39.9787663)",
4138951628,8998037776,0,412476332,service,False,True,61.649,"LINESTRING (116.4199085 39.9783199, 116.4199144 39.9777655)",
4138951628,4138951626,0,972201443,service,False,False,125.34,"LINESTRING (116.4199085 39.9783199, 116.4213792 39.9783425)",
4138951629,4138951625,0,412476333,service,False,True,123.022,"LINESTRING (116.4238085 39.9783569, 116.4223648 39.9783445)",
4138951629,8997982383,0,412476334,service,False,False,89.124,"LINESTRING (116.4238085 39.9783569, 116.4237995 39.9784376, 116.4237897 39.9791061, 116.4237861 39.979158)",
4138951629,8998037752,0,412476334,service,False,True,12.483,"LINESTRING (116.4238085 39.9783569, 116.4238438 39.9783091, 116.4238626 39.9782536)",
