element_type,osmid,nodes,natural,water,geometry,name
way,86173459,"[1000222866, 1000222852, 1000222860, 1000222839, 1000222867, 1000222847, 1000222862, 1000222845, 1000222868, 1000222849, 1000222851, 1000222833, 1000222853, 1000222836, 1000222834, 1000222854, 1000222838, 1000222864, 1000222866]",water,basin,"POLYGON ((117.1619587 39.0998937, 117.1619319 39.0999206, 117.1619677 39.1002057, 117.1620335 39.1006867, 117.1620581 39.100827, 117.1622491 39.1014666, 117.1622557 39.1015645, 117.162469 39.1015671, 117.1624746 39.1014354, 117.1623015 39.1008704, 117.1622758 39.1008738, 117.1622256 39.1005549, 117.1622479 39.1005532, 117.1621687 39.100048, 117.1621374 39.1000506, 117.1621229 39.0999258, 117.1620961 39.0999267, 117.1620682 39.0998929, 117.1619587 39.0998937))",
way,86201017,"[1000548016, 1000548014, 1000548017, 1000548015, 1000548019, 1000548018, 1000548013, 1000548016]",water,basin,"POLYGON ((117.1619149 39.0998087, 117.1620408 39.0998072, 117.1620283 39.099758, 117.1620023 39.0997326, 117.1619504 39.0997304, 117.1619274 39.099752, 117.1619158 39.0997707, 117.1619149 39.0998087))",
way,216255941,"[2256059672, 5265378768, 5265378767, 5265378769, 5265378770, 5265378766, 5265378762, 5265378765, 5265378764, 5265378763, 5265378755, 5265378760, 5265378761, 5265378756, 5265378754, 5265378757, 5265378759, 5265378758, 5265378745, 5265378752, 5265378753, 5265378748, 5265378747, 5265378750, 5265378749, 5265378751, 5265378746, 5265378742, 5265378743, 5265378744, 5265378741, 2256059660, 5265369909, 2256059681, 2256059675, 2256059670, 5265343683, 5265343686, 5265343669, 5265343681, 5257095518, 7819762702, 7819762701, 2256059679, 5265369910, 5265369911, 5265369912, 5265369917, 5265369913, 5265369916, 5265369914, 5265369915, 5265378721, 5265369918, 5265369920, 5265369919, 5265378722, 5265378729, 5265378726, 5265378728, 5265378723, 5265378727, 5265378725, 5265378730, 5265378724, 5265378731, 5265378734, 5265378733, 5265378735, 5265378732, 5265378736, 5265378739, 5265378737, 5265378740, 5265378738, 2256059687, 5265378804, 5265378803, 5265378802, 5265378801, 5265378800, 5265378799, 5265378798, 2256059686, 5265378797, 5265378793, 5265378796, 2256059662, 5265378795, 5265378792, 5265378794, 5265378791, 2256059667, 5265378790, 7819802954, 5265378789, 2256059661, 5265378788, 5265378786, 5265378785, 5265378784, 5265378783, 5265378782, 2256059668, 5265378781, 5265378779, 5265378780, 5265378777, 5265378778, 5265378771, 5265378773, 5265378775, 5265378776, 5265378774, 5265378772, 2256059672]",water,lake,"POLYGON ((117.1661201 39.10295, 117.166098 39.1029194, 117.1661003 39.1028737, 117.1661184 39.1028585, 117.1661188 39.1028141, 117.1661029 39.102799, 117.1661055 39.1027328, 117.1661236 39.1027154, 117.1661245 39.1026934, 117.166106 39.1026792, 117.1661066 39.1026642, 117.1661269 39.1026456, 117.1661268 39.1026225, 117.1661095 39.1026049, 117.1661105 39.1025929, 117.1661314 39.102572, 117.1661292 39.1025487, 117.1661149 39.102538, 117.1661136 39.1025244, 117.1661305 39.1025046, 117.1661308 39.1024864, 117.1661159 39.1024698, 117.1661151 39.1024512, 117.1661292 39.1024395, 117.1661362 39.102424, 117.166131 39.1024096, 117.1661197 39.1023984, 117.1661211 39.1023276, 117.1661407 39.1023147, 117.1661424 39.1022733, 117.1661263 39.1022636, 117.1661264 39.1021411, 117.1669809 39.102177, 117.1679024 39.1022129, 117.1696069 39.1022755, 117.1696079 39.1023554, 117.1695743 39.1023564, 117.1693611 39.1023439, 117.1691465 39.1023293, 117.1689038 39.1023189, 117.1687496 39.1023106, 117.1680455 39.1022919, 117.167953 39.1023054, 117.1678915 39.1023404, 117.1678625 39.1024217, 117.1678472 39.102425, 117.1678376 39.1025061, 117.1678188 39.1025153, 117.1678121 39.1025287, 117.1678158 39.1025454, 117.1678282 39.1025584, 117.1678261 39.1025792, 117.1678114 39.102592, 117.1678021 39.1026068, 117.1678047 39.1026214, 117.1678192 39.1026339, 117.1678159 39.1026545, 117.1677992 39.1026549, 117.1677825 39.1026575, 117.1677692 39.1026663, 117.1677586 39.1026804, 117.167762 39.1026971, 117.1677734 39.1027107, 117.1677915 39.1027155, 117.167809 39.102715, 117.1678081 39.1027341, 117.1677902 39.1027471, 117.1677817 39.1027633, 117.167786 39.10278, 117.1677969 39.1027956, 117.1677933 39.1028118, 117.1677817 39.1028185, 117.1677741 39.1028293, 117.1677766 39.1028387, 117.1677819 39.1028464, 117.1677871 39.1029488, 117.1677106 39.1029788, 117.1676573 39.1029443, 117.1675105 39.102953, 117.1672215 39.1029729, 117.1671794 39.1029978, 117.1671738 39.1029863, 117.1671444 39.1029699, 117.1670374 39.1029665, 117.1670087 39.1029412, 117.1669728 39.1029214, 117.166937 39.102914, 117.1668971 39.1029122, 117.1668609 39.102918, 117.1668307 39.1029285, 117.1668085 39.1029424, 117.1667903 39.1029618, 117.1667684 39.1029567, 117.1667161 39.102986, 117.1666766 39.1029828, 117.1666304 39.1029716, 117.1666008 39.1029622, 117.1665893 39.1029551, 117.1665718 39.102944, 117.1665174 39.1029519, 117.1664981 39.1029613, 117.1664818 39.1029533, 117.1664685 39.1029649, 117.1664531 39.1029606, 117.1664243 39.1029627, 117.166392 39.1029522, 117.1663561 39.1029721, 117.1663171 39.102955, 117.1662814 39.1029624, 117.1662762 39.1029525, 117.1661991 39.1029526, 117.1661938 39.1029641, 117.1661789 39.1029703, 117.1661661 39.1029647, 117.1661646 39.1029515, 117.1661201 39.10295))",新开湖
way,544717312,"[5265343663, 5265343673, 5265343674, 5265343675, 5265343676, 5265343677, 5265343664, 5265343665, 5265343666, 5265343667, 5265343668, 5265343678, 5265343679, 5265343680, 5265343681, 5265343669, 5265343670, 5265343687, 5265343688, 5265343689, 5265343690, 5265343691, 5265343692, 5265343693, 5265343694, 5265343695, 5265343696, 5265343697, 5265343698, 5265343699, 5265343700, 5265343684, 5265343686, 5265343683, 5265343685, 5265343671, 5265343672, 5265343663]",water,lake,"POLYGON ((117.1697311 39.1028609, 117.1697484 39.1029898, 117.1697134 39.1031165, 117.1696296 39.1032286, 117.1695051 39.103315, 117.1693522 39.1033672, 117.169186 39.1033801, 117.1690066 39.1033473, 117.1688523 39.1032688, 117.1687418 39.1031543, 117.1686883 39.1030174, 117.1686981 39.1028745, 117.1687675 39.1027427, 117.1688852 39.1026297, 117.1689038 39.1023189, 117.1691465 39.1023293, 117.1691236 39.1028524, 117.1690649 39.1028901, 117.1690376 39.1029303, 117.1690279 39.1029753, 117.1690369 39.1030203, 117.1690638 39.1030608, 117.1691057 39.1030927, 117.1691584 39.1031128, 117.1692165 39.103119, 117.1692777 39.1031096, 117.1693314 39.103085, 117.1693715 39.1030478, 117.1693932 39.1030024, 117.1693942 39.102954, 117.1693743 39.1029081, 117.1693296 39.1028605, 117.1693611 39.1023439, 117.1695743 39.1023564, 117.1695925 39.1025204, 117.1696052 39.1026427, 117.1696631 39.1027425, 117.1697311 39.1028609))",马蹄湖
way,768782448,"[7177222651, 7177222652, 7177222653, 7177222654, 7177222655, 7177222656, 7177222657, 7177222658, 7177222659, 7177222660, 1000222862, 1000222845, 7177222661, 7177222662, 7177222663, 7177222664, 7177222665, 7177222666, 7177222667, 7177222668, 7177222669, 7177222651]",water,,"POLYGON ((117.1603282 39.104153, 117.1603323 39.1040047, 117.1605111 39.1039889, 117.1606494 39.1039385, 117.1607957 39.1038564, 117.1610844 39.1035567, 117.1621455 39.1023737, 117.1622186 39.1022506, 117.162239 39.1020866, 117.1622715 39.1018405, 117.1622557 39.1015645, 117.162469 39.1015671, 117.1624382 39.1020455, 117.1623853 39.1023673, 117.1619259 39.10291, 117.1617714 39.103033, 117.1614909 39.1033138, 117.1608608 39.1039921, 117.1607632 39.104093, 117.160686 39.1041246, 117.1606209 39.1041372, 117.1603282 39.104153))",
