element_type,osmid,geometry,nodes,natural,water,name,name:zh,name:zh-Hans,name:zh-Hant,ways,type
way,225815488,"POLYGON ((113.9300658 22.5343028, 113.9300868 22.5342658, 113.9301082 22.5342163, 113.9301163 22.5341568, 113.9301136 22.5341098, 113.9300841 22.5340429, 113.9301943 22.5340814, 113.9302496 22.5341293, 113.9302708 22.5341903, 113.930232 22.5342657, 113.930169 22.5343209, 113.9300814 22.5343377, 113.9300293 22.5343377, 113.9300658 22.5343028))","[2401126348, 2401126345, 2401126271, 2401126308, 2401126347, 2401126270, 2397000729, 2397000737, 2397000730, 2397000726, 2346273603, 2401126276, 2401126291, 2401126348]",water,lake,,,,,,
way,231311761,"POLYGON ((113.9303494 22.5354181, 113.9305774 22.5352745, 113.9305857 22.5352636, 113.9305881 22.5352497, 113.9305799 22.5352336, 113.9305645 22.5352149, 113.9305559 22.5351877, 113.9305534 22.5351539, 113.9305465 22.5351301, 113.9305304 22.5351036, 113.9305082 22.5350842, 113.9304708 22.5350657, 113.930423 22.5350502, 113.9303897 22.535049, 113.9303897 22.5350986, 113.9304084 22.5351506, 113.930387 22.5351754, 113.9302824 22.5353389, 113.9303494 22.5354181))","[2397052934, 2397052899, 2397052943, 2397052898, 2397052931, 2397052923, 2397052945, 2397052929, 2397052917, 2397052896, 2397052897, 2397052944, 2397052925, 2397052904, 2397052942, 2397052900, 2397052916, 2397052919, 2397052934]",water,pond,,,,,,
way,231311762,"POLYGON ((113.930387 22.5350143, 113.9304621 22.5350416, 113.9305211 22.5350664, 113.9305439 22.5350831, 113.9305577 22.535104, 113.9305726 22.5351382, 113.9305818 22.5351554, 113.9305962 22.535163, 113.9306257 22.5351456, 113.9307678 22.5350738, 113.9307935 22.5350487, 113.9308054 22.5350218, 113.9308123 22.5349945, 113.9308134 22.5349648, 113.9308074 22.5349381, 113.930792 22.5349103, 113.930741 22.5348657, 113.9307197 22.5348523, 113.9306927 22.5348459, 113.9306608 22.5348474, 113.930631 22.5348558, 113.9306063 22.5348758, 113.9305935 22.5348979, 113.930578 22.5349359, 113.9305694 22.5349499, 113.9305576 22.5349598, 113.9305372 22.5349648, 113.9305181 22.5349641, 113.9304996 22.5349573, 113.930446 22.534935, 113.9304137 22.5349238, 113.9303836 22.5349181, 113.9303626 22.5349212, 113.9303467 22.5349301, 113.9303383 22.5349499, 113.9303387 22.5349673, 113.9303418 22.5349864, 113.9303548 22.5349995, 113.930387 22.5350143))","[2397052920, 2397052938, 2397052907, 2397052903, 2397052948, 2397052910, 2397052902, 2397052905, 2397052906, 2397052939, 2397052912, 2397052940, 2397052922, 2397052932, 2397052893, 2397052930, 2397052941, 2397052933, 2397052914, 2397052913, 2397052926, 2397052909, 2397052946, 2397052928, 2397052927, 2397052908, 2397052921, 2397052894, 2397052915, 2397052937, 2397052935, 2397052901, 2397052911, 2397052918, 2397052936, 2397052895, 2397052947, 2397052924, 2397052920]",water,pond,,,,,,
way,231676382,"POLYGON ((113.9287835 22.5404345, 113.9290474 22.5404391, 113.9290481 22.540411, 113.9290907 22.5404116, 113.9290904 22.5403788, 113.9291165 22.5403775, 113.9291316 22.5403788, 113.9291333 22.5403444, 113.9291567 22.5403447, 113.9291547 22.5403032, 113.9291601 22.5402747, 113.9291701 22.5402499, 113.9291849 22.5402289, 113.929201 22.5402103, 113.9292218 22.5401911, 113.9292486 22.5401707, 113.9292741 22.540157, 113.9293177 22.540136, 113.9293338 22.540105, 113.9293224 22.5400282, 113.9293123 22.5399824, 113.9292828 22.5399564, 113.9292406 22.5399694, 113.9291762 22.540009, 113.9291172 22.5400239, 113.9290501 22.5400332, 113.9289697 22.54004, 113.9288711 22.5400369, 113.9288147 22.5400252, 113.9287632 22.5400002, 113.9286993 22.5399526, 113.9286133 22.5398822, 113.9285789 22.5398731, 113.9285371 22.5398868, 113.9285125 22.5399253, 113.9285101 22.5399753, 113.9285248 22.5400206, 113.9285552 22.540053, 113.9285921 22.5400802, 113.9286632 22.5401385, 113.9286867 22.5401638, 113.9287323 22.5402499, 113.9287665 22.5403317, 113.9287835 22.5404345))","[2400176581, 2400176693, 2924471398, 2400176706, 2400176762, 2400176684, 2400176707, 2400176760, 2400176711, 2400176590, 7824842780, 7824842784, 7824842781, 7824842782, 7824842783, 7824853885, 7824853886, 2400176718, 2400176701, 2400176632, 2400176610, 2400176723, 2400176697, 2400176734, 2400176710, 2400176714, 2400176595, 2400176751, 2400176669, 2400176717, 2400176720, 2400176637, 2400176698, 2400176749, 2400176602, 2400176645, 2400176599, 2400176601, 2400176587, 2400176667, 2400176584, 2400176613, 2400176608, 2400176581]",water,pond,,,,,,
way,231781964,"POLYGON ((113.9299877 22.5343374, 113.9298146 22.5343283, 113.9298654 22.5343017, 113.9299134 22.5342635, 113.929958 22.5342146, 113.9299892 22.5341759, 113.9300186 22.5341246, 113.9300385 22.5340454, 113.930068 22.5340924, 113.9300814 22.5341345, 113.9300814 22.534189, 113.930068 22.5342312, 113.9300358 22.5342832, 113.9299877 22.5343374))","[2401126343, 2428808193, 2428808195, 2428808197, 2428808199, 2428808202, 2428808208, 2401126342, 2401126340, 2401126339, 2401126338, 2401126337, 2401126336, 2401126343]",water,lake,,,,,,
way,234739309,"POLYGON ((113.9298567 22.5342902, 113.9297902 22.5343271, 113.9295786 22.534316, 113.9293178 22.5342942, 113.9290501 22.5342414, 113.9287666 22.5342017, 113.9286433 22.5341722, 113.9285059 22.5341005, 113.9282885 22.5339413, 113.9283008 22.5339012, 113.9283005 22.5338581, 113.9282924 22.5338289, 113.9282781 22.5338017, 113.9282579 22.5337775, 113.9282328 22.5337576, 113.9282067 22.5337439, 113.9281784 22.533735, 113.928132 22.5337309, 113.9280997 22.5337355, 113.9280691 22.5337459, 113.9278341 22.5336412, 113.9277648 22.5335956, 113.9277047 22.5335235, 113.927682 22.5334265, 113.9277053 22.5332845, 113.9278126 22.5331656, 113.9280564 22.5331079, 113.9282421 22.5330814, 113.9284077 22.5330759, 113.9286702 22.5330858, 113.9287463 22.5331267, 113.9289743 22.5332123, 113.9292609 22.5332938, 113.9294066 22.5333188, 113.9294802 22.5333408, 113.9295227 22.5333837, 113.9295456 22.5334434, 113.9295609 22.5335254, 113.9295506 22.5336047, 113.9295287 22.5336704, 113.9293549 22.5335676, 113.9293472 22.5335058, 113.9293115 22.5334286, 113.9292627 22.5333907, 113.9291146 22.5333404, 113.9290458 22.5333167, 113.9290146 22.5333034, 113.9289566 22.5332801, 113.9288885 22.5332625, 113.9288446 22.5332783, 113.9288063 22.5333774, 113.9288426 22.533443, 113.9290266 22.5335046, 113.9291288 22.5335755, 113.9292171 22.5336103, 113.9292932 22.5335818, 113.9295129 22.5337067, 113.9296379 22.5337777, 113.9299802 22.5339952, 113.930024 22.5340329, 113.9300043 22.5341197, 113.9299763 22.5341684, 113.9299461 22.5342059, 113.9299026 22.5342536, 113.9298567 22.5342902))","[2428808203, 2428808209, 2346273605, 2346273606, 2346273607, 2346273609, 2397000710, 2346273610, 2397000716, 2403047965, 2346273612, 5787679250, 2397000709, 5787679251, 2397000736, 5787679252, 2403047963, 2346273613, 5787679353, 2346273615, 2346273617, 2397000733, 2397000721, 2346273619, 2346273621, 2346273623, 2401126319, 2346273625, 2346273627, 2397000719, 2346273628, 7769384795, 2397000740, 2397000735, 2397000738, 2397000711, 2397000705, 2397000718, 2397000704, 2397000720, 2397000717, 2397000722, 2397000706, 2397000739, 2397000727, 2397000734, 2397000732, 7769384744, 2346273630, 2397000741, 2397000712, 2346273632, 2346273634, 2346273636, 2346273638, 2346273599, 2400039288, 2400039286, 2397000731, 2428808198, 2428808194, 2428808206, 2428808200, 2428808196, 2428808203]",water,lake,上文山湖,上文山湖,上文山湖,上文山湖,,
relation,3085354,"POLYGON ((113.9257969 22.5317168, 113.9257466 22.5318789, 113.9260799 22.5324442, 113.9261055 22.5324324, 113.9262072 22.5326191, 113.9262336 22.5326089, 113.9263153 22.5327707, 113.92641 22.5327331, 113.926419 22.5327314, 113.9264245 22.5327328, 113.9264267 22.5327339, 113.9264578 22.5327864, 113.9266318 22.5331225, 113.9267114 22.5331483, 113.9267789 22.5331843, 113.926835 22.5332264, 113.9269268 22.5332464, 113.927136 22.5331425, 113.9270858 22.5331082, 113.9270526 22.5330709, 113.9270567 22.5330326, 113.9270893 22.5330042, 113.9271384 22.5330017, 113.9271879 22.5330159, 113.9272262 22.5330608, 113.9272536 22.5330932, 113.9273506 22.5330284, 113.9274231 22.5327243, 113.9274042 22.5326884, 113.9273734 22.5326592, 113.9270607 22.5324721, 113.9259719 22.5316063, 113.9258915 22.5315915, 113.9257969 22.5317168), (113.9264177 22.53229, 113.9263957 22.5322356, 113.9264102 22.5321649, 113.9264598 22.5321454, 113.9265298 22.5321712, 113.926621 22.5322852, 113.9268517 22.5324388, 113.9269459 22.5325019, 113.9270096 22.5325446, 113.9270527 22.5325948, 113.9270853 22.5326433, 113.9271089 22.5326987, 113.9271125 22.5327487, 113.9270817 22.5327901, 113.9270394 22.5328149, 113.9269694 22.5328255, 113.926898 22.5328119, 113.9267523 22.5327261, 113.9266478 22.5326587, 113.9266126 22.532612, 113.9265986 22.5325023, 113.9265785 22.5324548, 113.9265579 22.5324326, 113.9264869 22.5323793, 113.9264177 22.53229))","[[[2386479173, 2400039385, 2386479168, 2403068951, 2403068952, 2403068953, 2403068919, 2386479175, 2386479159, 7769561974, 7769561972, 7769561973, 7769561975, 2386479160, 2400039384, 2400039382, 2400039383, 2386479179, 2386479192, 2402284502, 2386479177, 2402284529, 2386479178, 2402284492, 2402284577, 2386479164, 2386479169, 2386479170, 2386479163, 2386479176, 2386479188, 2400039368, 2386479171, 2386479173], [2386479174, 2400039380, 2386479185, 2386479182, 2400039321, 2386479184, 2386479190, 2386479165, 2386479172, 2400039366, 2386479161, 2463741357, 2386479162, 2463741355, 2386479180, 2463741360, 2463741351, 2386479191, 2386479167, 2463741353, 2386479186, 2386479183, 7772250812, 7772250813, 2386479174]]]",water,lake,下文山湖,下文山湖,下文山湖,下文山湖,"[230118762, 230118763]",multipolygon
