u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge,name,access,junction,service,width,tunnel
2299624602,9032560220,0,220883468,False,unclassified,False,203.878,"LINESTRING (113.9333782 22.5283764, 113.9337429 22.5283731, 113.9338212 22.5283866, 113.9338998 22.5284165, 113.933963 22.5284631, 113.934013 22.5285339, 113.9340445 22.528606, 113.9341669 22.5290072, 113.9342304 22.5291776, 113.9342774 22.529361, 113.9343803 22.5296687)",,,,,,,
2299624605,2299624560,0,220883469,True,unclassified,False,31.635999999999996,"LINESTRING (113.9319578 22.5300789, 113.9319226 22.5300842, 113.9318872 22.5300797, 113.9318549 22.5300658, 113.9318284 22.5300437, 113.9318081 22.5300105, 113.9318012 22.5299729, 113.9318086 22.5299353, 113.9318294 22.5299023)",,,,roundabout,,,
2299624605,2394958857,0,231086120,False,unclassified,False,87.19,"LINESTRING (113.9319578 22.5300789, 113.9320532 22.5302095, 113.9321375 22.5302924, 113.9324984 22.5306821)",,,,,,,
2310684965,2476511402,0,222088985,False,unclassified,True,70.542,"LINESTRING (113.9346535 22.5382889, 113.9346546 22.5389233)",,,,,,,
2310684965,2476511408,0,488453361,False,unclassified,False,24.901,"LINESTRING (113.9346535 22.5382889, 113.9348939 22.5382598)",,深大东路,,,,,
2310684965,2398019478,0,488453361,False,unclassified,True,224.76299999999998,"LINESTRING (113.9346535 22.5382889, 113.9344419 22.5382828, 113.9340836 22.5382425, 113.9335874 22.5381608, 113.9334303 22.5381184, 113.9330644 22.5380196, 113.9328337 22.5379329, 113.9325718 22.5377844, 113.9325628 22.5377793)",,深大东路,,,,,
2310684974,5787679242,0,611264727,False,pedestrian,False,20.806,"LINESTRING (113.9345019 22.5390629, 113.9343085 22.5390072)",,,,,,,
2310684974,2476511402,0,222088984,True,unclassified,False,23.2,"LINESTRING (113.9345019 22.5390629, 113.9345277 22.5390082, 113.9345747 22.5389584, 113.9346144 22.5389332, 113.9346546 22.5389233)",,,,,,,
2310684975,5610925722,0,587399988,False,pedestrian,False,23.252,"LINESTRING (113.9348133 22.5391097, 113.9350397 22.5391099)",,,,,,,
2310684975,2476511432,0,222088984,True,unclassified,False,30.346,"LINESTRING (113.9348133 22.5391097, 113.9348057 22.539165, 113.9347878 22.5392095, 113.9347615 22.5392516, 113.9347292 22.5392817, 113.9346948 22.5392974, 113.9346492 22.5393073)",,,,,,,
2392840898,2455136610,0,237639761,False,steps,True,6.472,"LINESTRING (113.9277515 22.5323324, 113.9277118 22.5322872)",,,,,,,
2394958848,7243684785,0,220883468,False,unclassified,True,37.821,"LINESTRING (113.9355604 22.5334461, 113.9359283 22.5334609)",,,,,,,
2394958848,7243684685,0,220883468,False,unclassified,False,34.278,"LINESTRING (113.9355604 22.5334461, 113.935489 22.5334205, 113.9354417 22.533397, 113.9353808 22.5333593, 113.9352785 22.533285)",,,,,,,
2394958848,5517945301,0,"[611264728, 574956545, 574956548, 611264729]",False,unclassified,False,574.3079999999999,"LINESTRING (113.9355604 22.5334461, 113.9356986 22.5335407, 113.9361924 22.5339226, 113.936273 22.5339793, 113.9363476 22.5340192, 113.9364101 22.5340471, 113.9364857 22.5340671, 113.9365346 22.534071, 113.9365868 22.5340679, 113.9366428 22.534047, 113.9366958 22.5340214, 113.9367314 22.5339954, 113.9367671 22.5339461, 113.9367879 22.5339016, 113.9368007 22.5338402, 113.9367979 22.5337819, 113.9367853 22.533717, 113.9367632 22.5336565, 113.936726 22.53361, 113.936676 22.5335834, 113.9366165 22.5335539, 113.9365503 22.5335442, 113.9364885 22.5335414, 113.9364191 22.5335583, 113.9363661 22.5335849, 113.9362989 22.5336278, 113.9362116 22.5337045, 113.9361467 22.5337727, 113.9360614 22.5338964, 113.9358067 22.5342711, 113.9356837 22.5344736, 113.9355601 22.53468, 113.9350775 22.5355917, 113.9349973 22.5357121, 113.934931 22.535813, 113.9348042 22.5359486, 113.9346999 22.5360969, 113.93463 22.536194)",yes,,,,,,
2394958857,9102966574,0,776358633,False,service,True,11.195,"LINESTRING (113.9324984 22.5306821, 113.9325621 22.5306004)",,,,,,,
2394958857,11404795253,0,231086120,False,unclassified,False,74.482,"LINESTRING (113.9324984 22.5306821, 113.9325526 22.530757, 113.9326323 22.5308862, 113.932833 22.5312086, 113.9328739 22.5312541)",,,,,,,
2394958857,2299624605,0,231086120,False,unclassified,True,87.19,"LINESTRING (113.9324984 22.5306821, 113.9321375 22.5302924, 113.9320532 22.5302095, 113.9319578 22.5300789)",,,,,,,
2397000728,2401126333,0,231781971,False,footway,False,27.484,"LINESTRING (113.928972 22.5331746, 113.9290729 22.5332154, 113.9292258 22.5332501)",,,,,,,
2397000728,2401126328,0,231781971,False,footway,True,36.512,"LINESTRING (113.928972 22.5331746, 113.9288878 22.533146, 113.9287924 22.5330857, 113.9286529 22.5330343)",,,,,,,
2397000728,2400039300,0,"[832165530, 231664131, 231304733]",False,footway,"[False, True]",93.35400000000001,"LINESTRING (113.928972 22.5331746, 113.928967 22.5331971, 113.928942 22.533288, 113.9289254 22.5333665, 113.9289576 22.5333963, 113.9290488 22.533426, 113.929148 22.5334607, 113.9292419 22.5335226, 113.9293197 22.5335746, 113.9295202 22.5336899)",yes,,,,,,
2397047423,2399009545,0,256680431,False,footway,False,17.334,"LINESTRING (113.9305218 22.5339611, 113.9303765 22.5340404)",,,,,,,
2397047423,2397047425,0,256680431,False,footway,True,12.813,"LINESTRING (113.9305218 22.5339611, 113.930639 22.5339216)",,,,,,,
2397047423,2623164478,0,256680437,False,footway,True,29.215,"LINESTRING (113.9305218 22.5339611, 113.9302867 22.5338132)",,,,,,,
2397047425,2397047423,0,256680431,False,footway,False,12.813,"LINESTRING (113.930639 22.5339216, 113.9305218 22.5339611)",,,,,,,
2397047425,2397047442,0,256680431,False,footway,True,59.51,"LINESTRING (113.930639 22.5339216, 113.9308992 22.5338891, 113.9312125 22.5339328)",,,,,,,
2397047425,2623164423,0,256680434,False,footway,True,59.489,"LINESTRING (113.930639 22.5339216, 113.9305603 22.5337958, 113.9305791 22.5336868, 113.9305925 22.5335753, 113.9305549 22.5334118)",,,,,,,
2397047442,2623164367,0,256680455,False,footway,False,16.448,"LINESTRING (113.9312125 22.5339328, 113.9311861 22.5340787)",yes,,,,,,
2397047442,2397047425,0,256680431,False,footway,False,59.51,"LINESTRING (113.9312125 22.5339328, 113.9308992 22.5338891, 113.930639 22.5339216)",,,,,,,
2397047442,2623164428,0,256680431,False,footway,True,44.958,"LINESTRING (113.9312125 22.5339328, 113.9315661 22.5340039, 113.9316412 22.533994)",,,,,,,
2397047442,2623164476,0,256680438,False,footway,True,49.178999999999995,"LINESTRING (113.9312125 22.5339328, 113.9312174 22.5337562, 113.9311718 22.5336373, 113.9311397 22.533501)",,,,,,,
2398019406,2402100812,0,231664125,False,service,True,43.167,"LINESTRING (113.9276535 22.5308852, 113.9276563 22.530497)",,,,,,,
2398019406,2410575359,0,231407864,False,unclassified,False,17.005,"LINESTRING (113.9276535 22.5308852, 113.9276027 22.530953, 113.9275685 22.531016)",,深大西路,,,,,
2398019406,2398019424,0,231407871,False,unclassified,False,69.812,"LINESTRING (113.9276535 22.5308852, 113.9274585 22.5309218, 113.9269778 22.5309266)",,深大东路,,,,,
2398019406,2398019442,0,488453361,False,unclassified,True,45.22,"LINESTRING (113.9276535 22.5308852, 113.9279467 22.5307905, 113.9280718 22.530759)",,深大东路,,,,,
2398019415,2426456958,0,220071398,True,unclassified,False,18.913,"LINESTRING (113.9281191 22.5360219, 113.927935 22.5360258)",,,,,,,
2398019415,2398019496,0,231407864,False,unclassified,True,10.909,"LINESTRING (113.9281191 22.5360219, 113.9280717 22.5359341)",,深大西路,,,,,
2398019415,2403047886,0,231407864,False,unclassified,False,93.229,"LINESTRING (113.9281191 22.5360219, 113.9283222 22.5362929, 113.928654 22.5366991)",,深大西路,,,,,
2398019417,7221567936,0,231407864,False,unclassified,False,7.608,"LINESTRING (113.9316099 22.5375747, 113.9316814 22.5375568)",,深大西路,,,,,
2398019417,2398019514,0,231407864,False,unclassified,True,69.717,"LINESTRING (113.9316099 22.5375747, 113.9313933 22.537648, 113.9312083 22.5377124, 113.9310688 22.5377223, 113.9309588 22.5377124)",,深大西路,,,,,
2398019417,2401128816,0,231664133,False,unclassified,False,103.649,"LINESTRING (113.9316099 22.5375747, 113.9316697 22.5374183, 113.9317646 22.5371699, 113.9319654 22.5367025)",,,,,,,
2398019424,2398019513,0,231407871,False,unclassified,False,24.547,"LINESTRING (113.9269778 22.5309266, 113.9267388 22.5309273)",,深大东路,,,,,
2398019424,2398019406,0,231407871,False,unclassified,True,69.812,"LINESTRING (113.9269778 22.5309266, 113.9274585 22.5309218, 113.9276535 22.5308852)",,深大东路,,,,,
2398019424,2420566354,0,233712744,False,service,False,119.592,"LINESTRING (113.9269778 22.5309266, 113.926979 22.5308708, 113.9269817 22.5298511)",,,,,,,
2398019430,2410575360,0,232728095,False,service,False,42.848,"LINESTRING (113.9274871 22.531246, 113.9278954 22.5313251)",,,,,,,
2398019430,2398019435,0,231407864,False,unclassified,False,38.557,"LINESTRING (113.9274871 22.531246, 113.9274553 22.5313727, 113.9274398 22.5314817, 113.9274478 22.5315882)",,深大西路,,,,,
2398019430,2410575359,0,231407864,False,unclassified,True,26.91,"LINESTRING (113.9274871 22.531246, 113.9275284 22.5311233, 113.9275685 22.531016)",,深大西路,,,,,
2398019435,2401126326,0,231407866,False,unclassified,False,16.572,"LINESTRING (113.9274478 22.5315882, 113.927375 22.5314552)",,,,,,,
2398019435,2398019468,0,231407864,False,unclassified,False,59.806,"LINESTRING (113.9274478 22.5315882, 113.927531 22.5319202, 113.9275398 22.5321171)",,深大西路,,,,,
2398019435,2398019430,0,231407864,False,unclassified,True,38.557,"LINESTRING (113.9274478 22.5315882, 113.9274398 22.5314817, 113.9274553 22.5313727, 113.9274871 22.531246)",,深大西路,,,,,
2398019442,2400039349,0,"[231664132, 231664127]",False,"['service', 'footway']",True,151.291,"LINESTRING (113.9280718 22.530759, 113.9281049 22.5299068, 113.9281076 22.5298371, 113.9278606 22.5297321, 113.9277855 22.5297098, 113.9276621 22.5297048)",,,,,,,
2398019442,2398019406,0,488453361,False,unclassified,False,45.22,"LINESTRING (113.9280718 22.530759, 113.9279467 22.5307905, 113.9276535 22.5308852)",,深大东路,,,,,
2398019442,2398019532,0,488453361,False,unclassified,True,81.652,"LINESTRING (113.9280718 22.530759, 113.9281171 22.5307554, 113.9281747 22.5307533, 113.9283356 22.5307682, 113.9288577 22.5308533)",,深大东路,,,,,
2398019449,2400039329,0,231407864,False,unclassified,False,11.981,"LINESTRING (113.9275003 22.5346932, 113.9275461 22.5347923)",,深大西路,,,,,
2398019449,2409440247,0,231983467,False,footway,False,11.425,"LINESTRING (113.9275003 22.5346932, 113.9275579 22.5346053)",,,,,,,
2398019449,2398019504,0,231407864,False,unclassified,True,91.077,"LINESTRING (113.9275003 22.5346932, 113.9273041 22.5342465, 113.927256 22.5341182, 113.9272293 22.5340132, 113.927223 22.53392)",,深大西路,,,,,
2398019462,6352244502,0,232096329,False,footway,True,37.125,"LINESTRING (113.9323364 22.5376077, 113.9320851 22.5378477)",,,,,,,
