element_type,osmid,geometry,nodes,building,leisure,name,name:en,name:zh,building:levels,addr:city,amenity,addr:housenumber,elevator,office,website,wikidata,wikipedia,toilets,toilets:wheelchair,alt_name,alt_name:zh,tourism,addr:street,roof:levels,min_level,name:zh-Hans,name:zh-Hant,capacity,smoking,description,opening_hours:signed,ways,type,internet_access,addr:housename,toilets:access
way,977869352,"POLYGON ((113.298558 23.097605, 113.2985875 23.0974224, 113.298845 23.0975754, 113.2990354 23.0976667, 113.2993278 23.0977629, 113.2996228 23.0978123, 113.2996121 23.0978912, 113.2993037 23.0978468, 113.2991213 23.0978049, 113.2988504 23.0976692, 113.2987538 23.0976124, 113.2987323 23.0976494, 113.298558 23.097605))","[9048247791, 9048247780, 9048247781, 9048247792, 9048247789, 9048247785, 9048247787, 9048247793, 9048247775, 9048247779, 9048247788, 9048247786, 9048247791]",yes,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,979674816,"POLYGON ((113.2993451 23.1039715, 113.299424 23.1039227, 113.2993896 23.1038758, 113.2993108 23.1039247, 113.2993451 23.1039715))","[9062929666, 9062929657, 9062929660, 9062929659, 9062929666]",residential,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4003088,"POLYGON ((113.2948969 23.1050309, 113.2952619 23.1049648, 113.2952474 23.1048972, 113.2955581 23.1048409, 113.2954934 23.1045386, 113.2953426 23.1045659, 113.2953092 23.1044102, 113.2951206 23.1044444, 113.2950998 23.1043472, 113.2946013 23.1044375, 113.2946842 23.1048248, 113.2947063 23.104928, 113.2948414 23.1049036, 113.2948685 23.1048986, 113.2948969 23.1050309), (113.2953357 23.104716, 113.2952134 23.1047381, 113.2952096 23.1047205, 113.2948446 23.1047867, 113.2948464 23.1047954, 113.2948192 23.1048003, 113.294778 23.1046079, 113.2948377 23.1045971, 113.294822 23.1045234, 113.2950802 23.1044766, 113.2950837 23.1044929, 113.295116 23.104487, 113.2951353 23.1045767, 113.29527 23.1045523, 113.2952755 23.1045781, 113.295305 23.1045728, 113.2953357 23.104716))","[[[3051468789, 3051468797, 3051468799, 3051468798, 3051468800, 3051468801, 3051468802, 3051468793, 3051468792, 3051468785, 3051468782, 3051468784, 3051468783, 3051468790, 3051468787, 3051468791, 3051468789], [3051468808, 3051468815, 3051468813, 3051468807, 3051468805, 3051468786, 3051468788, 3051468779, 3051468781, 3051468778, 3051468780, 3051468803, 3051468812, 3051468809, 3051468808]]]",university,,叶保定堂,Ip Po-ting Hall,叶保定堂,5,,,,,,,,,,,,,,,,,,,,,,,"[301035485, 301035484]",multipolygon,,,
relation,4003339,"POLYGON ((113.294866 23.1027089, 113.2948765 23.1027594, 113.2946673 23.1027961, 113.2944959 23.1028261, 113.2945018 23.1028545, 113.2944325 23.1028666, 113.2944576 23.1029876, 113.2945268 23.1029754, 113.294566 23.1031648, 113.2947084 23.1031398, 113.2947201 23.1031963, 113.2949583 23.1031546, 113.2948932 23.1028401, 113.2950775 23.1028919, 113.2950931 23.1028184, 113.2950862 23.1027437, 113.2950536 23.1026678, 113.2949979 23.1026043, 113.294866 23.1027089), (113.2948081 23.1029034, 113.2948419 23.1030598, 113.2947246 23.1030813, 113.2947129 23.1030273, 113.2945895 23.1030499, 113.2945673 23.1029475, 113.2948081 23.1029034))","[[[3051665069, 3051665071, 3051665073, 9858397638, 3051665075, 3051665077, 3051665078, 3051665083, 3051665082, 3051665098, 3051665095, 3051665101, 3051665096, 3051665076, 3051665079, 3051665074, 3051665072, 3051665070, 3051665069], [3051665081, 3051665080, 3051665087, 3051665090, 3051665084, 3051665086, 3051665081]]]",university,,善思堂,Shansi Hall,善思堂,,,,,no,,,,,yes,,,,,,,,,,,,,,"[301056112, 301056117]",multipolygon,,,
relation,4003340,"POLYGON ((113.2947964 23.1008666, 113.2947231 23.1008826, 113.2947172 23.1008598, 113.2945209 23.1009027, 113.2945928 23.1011813, 113.2950193 23.1010881, 113.2950023 23.1010221, 113.2950203 23.1010182, 113.2950148 23.100997, 113.2950663 23.1009857, 113.2950253 23.1008268, 113.2949738 23.1008381, 113.2949468 23.1007338, 113.295098 23.1007008, 113.2950624 23.1005632, 113.2951202 23.1005506, 113.2950641 23.1003334, 113.2950247 23.100342, 113.2949549 23.1000714, 113.2949109 23.100081, 113.2948711 23.0999268, 113.2944492 23.100019, 113.2944277 23.099936, 113.2941803 23.0999901, 113.2942559 23.1002827, 113.2943332 23.1002658, 113.2943655 23.1003909, 113.2942881 23.1004077, 113.2943351 23.1005898, 113.2945654 23.1005395, 113.2945788 23.1005912, 113.2945782 23.1005912, 113.2945621 23.1005961, 113.2945497 23.1006061, 113.2945423 23.1006196, 113.2945409 23.1006347, 113.2945459 23.1006492, 113.2945566 23.100661, 113.2945714 23.1006682, 113.294588 23.1006696, 113.294604 23.100665, 113.2946169 23.1006551, 113.294619 23.1006514, 113.2947343 23.1006262, 113.2947964 23.1008666), (113.2944738 23.1001847, 113.2945112 23.1001765, 113.2945042 23.1001495, 113.2948224 23.10008, 113.2948874 23.1003319, 113.2947163 23.1003693, 113.2947029 23.1003171, 113.2945184 23.1003574, 113.2944738 23.1001847))","[[[3051664403, 3051664396, 3051664395, 3051664394, 3051664392, 3051664400, 3051664404, 3051664399, 3051664403], [3051664416, 3051664430, 3051664431, 3051664429, 3051664432, 3051665038, 3051665037, 3051665036, 3051665035, 3051665034, 3051665033, 3051664427, 3051664428, 3051664426, 3051664425, 3051664409, 3051664408, 3051664401, 3051664402, 3051664391, 3051664393, 3051664387, 3051664390, 3051664388, 3051664389, 3051664398, 3051664397, 3051664405, 3051664406, 3051664410, 3051664407, 3051664412, 3051664411, 3051664413, 3051664414, 3051664415, 3051664417, 3051664418, 3051664421, 3051664423, 3051664424, 3051664422, 3051664420, 3051664419, 3051664416]]]",university,,南校园图书馆,,,6,,library,,yes,,,Q109748381,,yes,,,,,,,,,,,,,,"[301056118, 301056115]",multipolygon,terminal,,
relation,4003341,"POLYGON ((113.2945106 23.1036817, 113.294534 23.1038056, 113.29448 23.1038152, 113.2944902 23.1038637, 113.2944578 23.1038694, 113.2944745 23.103949, 113.2945069 23.1039432, 113.2945094 23.1039553, 113.2950007 23.103868, 113.2949323 23.1035421, 113.2949446 23.1035401, 113.2949181 23.1034019, 113.2945439 23.1034628, 113.2945338 23.1034095, 113.2942351 23.1034573, 113.2942372 23.1034686, 113.2941994 23.1034746, 113.294214 23.1035517, 113.2942517 23.1035457, 113.2942609 23.1035939, 113.2944872 23.1035577, 113.2945106 23.1036817), (113.2948563 23.1037484, 113.2946378 23.1037872, 113.2945978 23.1035966, 113.2948201 23.1035604, 113.2948563 23.1037484))","[[[3051665124, 3051665133, 3051665138, 3051665127, 3051665124], [3051665123, 9858397640, 3051665140, 3051468771, 3051468772, 3051468773, 3051468776, 3051468775, 3051468777, 3051468774, 3051665120, 3051665119, 3051665110, 3051665113, 3051665111, 3051665112, 3051665115, 3051665116, 3051665122, 3051665121, 3051665126, 3051665123]]]",university,,地环大楼,Geography and Environment Building,地环大楼,6,,,,,,,,,,,,,,,,,,,,,,,"[301056114, 301035488]",multipolygon,,,
relation,4003342,"POLYGON ((113.2973055 23.1021479, 113.2973164 23.1020462, 113.2973028 23.1019402, 113.2972644 23.1018395, 113.2971874 23.101869, 113.2972092 23.1019215, 113.2970904 23.101943, 113.2969897 23.1019863, 113.2968974 23.102051, 113.2968228 23.1021327, 113.2968897 23.1021786, 113.2969248 23.1021379, 113.2970105 23.1022222, 113.2971026 23.1022795, 113.2972103 23.102319, 113.2973249 23.102336, 113.2973334 23.1022597, 113.2972683 23.1022517, 113.2973055 23.1021479), (113.2972355 23.1020489, 113.2972254 23.1021302, 113.2972125 23.1021834, 113.2971878 23.1022309, 113.2971385 23.1022128, 113.2970657 23.1021659, 113.296993 23.1020931, 113.2969846 23.1020831, 113.2970334 23.1020488, 113.2971146 23.1020155, 113.2972286 23.1019951, 113.2972355 23.1020489))","[[[3051665045, 3051665049, 3051665053, 3051665059, 3051665062, 3051665060, 3051665057, 3051665052, 3051665051, 3051665048, 3051665046, 3051665045], [3051665063, 3051665056, 3051665047, 3051665042, 3051665039, 3051665040, 3051665041, 3051665043, 3051665044, 3051665050, 3051665054, 3051665058, 3051665055, 3051665061, 3051665065, 3051665066, 3051665067, 3051665064, 3051665063]]]",university,,春晖园,Chunhuiyuan Student Cafeteria,春晖园,,,,353,,,,,,,,,,,松园路,,,,,,,,,"[301056111, 301056113]",multipolygon,,,
relation,4003907,"POLYGON ((113.2939178 23.101766, 113.2938347 23.101781, 113.2938744 23.1019674, 113.293914 23.1021537, 113.2940931 23.1021214, 113.2940823 23.1020708, 113.2941311 23.102062, 113.2941362 23.102086, 113.2944304 23.102033, 113.2944114 23.1019439, 113.2943855 23.1018224, 113.2943651 23.1017266, 113.2943005 23.1017382, 113.2942965 23.1017192, 113.2940643 23.101761, 113.2940669 23.1017733, 113.2940208 23.1017816, 113.2939248 23.1017989, 113.2939178 23.101766), (113.2939819 23.101874, 113.2940054 23.1019845, 113.2939658 23.1019917, 113.2939423 23.1018811, 113.2939819 23.101874), (113.2940442 23.1018919, 113.2940904 23.1018836, 113.2940852 23.1018593, 113.2943008 23.1018205, 113.2943302 23.1019585, 113.2941173 23.1019969, 113.2941111 23.1019679, 113.2940623 23.1019767, 113.2940442 23.1018919))","[[[3052089595, 3052089597, 3052089591, 3052089594, 9223818668, 3052089623, 3052089622, 3052089618, 3052089617, 3052089619, 3052089616, 3052089607, 9223818669, 3052089587, 3052089588, 3052089585, 3052089590, 3052089592, 3052089595], [3052089610, 3052089604, 3052089603, 3052089600, 3052089599, 3052089608, 3052089614, 3052089609, 3052089610], [3052089613, 3052089612, 3052089601, 3052089602, 3052089613]]]",university,,第一教学楼,No.1 Teaching Building,第一教学楼,6,,,,no,,,,,yes,,,,,,,,,,,,,,"[301102105, 301102107, 301102106]",multipolygon,,,
relation,4005804,"POLYGON ((113.2931119 23.0959781, 113.2925561 23.0960898, 113.2926409 23.0964465, 113.2926741 23.0965865, 113.2925335 23.0966147, 113.2925646 23.0967456, 113.2927052 23.0967174, 113.2927132 23.0967509, 113.2932477 23.0966434, 113.2932394 23.0966084, 113.2933523 23.0965856, 113.2933214 23.0964555, 113.2931919 23.0964816, 113.2931999 23.0965152, 113.292765 23.0966026, 113.2927239 23.0964298, 113.2931966 23.0963347, 113.2931119 23.0959781), (113.2930089 23.0961874, 113.2926819 23.0962531, 113.2926691 23.0961991, 113.2929961 23.0961334, 113.2930089 23.0961874))","[[[3053893485, 3053893442, 3053893456, 3053893492, 3053893502, 3053893508, 3053893519, 3053893518, 3053893521, 3053893512, 3053893505, 3053893501, 3053893493, 3053893496, 3053893497, 3053893504, 3053893491, 3053893485], [3053893462, 3053893470, 3053893478, 3053893468, 3053893462]]]",university,,第三教学楼,,,,,,,,,,,,,,,,,,,,,,,,,,"[301319375, 301319387]",multipolygon,,,
relation,4005805,"POLYGON ((113.2974735 23.1038314, 113.297421 23.1038361, 113.2974362 23.10398, 113.2975093 23.1039734, 113.2975074 23.1039556, 113.2977373 23.103935, 113.2977392 23.1039528, 113.2978153 23.103946, 113.2978075 23.1038721, 113.2979147 23.1038625, 113.2979225 23.1039364, 113.2979981 23.1039296, 113.2979962 23.1039118, 113.2982217 23.1038916, 113.2982236 23.1039094, 113.2983076 23.1039019, 113.2982923 23.103758, 113.2982342 23.1037633, 113.2982246 23.1036728, 113.2982828 23.1036676, 113.2982683 23.1035314, 113.2981844 23.103539, 113.2981864 23.1035581, 113.2979609 23.1035783, 113.2979589 23.1035592, 113.2978833 23.103566, 113.2978909 23.103638, 113.2977837 23.1036476, 113.2977761 23.1035756, 113.2976999 23.1035824, 113.2977019 23.1036015, 113.2974721 23.1036221, 113.2974701 23.103603, 113.297397 23.1036095, 113.2974114 23.1037457, 113.2974639 23.103741, 113.2974735 23.1038314), (113.2975277 23.1036899, 113.2976424 23.1036797, 113.2976613 23.103858, 113.2975466 23.1038683, 113.2975277 23.1036899), (113.2979731 23.1037683, 113.2977274 23.1037903, 113.2977209 23.1037294, 113.2979666 23.1037074, 113.2979731 23.1037683), (113.2981433 23.1036348, 113.2981614 23.1038055, 113.2980536 23.1038151, 113.2980355 23.1036444, 113.2981433 23.1036348))","[[[3053894734, 3053894757, 3053894754, 3053894771, 3053894773, 3053894810, 3053894809, 3053894802, 3053894798, 3053894801, 3053894800, 3053894781, 3053894777, 3053894799, 3053894796, 3053894791, 3053894785, 3053894790, 3053894788, 3053894758, 3053894760, 3053894744, 3053894743, 3053894624, 3053894625, 3053894626, 3053894630, 3053894627, 3053894628, 3053894739, 3053894742, 3053894629, 3053894631, 3053894632, 3053894735, 3053894733, 3053894734], [3053894751, 3053894748, 3053894762, 3053894766, 3053894751], [3053894740, 3053894737, 3053894769, 3053894770, 3053894740], [3053894745, 3053894776, 3053894779, 3053894746, 3053894745]]]",university,,,,,8,,,364,,,,,,,,,,,园东路,,,,,,,,,"[301319382, 301319384, 301319392, 301319394]",multipolygon,,,
relation,4005806,"POLYGON ((113.2934482 23.0972248, 113.2934303 23.0971523, 113.2933636 23.0971333, 113.2933448 23.0970572, 113.2930562 23.0971174, 113.292884 23.0971534, 113.2928803 23.0971381, 113.292774 23.0971603, 113.2927964 23.0972508, 113.2928174 23.0972464, 113.2928565 23.0974048, 113.2928355 23.0974092, 113.2928569 23.097496, 113.2929632 23.0974738, 113.2929603 23.0974624, 113.2934202 23.0973666, 113.293403 23.0972908, 113.2934482 23.0972248), (113.2930578 23.0973625, 113.2929417 23.0973868, 113.2929028 23.0972295, 113.2930189 23.0972053, 113.2930578 23.0973625), (113.2932572 23.0973209, 113.2931576 23.0973417, 113.2931188 23.0971844, 113.2932184 23.0971636, 113.2932572 23.0973209))","[[[3053893651, 3053893692, 3053893694, 3053893658, 3053893651], [3053893671, 3053893659, 3053893701, 3053893707, 3053893671], [3053893702, 3053893685, 3053893668, 3053893647, 3053893643, 3053893635, 9308629373, 3053893648, 3053893645, 3053893650, 3053893681, 3053893679, 3053893710, 3053893711, 3053893722, 3053893719, 3053893716, 3053893702]]]",university,,文科大楼,Liberal Art Building,文科大楼,,,,275,,,,,,yes,no,,,,,,,,,,,,,"[301319399, 301319386, 301319374]",multipolygon,,,
relation,4005807,"POLYGON ((113.2981775 23.0989579, 113.2981673 23.0989279, 113.2981473 23.0989026, 113.2981196 23.0988844, 113.2980869 23.0988754, 113.2980512 23.0988769, 113.2980181 23.0988892, 113.2979914 23.0989111, 113.2979742 23.09894, 113.2979727 23.0989537, 113.2979683 23.0989532, 113.2979533 23.0990627, 113.2978212 23.0990492, 113.2977737 23.0990576, 113.2977525 23.099086, 113.2977294 23.0993615, 113.2977368 23.0993793, 113.2977614 23.0993904, 113.2980672 23.0994095, 113.2981128 23.0993929, 113.2981351 23.0993653, 113.2981872 23.0989787, 113.2981756 23.0989773, 113.2981775 23.0989579), (113.2980342 23.099198, 113.2980247 23.0992675, 113.2980107 23.0992761, 113.2980007 23.0992901, 113.297997 23.0993065, 113.2980002 23.0993231, 113.298009 23.0993361, 113.297802 23.0993235, 113.2978127 23.0991751, 113.2979754 23.0991911, 113.2980342 23.099198))","[[[3053894212, 3053894210, 3053894203, 3053894198, 3053894193, 3053894186, 3053894188, 3053894194, 3053894201, 3053894207, 3053894209, 3053894208, 3053894242, 3053894234, 3053894240, 3053894245, 3053894281, 3053894283, 3053894285, 3053894287, 3053894286, 3053894282, 3053894213, 3053894212], [3053894258, 3053894260, 3053894267, 3053894270, 3053894272, 3053894273, 3053894276, 3053894279, 3053894277, 3053894253, 3053894258]]]",yes,,熊德龙学生活动中心,Ted Sioeng Student Activity Center,熊德龙学生活动中心,3,,,,,,,,,,,,,,,,,,,,,,,"[301319379, 301319372]",multipolygon,,广州市海珠区中大东北区３０１号,
relation,4005809,"POLYGON ((113.2907558 23.0986011, 113.2912731 23.0985014, 113.2912466 23.098385, 113.2913647 23.0983623, 113.2913905 23.0983752, 113.2914271 23.0983752, 113.2914486 23.098362, 113.2914643 23.0983398, 113.2914584 23.0983109, 113.2914421 23.0982893, 113.2914068 23.0982671, 113.2913729 23.0982605, 113.291351 23.0982634, 113.2913356 23.0981959, 113.291209 23.0982203, 113.291192 23.0981457, 113.2906747 23.0982454, 113.2907558 23.0986011), (113.2911633 23.0982779, 113.2911827 23.0983642, 113.2908549 23.0984267, 113.2908354 23.0983404, 113.2911633 23.0982779))","[[[3053893895, 3053893884, 3053893890, 3053893887, 3053893899, 3053893898, 3053893900, 3053893904, 3053893907, 3053893910, 3053893913, 3053893918, 3053893917, 3053893914, 3053893920, 3053894134, 3053894142, 3053893895], [3053893911, 3053893902, 3053893915, 3053893928, 3053893911]]]",university,,逸夫文化艺术中心,Sir Run Run Shaw Art and Culture Center,逸夫文化艺术中心,6,,,,no,,,,,yes,yes,,,,,,,,,,,,,"[301319377, 301319396]",multipolygon,,,yes
