element_type,osmid,addr:housenumber,source,geometry,nodes,addr:city,addr:postcode,addr:street,amenity,building,building:levels,name,roof:levels,wheelchair,wikidata
way,62250835,60,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,"POLYGON ((2.3378939 48.8547324, 2.3377985 48.8547323, 2.337769 48.8547334, 2.3377378 48.8545845, 2.3379598 48.8545655, 2.337959 48.8545676, 2.3379292 48.8546431, 2.3379206 48.8546649, 2.3378954 48.8547287, 2.3378939 48.8547324))","[777400748, 777400455, 777400631, 777400732, 777400442, 777400371, 806100123, 11266614516, 777400649, 777400748]",Paris,75006,Rue Mazarine,university,yes,6,Université PSL,1,yes,Q1163431
way,62250867,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,"POLYGON ((2.3375116 48.8546032, 2.3374417 48.8546087, 2.3374351 48.8545788, 2.337794 48.8545413, 2.3377882 48.854516, 2.337791 48.8545155, 2.3377905 48.854513, 2.3379964 48.8544934, 2.3379735 48.8545576, 2.3379709 48.8545648, 2.3379598 48.8545655, 2.3377378 48.8545845, 2.3377211 48.8545858, 2.3375116 48.8546032))","[777400530, 777400644, 777400679, 777400501, 777400328, 777400602, 777400427, 777400715, 806100508, 777400531, 777400442, 777400732, 777400546, 777400530]",,,,,yes,,,,,
