u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service
3256848634,9039504170,0,319273245,,service,,False,False,184.35600000000002,"LINESTRING (126.625078 45.7421433, 126.6244762 45.7416245, 126.6244207 45.7415223, 126.6244106 45.7414378, 126.6244358 45.7413638, 126.6244812 45.7412934, 126.6245519 45.7412265, 126.6247232 45.7411342, 126.6250464 45.740947, 126.6250961 45.7409222, 126.6251779 45.7408764)",
3256848641,3256848632,0,319273245,,service,,False,False,14.572,"LINESTRING (126.6253567 45.7407748, 126.6254839 45.7408712)",
3256848641,9039504170,0,319273245,,service,,False,True,17.893,"LINESTRING (126.6253567 45.7407748, 126.6251779 45.7408764)",
3256848641,3256848642,0,319273246,,service,,False,False,90.82,"LINESTRING (126.6253567 45.7407748, 126.6246664 45.7402114, 126.6245986 45.7401526)",
3256848642,9039504171,0,1092751696,校园街,residential,,False,False,17.888,"LINESTRING (126.6245986 45.7401526, 126.6244225 45.7402564)",
3256848642,3447796273,0,1092751696,校园街,residential,,False,True,39.772,"LINESTRING (126.6245986 45.7401526, 126.62499 45.7399217)",
3256848642,3256848641,0,319273246,,service,,False,True,90.82,"LINESTRING (126.6245986 45.7401526, 126.6246664 45.7402114, 126.6253567 45.7407748)",
3256848642,10011965385,0,1093216299,,service,,False,False,16.063,"LINESTRING (126.6245986 45.7401526, 126.6245328 45.7400969, 126.624467 45.7400411)",
3256848643,3256837499,0,319271083,司令街,pedestrian,yes,False,False,88.924,"LINESTRING (126.6271548 45.7421207, 126.6280398 45.7416127)",
3256848643,3256822965,0,319271083,司令街,pedestrian,yes,False,True,218.024,"LINESTRING (126.6271548 45.7421207, 126.6249849 45.7433662)",
3256848643,3256848644,0,319273247,,service,yes,False,False,102.07400000000001,"LINESTRING (126.6271548 45.7421207, 126.6271077 45.7420803, 126.626924 45.7419222, 126.6263263 45.7414077)",
3256848644,3256837500,0,319272440,正心路,residential,no,False,False,86.869,"LINESTRING (126.6263263 45.7414077, 126.6271816 45.7409037)",
3256848644,3256848631,0,319272440,正心路,residential,no,False,True,11.759,"LINESTRING (126.6263263 45.7414077, 126.6262105 45.7414759)",
3256848644,3256848643,0,319273247,,service,yes,False,True,102.074,"LINESTRING (126.6263263 45.7414077, 126.626924 45.7419222, 126.6271077 45.7420803, 126.6271548 45.7421207)",
3257004217,3257004218,0,319287475,,service,,False,False,29.42,"LINESTRING (126.6249938 45.7446359, 126.6247566 45.7444295)",parking_aisle
3257004217,2645379589,0,101389774,教化街,trunk,,True,False,89.303,"LINESTRING (126.6249938 45.7446359, 126.6255925 45.7442899, 126.6258802 45.7441237)",
3257004218,3257004217,0,319287475,,service,,False,True,29.42,"LINESTRING (126.6247566 45.7444295, 126.6249938 45.7446359)",parking_aisle
3257004218,3257004221,0,319287475,,service,,False,False,50.915,"LINESTRING (126.6247566 45.7444295, 126.6246604 45.7444885, 126.6243306 45.7442007)",parking_aisle
3257004218,3257004221,1,319287476,,service,,False,True,59.741,"LINESTRING (126.6247566 45.7444295, 126.6248059 45.7444016, 126.6245082 45.7441511, 126.6244704 45.7441199, 126.6244444 45.7441346, 126.6243306 45.7442007)",parking_aisle
3257004221,9039504168,0,319287475,,service,,False,False,38.245,"LINESTRING (126.6243306 45.7442007, 126.6240185 45.7439345)",parking_aisle
3257004221,3257004218,0,319287475,,service,,False,True,50.915,"LINESTRING (126.6243306 45.7442007, 126.6246604 45.7444885, 126.6247566 45.7444295)",parking_aisle
3257004221,3257004218,1,319287476,,service,,False,False,59.741,"LINESTRING (126.6243306 45.7442007, 126.6244444 45.7441346, 126.6244704 45.7441199, 126.6245082 45.7441511, 126.6248059 45.7444016, 126.6247566 45.7444295)",parking_aisle
3257105269,9907928876,0,300671368,护军街,tertiary,,True,False,4.324,"LINESTRING (126.6245374 45.7385746, 126.6244929 45.738598)",
3257105269,9907928877,0,937503661,护军街,residential,,False,False,4.604,"LINESTRING (126.6245374 45.7385746, 126.6245848 45.7385497)",
3257579077,6313177443,0,674131964,,residential,,False,True,89.576,"LINESTRING (126.6295732 45.7378882, 126.6293984 45.7376532, 126.6293276 45.7375581, 126.6290522 45.7371694)",
3447796104,3256837501,0,319252552,校园街,residential,yes,False,True,55.245,"LINESTRING (126.6250614 45.7398796, 126.6256051 45.7395589)",
3447796104,3447796273,0,1092751696,校园街,residential,,False,False,7.254,"LINESTRING (126.6250614 45.7398796, 126.62499 45.7399217)",
3447796104,3447796107,0,337712822,,service,,False,False,89.501,"LINESTRING (126.6250614 45.7398796, 126.6253518 45.7401364, 126.6254575 45.740074, 126.6258031 45.7403691)",
3447796107,3447796104,0,337712822,,service,,False,True,89.501,"LINESTRING (126.6258031 45.7403691, 126.6254575 45.740074, 126.6253518 45.7401364, 126.6250614 45.7398796)",
3447796273,3256848642,0,1092751696,校园街,residential,,False,False,39.772,"LINESTRING (126.62499 45.7399217, 126.6245986 45.7401526)",
3447796273,3447796104,0,1092751696,校园街,residential,,False,True,7.254,"LINESTRING (126.62499 45.7399217, 126.6250614 45.7398796)",
3447796275,10011965384,0,337712899,,service,,False,True,36.643,"LINESTRING (126.6239744 45.740142, 126.6243365 45.7399305)",
3447796275,10011965388,0,1093216305,,service,,False,False,14.931,"LINESTRING (126.6239744 45.740142, 126.6240992 45.7402442)",
3447796275,10011965377,0,1093216305,,service,,False,True,16.154,"LINESTRING (126.6239744 45.740142, 126.6238396 45.7400313)",
3447796276,10011965358,0,319271082,繁荣街,residential,yes,False,False,76.384,"LINESTRING (126.6275068 45.7394391, 126.6281139 45.7399798)",
3447796276,3256822962,0,319271082,繁荣街,residential,yes,False,True,85.081,"LINESTRING (126.6275068 45.7394391, 126.6268022 45.7388529)",
3447796276,10011965361,0,337712900,,service,,False,False,12.111,"LINESTRING (126.6275068 45.7394391, 126.6275993 45.7393868, 126.627628 45.7393705)",
