u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
5257955121,6794880128,0,"[543920154, 973474836]",service,False,True,38.379000000000005,"LINESTRING (117.1678604 39.105833, 117.1679162 39.1058531, 117.1679772 39.1058598, 117.168038 39.1058525, 117.1680934 39.1058318, 117.1681388 39.1057995, 117.1681701 39.1057584, 117.1681887 39.1057016)",,,
5257955124,6794923741,0,"[724534648, 973474834, 973474835]",service,False,False,148.03300000000002,"LINESTRING (117.1677671 39.1056808, 117.1670137 39.1056556, 117.1667501 39.1056491, 117.166305 39.1056331, 117.166307 39.1058288)",,,
5257955124,6794880128,0,"[543920154, 973474836]",service,False,False,55.379000000000005,"LINESTRING (117.1677671 39.1056808, 117.1677837 39.1056316, 117.1678191 39.1055889, 117.1678697 39.1055566, 117.1679306 39.1055381, 117.167996 39.105535, 117.1680594 39.1055477, 117.1681146 39.105575, 117.1681563 39.1056141, 117.1681805 39.1056613, 117.1681887 39.1057016)",,,
5257955124,5257955121,0,973474836,service,False,True,19.591,"LINESTRING (117.1677671 39.1056808, 117.1677732 39.1057393, 117.1678058 39.1057924, 117.1678604 39.105833)",,,
5319968762,5362791253,0,528008813,tertiary,False,False,122.31,"LINESTRING (117.169058 39.1086068, 117.1690944 39.1097064)",,3,
5319968762,5091926578,0,528008813,tertiary,False,True,114.92999999999999,"LINESTRING (117.169058 39.1086068, 117.1690151 39.1077784, 117.1690111 39.1077409, 117.1689977 39.107718, 117.1689762 39.1076941, 117.1689462 39.1076717, 117.168877 39.107612)",,3,
5319968762,5362791244,0,550835728,service,False,True,95.503,"LINESTRING (117.169058 39.1086068, 117.1685307 39.108617, 117.1680439 39.1086266, 117.1679516 39.1086306)",,,
5319968762,5319968768,0,550835729,service,False,False,215.11499999999998,"LINESTRING (117.169058 39.1086068, 117.1697323 39.1085883, 117.170293 39.1085788, 117.1707059 39.108574, 117.1710325 39.1085644, 117.1713653 39.1085501, 117.1715498 39.1085516)",,,
5319968768,9009743232,0,973474845,service,False,False,5.093,"LINESTRING (117.1715498 39.1085516, 117.1715458 39.1085973)",,,
5319968768,5319968770,0,550835729,service,False,False,55.447,"LINESTRING (117.1715498 39.1085516, 117.1715605 39.1083018, 117.1715632 39.1080531)",,,
