element_type,osmid,nodes,natural,geometry,name,name:zh,water,area,floor
way,241516558,"[2491321184, 2491321186, 5250150679, 2491321188, 2491321189, 2491321191, 2491321193, 2491321195, 2491321197, 2491321199, 2491321201, 2491321203, 2491321184]",water,"POLYGON ((103.7810439 1.2904474, 103.7810226 1.2903501, 103.7809609 1.290351, 103.7809086 1.2903518, 103.7809155 1.2903785, 103.7809116 1.2903996, 103.7809043 1.2904142, 103.7808961 1.2904263, 103.7808841 1.2904383, 103.7809133 1.2904422, 103.780934 1.2904529, 103.7809516 1.2904676, 103.7810439 1.2904474))",,,,,
way,241517641,"[2491325475, 2491325478, 2491325480, 2491325482, 2491325484, 2491325486, 2491325488, 2491325490, 2491325492, 2491325475]",water,"POLYGON ((103.7808489 1.2904873, 103.7809332 1.290472, 103.7809224 1.2904643, 103.7809106 1.2904572, 103.7809017 1.2904551, 103.7808945 1.2904527, 103.7808823 1.2904505, 103.7808618 1.2904507, 103.7808471 1.2904517, 103.7808489 1.2904873))",,,,,
way,241519900,"[2491341687, 2491341688, 2491341689, 2491341690, 2491341687]",water,"POLYGON ((103.7805164 1.2902874, 103.7805092 1.2902581, 103.7805977 1.2902363, 103.7806049 1.2902656, 103.7805164 1.2902874))",,,,,
way,241520256,"[2491344872, 2491344873, 2491344874, 2491344875, 2491344876, 2491344877, 2491344859, 2491344860, 2491344861, 2491344862, 2491344868, 2491344869, 2491344870, 2491344871, 2491344863, 2491344864, 2491344865, 2491344866, 2491344867, 2491344872]",water,"POLYGON ((103.7802395 1.2901553, 103.7802475 1.290157, 103.7802545 1.2901612, 103.7802597 1.2901675, 103.7802627 1.2901751, 103.7802629 1.2901833, 103.7802606 1.2901911, 103.7802558 1.2901977, 103.7802491 1.2902023, 103.7802413 1.2902046, 103.7802332 1.2902042, 103.7802256 1.2902012, 103.7802194 1.290196, 103.7802153 1.290189, 103.7802136 1.290181, 103.7802147 1.2901729, 103.7802183 1.2901656, 103.7802241 1.2901598, 103.7802314 1.2901563, 103.7802395 1.2901553))",,,,,
way,241521325,"[2491356113, 2491356114, 2491356116, 2491356118, 2491356120, 2491356122, 2491356124, 2491356126, 2491356113]",water,"POLYGON ((103.7797103 1.2919345, 103.7796882 1.2919643, 103.7796151 1.2919153, 103.779568 1.2918644, 103.7795305 1.2918028, 103.7795632 1.2917865, 103.7796122 1.2918519, 103.779668 1.2919009, 103.7797103 1.2919345))",,,,,
way,627395975,"[5922595809, 5922595810, 5922595811, 5922595812, 5922595813, 5922595814, 5922595815, 5922595816, 5922595817, 5922595818, 5922595819, 5922595820, 5922595821, 5922595822, 5922595823, 5922595824, 5922595825, 5922595826, 5922595827, 5922595828, 5922595809]",water,"POLYGON ((103.7751884 1.291122, 103.7752025 1.2911173, 103.7752159 1.2911233, 103.7752186 1.291134, 103.7752232 1.2911441, 103.7752286 1.2911488, 103.7752407 1.2911494, 103.7752514 1.2911515, 103.7752621 1.2911635, 103.7752648 1.2911729, 103.7752648 1.2911796, 103.7752642 1.2911917, 103.7752528 1.2911984, 103.7752393 1.2912058, 103.7752313 1.2912078, 103.7752239 1.2912091, 103.7752179 1.2912098, 103.7752101 1.2911949, 103.7752012 1.2911705, 103.7751881 1.2911328, 103.7751884 1.291122))",Block B Pond,B座池塘,pond,,
way,635351596,"[5993519568, 5993519569, 5993519570, 5993519571, 5993519568]",water,"POLYGON ((103.7753093 1.2911182, 103.7752957 1.2910814, 103.7753415 1.2910646, 103.7753551 1.2911013, 103.7753093 1.2911182))",Block C pool,C座游泳池,pond,,
way,1132079942,"[10555571641, 10555571642, 10555571643, 10555571644, 10555571649, 10555571641]",water,"POLYGON ((103.7778753 1.2915813, 103.7779535 1.2914192, 103.7778634 1.2913758, 103.7777852 1.2915378, 103.7778 1.2915449, 103.7778753 1.2915813))",,,reflecting_pool,yes,1
way,1165809753,"[10842802639, 10842802638, 10842802637, 10842802636, 10842802635, 10842802634, 10842802633, 10842802632, 10842802631, 10842802630, 10842802629, 10842802628, 10842802627, 10842802626, 10842802625, 10842802624, 10842802623, 10842802622, 10842802621, 10842802620, 10842802639]",water,"POLYGON ((103.7755849 1.2912087, 103.775599 1.291204, 103.7756124 1.29121, 103.7756151 1.2912207, 103.7756197 1.2912308, 103.7756251 1.2912355, 103.7756372 1.2912361, 103.7756479 1.2912382, 103.7756586 1.2912502, 103.7756613 1.2912596, 103.7756613 1.2912663, 103.7756607 1.2912784, 103.7756493 1.2912851, 103.7756358 1.2912925, 103.7756278 1.2912945, 103.7756204 1.2912958, 103.7756144 1.2912965, 103.7756066 1.2912816, 103.7755977 1.2912572, 103.7755846 1.2912195, 103.7755849 1.2912087))",Block B Pond,C座池塘,pond,,
