element_type,osmid,amenity,geometry,alt_name,level:ref,name,noname:zh,opening_hours,takeaway,level,note:name:zh,outdoor_seating,smoking,name:zh,cuisine,diet:vegetarian,access,note,nodes,building,internet_access,self_service,shop,fixme,ways,diet:halal,type
node,687602969,restaurant,POINT (103.7758228 1.299202),,,,,,,,,,,,,,,,,,,,,,,,
node,687602970,restaurant,POINT (103.7744754 1.2945229),NUS Computing Canteen,1,The Terrace,yes,,,,,,,,,,,,,,,,,,,,
node,2494611922,restaurant,POINT (103.7724728 1.3019559),,,,,,,,,,,,,,,,,,,,,,,,
node,3400250698,restaurant,POINT (103.7820539 1.2907833),,,Green Canteen,yes,0830 - 2030,yes,,,,,,,,,,,,,,,,,,
node,4379291982,restaurant,POINT (103.7805305 1.2967574),,,Platypus,,,yes,1,no need for manual chinese name,no,no,,,,,,,,,,,,,,
node,5922602927,restaurant,POINT (103.7759242 1.2912798),,,Canteen,,,,,,,,食堂,,,,,,,,,,,,,
node,11025729418,restaurant,POINT (103.780013 1.2963088),,,Pasta Express,,,,,,,,,,,,,,,,,,,,,
node,11025729420,restaurant,POINT (103.780081 1.2962936),,,Ayam Penyet,,,,,,,,,,,,,,,,,,,,,
node,11025729421,restaurant,POINT (103.7803693 1.296437),,,Korean,,,,,,,,,,,,,,,,,,,,,
node,11025729422,restaurant,POINT (103.7804364 1.2964683),,,Mixed Veg,,,,,,,,,,,,,,,,,,,,,
node,11025729423,restaurant,POINT (103.7804109 1.2964589),,,Muslim,,,,,,,,,,,,,,,,,,,,,
node,11026965734,restaurant,POINT (103.7724104 1.2945084),,,Pasta Express,,,,1,,,,,,,,,,,,,,,,,
node,11026965735,restaurant,POINT (103.7723915 1.2948415),,,Thai,,,,0.5,,,,,,,,,,,,,,,,,
node,11026965736,restaurant,POINT (103.7724667 1.29487),,,Chinese Cooked Food,,,,0.5,,,,,,,,,,,,,,,,,
node,11026965737,restaurant,POINT (103.7724326 1.294858),,,Snacks & Kway Teow,,,,0.5,,,,,,,,,,,,,,,,,
node,11026965740,restaurant,POINT (103.7723283 1.2948251),,,Roasted Delights,,,,0,,,,,chicken_rice,,,,,,,,,,,,
node,11026965741,restaurant,POINT (103.7722517 1.2947931),,,Muslim,,,,0,,,,,malay,,,,,,,,,,,,
node,11026965742,restaurant,POINT (103.7722724 1.2948017),,,Indian,,,,0,,,,,indian;north_indian,yes,,,,,,,,,,,
node,11026965743,restaurant,POINT (103.7723036 1.2948112),,,Vegetarian,,,,0,,,,,,,,,,,,,,,,,
node,11026965744,restaurant,POINT (103.7724988 1.2948875),,,Yong Tau Foo & Laksa,,,,0.5,,,,,,,,,,,,,,,,,
node,11137500570,restaurant,POINT (103.774387 1.2925203),,,The Spread,,,,,,,,,italian,,,,,,,,,,,,
node,11145614424,restaurant,POINT (103.7836691 1.2956707),,,,,,,,,,,,,,all,~'staff canteen' but public,,,,,,,,,
node,11145614430,restaurant,POINT (103.7825055 1.2948775),,,Nasi Padang,,,,,,,,,,,,,,,,,,,,,
node,11145614431,restaurant,POINT (103.782541 1.294881),,,Thai,,,,,,,,,,,,,,,,,,,,,
node,11145614432,restaurant,POINT (103.7823498 1.2949372),,,Nasi Lemak,,,,,,,,,,,,,,,,,,,,,
node,11145614433,restaurant,POINT (103.7823481 1.2949),,,Yong Tao Foo,,,,,,,,,,,,,,,,,,,,,
node,11190454684,restaurant,POINT (103.7805098 1.2967572),,,Eighteen Chefs,,,,,,,,,,,,,,,,,,,,,
node,11243901178,restaurant,POINT (103.7724102 1.2948535),,,Western,,,,0.5,,,,,,,,,,,,,,,,,
node,11243901179,restaurant,POINT (103.7723451 1.2948343),,,Noodle,,,,0,,,,,,,,,,,,,,,,,
node,11243901180,restaurant,POINT (103.7724353 1.2945133),,,Liang Ban Gong Fu,,,,1,,,,,,,,,,,,,,,,,
node,11243901181,restaurant,POINT (103.7723787 1.2945101),,,Mrs Hen,,,,1,,,,,,,,,,,,,,,,,
way,118374584,restaurant,"POLYGON ((103.7775635 1.2917878, 103.7776506 1.2918179, 103.7776406 1.2918447, 103.7777143 1.2918749, 103.7777311 1.2918364, 103.777778 1.2918414, 103.7778216 1.2918313, 103.7778618 1.2917945, 103.7778802 1.2917459, 103.7778752 1.2916839, 103.7778366 1.2916387, 103.777778 1.2916135, 103.7777611 1.2916183, 103.7777311 1.2916269, 103.7776875 1.2916554, 103.7776691 1.2916856, 103.7776104 1.2916604, 103.7775796 1.2917441, 103.7775635 1.2917878))",,,Chilli Padi Nonya Cafe,,,,,,,,辣椒香娘惹餐厅,Nonya,,,,"[1331299989, 1331300012, 1331299973, 1331299965, 1331299986, 1331299990, 1331300008, 1331299984, 1331299987, 1331299997, 1331300015, 1331300010, 10555571648, 1331299969, 1331299988, 1331299993, 1331300019, 10555571655, 1331299989]",yes,,,,,,,
way,439895290,restaurant,"POLYGON ((103.7847751 1.293926, 103.7847278 1.293917, 103.7847331 1.293889, 103.7847419 1.293843, 103.7847893 1.2938521, 103.7847773 1.2939146, 103.7847751 1.293926))",,,Juz Eat,,,,0,,,,,chinese,,,,"[4375723298, 4375723295, 4375723289, 4375723280, 4375723282, 4375723294, 4375723298]",,,,,,,,
way,439895292,restaurant,"POLYGON ((103.7847122 1.2940827, 103.7847253 1.2940243, 103.7847549 1.2940309, 103.7847437 1.2940887, 103.7847122 1.2940827))",,,Masta Kafe,,,,1,,,no,,,,,,"[4375723330, 4375723323, 4375723326, 4375723331, 4375723330]",,,,,,,,
way,439895301,restaurant,"POLYGON ((103.7847206 1.2935308, 103.7846655 1.2935348, 103.7846694 1.293589, 103.7847246 1.2935849, 103.7847206 1.2935308))",,,My Saap Saap Thai,,,,-1,,,,,thai,,,,"[4375723232, 4375723233, 4375723242, 4375723240, 4375723232]",,,,,,,,
