u,v,key,osmid,lanes,highway,service,oneway,reversed,length,geometry,name,maxspeed,junction,bridge,access,tunnel,width,est_width
410462660,1855321070,0,230638329,,footway,,False,False,39.413,"LINESTRING (103.7844633 1.2954449, 103.7842493 1.2957275)",,,,yes,,,,
410462660,10686208823,0,"[1208965355, 1208965356, 1208965357, 1208965358, 230638329]",,"['steps', 'footway']",,False,"[False, True]",25.353000000000005,"LINESTRING (103.7844633 1.2954449, 103.784377 1.2954082, 103.7843733 1.2954055, 103.7843687 1.2954025, 103.7843634 1.2954009, 103.7843579 1.2954011, 103.7843527 1.295403, 103.7843485 1.2954066, 103.7843456 1.2954114, 103.7843445 1.2954168, 103.7843452 1.2954223, 103.7843477 1.2954273, 103.7843515 1.2954311, 103.7843565 1.2954335, 103.7843619 1.2954342, 103.7843672 1.295433, 103.7843719 1.2954303, 103.7843755 1.2954261, 103.7843775 1.2954211, 103.7843772 1.2954147, 103.7843729 1.2954074, 103.7843612 1.295398, 103.7843503 1.2953935)",,,,yes,,,,
496801413,1555047528,0,161886040,2,residential,,False,False,8.175,"LINESTRING (103.7721131 1.2934273, 103.7721843 1.2934089)",Kent Ridge Drive,40,,,,,,
496801413,7927169989,0,639557994,2,service,,False,True,6.088,"LINESTRING (103.7721131 1.2934273, 103.7721252 1.2934807)",Computing Drive,,,,,,,
496801413,1832513978,0,"[669051544, 634279265, 741897246]",2,residential,,False,True,96.237,"LINESTRING (103.7721131 1.2934273, 103.7719651 1.2934527, 103.7717585 1.2934756, 103.7715973 1.2935046, 103.7714308 1.2935499, 103.7712753 1.2936218)",Kent Ridge Drive,40,,,,,,
496801419,496801435,0,646259316,2,service,,False,True,22.098,"LINESTRING (103.772847 1.2945609, 103.7727545 1.294385)",Computing Drive,,,,,,,
496801419,6945175836,0,741897249,1,service,,False,False,47.81,"LINESTRING (103.772847 1.2945609, 103.7728664 1.2946589, 103.7729463 1.29483, 103.7730487 1.2949273)",Computing Drive,,,,,,,
496801435,496801419,0,646259316,2,service,,False,False,22.098,"LINESTRING (103.7727545 1.294385, 103.772847 1.2945609)",Computing Drive,,,,,,,
496801435,1345143375,0,676161734,2,service,,False,False,16.623,"LINESTRING (103.7727545 1.294385, 103.7726753 1.2942582)",Computing Drive,,,,,,,
496801435,10598568915,0,728110137,2,service,,False,True,23.884,"LINESTRING (103.7727545 1.294385, 103.77273 1.2943752, 103.7727086 1.2943687, 103.7725769 1.2943432, 103.7725621 1.2943397, 103.7725458 1.2943359)",,,,,,,,
496803225,5792709227,0,611870776,,footway,,False,False,7.321,"LINESTRING (103.773597 1.297378, 103.7735599 1.2973236)",,,,,,,,
496803225,10848137334,0,863022706,2,residential,,False,False,27.1,"LINESTRING (103.773597 1.297378, 103.7738215 1.297283)",Kent Ridge Road,40,,,,,,
496803225,7932979648,0,634310551,2,residential,,False,True,13.135,"LINESTRING (103.773597 1.297378, 103.773585 1.2974177, 103.7736096 1.2974903)",Kent Ridge Road,40,,,,,,
496803240,9982818141,0,459360242,2,service,,False,False,84.60900000000001,"LINESTRING (103.7774532 1.295154, 103.7773931 1.2953318, 103.7773395 1.295474, 103.7772698 1.2956, 103.7772081 1.2956778, 103.7770321 1.2956509)",,,,,,,,
496803240,4602296497,0,"[634310548, 640168605]",2,residential,,False,True,269.77,"LINESTRING (103.7774532 1.295154, 103.7773763 1.2951743, 103.777292 1.2951939, 103.7771887 1.2952044, 103.7770347 1.2951945, 103.776915 1.2951671, 103.7767858 1.2951586, 103.7766845 1.2951576, 103.7765859 1.2951834, 103.7764864 1.2952301, 103.7764134 1.2952882, 103.7761328 1.2957405, 103.7760409 1.2958762, 103.7759374 1.2960064, 103.7756698 1.2962971, 103.7756186 1.2963661)",Kent Ridge Road,40,,,,,,
496803240,496803241,0,640278283,2,residential,,False,False,33.305,"LINESTRING (103.7774532 1.295154, 103.7775783 1.2950936, 103.7777133 1.2950065)",Kent Ridge Road,40,,,,,,
496803241,1712472549,0,159146268,,steps,,False,False,32.534,"LINESTRING (103.7777133 1.2950065, 103.7778116 1.2951232, 103.777772 1.2952575)",,,,,,,,
496803241,1747001816,0,"[162903558, 162903559]",,"['steps', 'footway']",,False,"[False, True]",65.074,"LINESTRING (103.7777133 1.2950065, 103.7776287 1.2949206, 103.7775054 1.2948228, 103.7774332 1.2947135, 103.7773413 1.2946147, 103.7773424 1.2945733)",,,,,,,,
496803241,496803243,0,640278283,2,residential,,False,False,44.717,"LINESTRING (103.7777133 1.2950065, 103.7779193 1.2948776, 103.7780657 1.294815)",Kent Ridge Road,40,,,,,,
496803241,496803240,0,640278283,2,residential,,False,True,33.305,"LINESTRING (103.7777133 1.2950065, 103.7775783 1.2950936, 103.7774532 1.295154)",Kent Ridge Road,40,,,,,,
496803243,5120988028,0,526619598,,service,,False,False,94.84700000000001,"LINESTRING (103.7780657 1.294815, 103.7780879 1.2947222, 103.7781014 1.2945532, 103.7781161 1.2944875, 103.7781389 1.2944473, 103.7781724 1.2944058, 103.7784031 1.2942261, 103.7785225 1.2941778)",,,,,,,,
496803243,1362177330,0,634934091,2,residential,,False,False,183.631,"LINESTRING (103.7780657 1.294815, 103.7782936 1.2948218, 103.7786267 1.294838, 103.779039 1.2948504, 103.7792888 1.294818, 103.7797093 1.2947499)",Kent Ridge Road,40,,,,,,
496803243,496803241,0,640278283,2,residential,,False,True,44.717,"LINESTRING (103.7780657 1.294815, 103.7779193 1.2948776, 103.7777133 1.2950065)",Kent Ridge Road,40,,,,,,
496803252,1832501003,0,40840226,2,residential,,False,False,27.474999999999998,"LINESTRING (103.7809262 1.2936545, 103.7809843 1.2935927, 103.781036 1.2935302, 103.7810766 1.2934599)",Kent Ridge Road,40,,,,,,
496803252,1362177330,0,40840226,2,residential,,False,True,184.62599999999998,"LINESTRING (103.7809262 1.2936545, 103.7807774 1.2937728, 103.7806185 1.293892, 103.7805 1.2940021, 103.7803652 1.2941452, 103.7800978 1.2944799, 103.7800058 1.2945913, 103.7799608 1.2946323, 103.7799066 1.2946721, 103.7798142 1.2947159, 103.7797093 1.2947499)",Kent Ridge Road,40,,,,,,
496803252,2391320044,0,853184854,,footway,,False,False,38.668,"LINESTRING (103.7809262 1.2936545, 103.7809448 1.2936716, 103.7810029 1.2936063, 103.7810551 1.2935388, 103.7810966 1.2934643, 103.7811382 1.293415)",,,,,,,,
496810076,7907597109,0,634317050,2,residential,,False,True,4.037,"LINESTRING (103.7831786 1.2919561, 103.7831459 1.2919403)",Prince George's Park,40,,,,,,
496810076,7907586664,0,634317052,2,service,,False,False,4.161,"LINESTRING (103.7831786 1.2919561, 103.7832122 1.2919726)",Prince George's Park,40,,,,,,
496810076,1555169617,0,639903170,2,residential,,False,True,9.777,"LINESTRING (103.7831786 1.2919561, 103.783127 1.2920273)",Kent Ridge Road,40,,,,,,
496810106,6490329839,0,691623138,2,residential,,False,True,33.341,"LINESTRING (103.7739086 1.2920039, 103.7737945 1.2917266)",Heng Mui Keng Terrace,50,,,,,,
496810106,9742517038,0,849651319,,footway,,False,True,1.935,"LINESTRING (103.7739086 1.2920039, 103.7738914 1.2920066)",,,,,,,,
496810106,977370338,0,83999092,2,residential,,False,False,47.664,"LINESTRING (103.7739086 1.2920039, 103.7738621 1.2921472, 103.773808 1.2922947, 103.7737574 1.2924045)",Heng Mui Keng Terrace,40,,,,,,
496810106,11155921872,0,161888194,2,residential,,False,True,25.031,"LINESTRING (103.7739086 1.2920039, 103.7740194 1.2921365, 103.7740631 1.2921653)",Heng Mui Keng Terrace,40,,,,,,
496810106,7937378152,0,851341214,,footway,,False,True,62.88700000000001,"LINESTRING (103.7739086 1.2920039, 103.7739278 1.2919971, 103.7740338 1.2921218, 103.7741015 1.2921633, 103.7741598 1.2921761, 103.7742209 1.2921821, 103.7742812 1.2921734, 103.7743945 1.2921332)",,,,,,,,
496810111,1345143428,0,40840643,2,residential,,False,False,14.433,"LINESTRING (103.776023 1.293736, 103.776152 1.2937213)",Prince George's Park,40,,,,,,
496810111,982305453,0,728061426,2,service,,False,False,11.785,"LINESTRING (103.776023 1.293736, 103.7760888 1.2938191)",Research Link,,,,,,,
496810111,976478207,0,640177087,2,residential,,False,True,22.705000000000002,"LINESTRING (103.776023 1.293736, 103.7759733 1.2937443, 103.7758199 1.2937326)",Research Link,40,,,,,,
