element_type,osmid,level,name,geometry,amenity,note:name:zh,wheelchair,name:zh,addr:city,addr:housenumber,addr:postcode,addr:street,level:ref,nodes,alt_name,building,description,capacity
node,4416381907,,Pines,POINT (103.780742 1.2907173),food_court,-,,,,,,,,,,,,
node,6294904051,1,Juz Eat,POINT (103.7847661 1.2936996),food_court,,,新肴,,,,,,,,,,
node,9857399898,,Techno Edge Canteen,POINT (103.7715153 1.2979465),food_court,no need for manual chinese name,,,Singapore,2,117584,Engineering Drive 2,1,,,,,
way,140087193,,The Deck Canteen,"POLYGON ((103.7722189 1.2948225, 103.7723047 1.2948547, 103.7723825 1.2949083, 103.7724055 1.294916, 103.7724449 1.2949291, 103.7724791 1.2949405, 103.7725461 1.2949217, 103.7726293 1.2948761, 103.7726504 1.2948535, 103.7726668 1.2948359, 103.7727285 1.2948788, 103.7727795 1.2947903, 103.772691 1.294734, 103.7726802 1.2946911, 103.7726695 1.2946348, 103.7726293 1.2945892, 103.7727017 1.2945141, 103.7726454 1.2944471, 103.7726039 1.2944314, 103.7725676 1.2944176, 103.7724828 1.294406, 103.7724496 1.2944015, 103.7723611 1.294423, 103.7722966 1.2944632, 103.7722055 1.2945356, 103.7722886 1.2946294, 103.7722675 1.2946924, 103.7722451 1.29475, 103.7722189 1.2948225))",food_court,no obvious chinese name,yes,,,,,,,"[1534833664, 1534833654, 1534833649, 1554949013, 1554949019, 1534833644, 1534833659, 1534833647, 1854376563, 1534833651, 1534833650, 1534833663, 1534833648, 1534833652, 1534833655, 1534833653, 1534833646, 1534833645, 10598568913, 1534833657, 10563836819, 1534833661, 1534833660, 1534833662, 1534833656, 1534833658, 1554944468, 10581123943, 1534833664]",Arts Canteen,yes,NUS Faculty of Arts and Social Sciences canteen,
way,141910213,,Frontier Phase 2,"POLYGON ((103.7802918 1.2964202, 103.7803635 1.2962719, 103.7803868 1.2962235, 103.780541 1.2963039, 103.7808267 1.2963026, 103.7808776 1.296438, 103.7809149 1.2964238, 103.7809903 1.2963951, 103.7810399 1.2965332, 103.780949 1.296565, 103.7809181 1.2965758, 103.7808905 1.2965854, 103.7808749 1.2965909, 103.7809004 1.2966713, 103.780839 1.2966921, 103.7807542 1.2967208, 103.7807381 1.2967263, 103.7805469 1.2966365, 103.7805309 1.296629, 103.7805189 1.2966233, 103.7804703 1.2966005, 103.780452 1.2965915, 103.7803264 1.2965319, 103.7803511 1.2964812, 103.7803605 1.2964542, 103.7802918 1.2964202))",food_court,no need for manual chinese name,,,,,,,,"[1553332007, 9952346432, 1553331999, 1553332002, 1553332012, 1553332010, 1553337235, 1553332011, 1553332000, 1553340966, 11018997518, 1553340963, 1553332005, 1553332006, 1553332004, 1553340954, 1553332001, 11190454688, 11190454686, 11190454689, 11018992690, 11018992691, 1553332003, 8137557147, 1553332008, 1553332007]",NUS Science Canteen,yes,,700
way,439134474,0,Kopitiam,"POLYGON ((103.7826237 1.2952142, 103.7826224 1.2950881, 103.78262 1.2948399, 103.7823136 1.2948429, 103.7823171 1.2951991, 103.7823173 1.2952173, 103.7826237 1.2952142))",food_court,,,,,,,,,"[4367653410, 11020038658, 4367653403, 4367653402, 11145614442, 11145614441, 4367653410]",,,,
way,439895295,3,On The Ridge,"POLYGON ((103.7847273 1.294174, 103.7845549 1.2941022, 103.7845589 1.2940235, 103.7845614 1.2939744, 103.7845627 1.2939482, 103.7845684 1.2938034, 103.7847329 1.2938116, 103.7847607 1.2936352, 103.7848283 1.2936495, 103.7847273 1.294174))",food_court,,,,,,,,,"[3838403319, 4375723333, 4375159013, 4379291985, 4379291983, 4375723273, 4375723274, 4375723247, 4375723251, 3838403319]",,,,
way,439895317,-1,Red Spot,"POLYGON ((103.7848159 1.2935388, 103.7848266 1.2934817, 103.78486 1.2934852, 103.7848484 1.2935455, 103.7848159 1.2935388))",food_court,,,,,,,,,"[4375723234, 4375723224, 4375723225, 4375723235, 4375723234]",,,,
way,1186359926,,Frontier Phase 1 (air-con),"POLYGON ((103.780209 1.2963609, 103.7802386 1.2963208, 103.7802937 1.2962303, 103.7802642 1.2962128, 103.7802476 1.2962029, 103.7801518 1.2962379, 103.7798431 1.2963506, 103.7798654 1.296406, 103.7798748 1.296403, 103.7800056 1.2963614, 103.7800138 1.2963874, 103.7800209 1.2963852, 103.7800815 1.2963667, 103.7801581 1.2963433, 103.7802007 1.2963733, 103.780209 1.2963609))",food_court,,,,,,,,,"[11018992696, 5936483038, 11018992697, 11025586103, 9951762746, 11025586104, 1553306597, 11018992698, 11025729414, 11018992699, 9952346430, 11025729408, 11025586094, 9952346431, 11018992700, 11018992696]",NUS Science Canteen Phase 1,,,
