element_type,osmid,amenity,healthcare,geometry,nodes,healthcare:speciality,name,name:en,name:ms,name:ta,name:zh,url,wikidata,wikimedia_commons,wikipedia
node,9152442812,hospital,hospital,POINT (103.7830593 1.2941992),,,,,,,,,,,
way,238933465,hospital,hospital,"POLYGON ((103.781308 1.2942007, 103.7813878 1.2938816, 103.7816327 1.2936125, 103.7817166 1.2934183, 103.7818071 1.2930742, 103.7816984 1.2929827, 103.7814984 1.2928144, 103.78183 1.2927166, 103.7826704 1.2924687, 103.7826914 1.2924625, 103.7830154 1.2922608, 103.783209 1.2919967, 103.7833197 1.2918501, 103.7834372 1.2917706, 103.7838554 1.2921375, 103.7839471 1.29227, 103.7841133 1.2925285, 103.7842944 1.2926977, 103.7845801 1.2929136, 103.7849101 1.2931495, 103.7849738 1.2932865, 103.784937 1.2934094, 103.784856 1.2936494, 103.7848274 1.2939397, 103.7848012 1.2941742, 103.7847356 1.2943509, 103.7843977 1.2948497, 103.7840275 1.2953752, 103.7836783 1.2959749, 103.7835 1.2961972, 103.7833086 1.2964051, 103.7830962 1.2965841, 103.7828663 1.2967332, 103.7827153 1.2968103, 103.7825684 1.2968552, 103.7822066 1.2969222, 103.782161 1.2967077, 103.7822173 1.2963835, 103.7821664 1.2958687, 103.7821261 1.2955629, 103.7821074 1.2953752, 103.7821127 1.2950293, 103.7819464 1.2949676, 103.7816863 1.2949148, 103.7816299 1.2949033, 103.781367 1.2944045, 103.781308 1.2942007))","[1249570064, 2467430651, 2467430650, 2467430646, 2467430623, 10595350815, 2467430614, 10595350814, 10595350817, 4941538227, 1249570066, 1249570099, 1249570065, 1249570095, 1249570070, 1249570084, 1249570079, 1249570105, 1249570080, 1249570062, 1362160414, 1249570107, 1362160438, 1249570096, 1362160459, 1249570106, 1249570102, 1249570098, 1249570075, 1362160543, 1249570076, 1249570074, 1249570073, 1362160583, 1249570069, 1249570091, 1249570092, 1249570088, 1249570082, 1249570094, 1249570059, 1249570090, 1249570097, 2391320027, 1249570068, 1249570108, 1249570064]",general,National University Hospital,National University Hospital,Hospital Universiti Nasional Singapura,தேசிய பல்கலைக்கழக மருத்துவமனையில்,国立大学医院,http://www.nuh.com.sg/,Q6979219,Category:National University Hospital,en:National University Hospital
