osmid,y,x,street_count,highway,ref,geometry
5122531823,1.2938823,103.7840935,3,,,POINT (103.7840935 1.2938823)
5122531827,1.2941935,103.7847768,3,,,POINT (103.7847768 1.2941935)
5122531830,1.2941376,103.7848732,4,crossing,,POINT (103.7848732 1.2941376)
5122531831,1.2941027,103.7848949,3,,,POINT (103.7848949 1.2941027)
5122575790,1.2961025,103.778153,1,,,POINT (103.778153 1.2961025)
5122575799,1.2924,103.7816164,1,,,POINT (103.7816164 1.2924)
5122575803,1.2925488,103.7815171,1,,,POINT (103.7815171 1.2925488)
5122575804,1.2921946,103.7820078,3,,,POINT (103.7820078 1.2921946)
5122575812,1.2947103,103.7817455,1,,,POINT (103.7817455 1.2947103)
5122575819,1.2945466,103.7817448,3,,,POINT (103.7817448 1.2945466)
5122575820,1.2945736,103.781609,3,,,POINT (103.781609 1.2945736)
5122888355,1.2979265,103.7806751,3,,,POINT (103.7806751 1.2979265)
5122888356,1.2982204,103.7806735,3,,,POINT (103.7806735 1.2982204)
5122888357,1.2978608,103.780516,3,,,POINT (103.780516 1.2978608)
5122888358,1.2983049,103.780496,3,,,POINT (103.780496 1.2983049)
5122901521,1.2979994,103.7811794,3,,,POINT (103.7811794 1.2979994)
5122901522,1.2971731,103.7822782,4,,,POINT (103.7822782 1.2971731)
5135790602,1.2920324,103.7833899,3,,,POINT (103.7833899 1.2920324)
5136286332,1.2962137,103.7707999,4,crossing,,POINT (103.7707999 1.2962137)
5136287745,1.2924764,103.7746731,3,,,POINT (103.7746731 1.2924764)
5136423038,1.3009251,103.7744011,4,crossing,,POINT (103.7744011 1.3009251)
5137607055,1.2970074,103.7703814,3,,,POINT (103.7703814 1.2970074)
5150486419,1.2901674,103.7802069,3,,,POINT (103.7802069 1.2901674)
5150487742,1.2907361,103.7811742,3,,,POINT (103.7811742 1.2907361)
5150487748,1.289994,103.7805837,4,,,POINT (103.7805837 1.289994)
5176904230,1.2927653,103.7735744,3,,,POINT (103.7735744 1.2927653)
5176904232,1.2931079,103.7733941,3,,,POINT (103.7733941 1.2931079)
5176904235,1.2931838,103.7727968,3,,,POINT (103.7727968 1.2931838)
5229146790,1.2908148,103.7778686,3,,,POINT (103.7778686 1.2908148)
5229146795,1.2917648,103.7769632,3,,,POINT (103.7769632 1.2917648)
5229154580,1.291564,103.7828581,1,,,POINT (103.7828581 1.291564)
5229154587,1.2910678,103.7806707,3,,,POINT (103.7806707 1.2910678)
5229188372,1.2962051,103.7786836,3,,,POINT (103.7786836 1.2962051)
5229188376,1.2957291,103.7782677,1,,,POINT (103.7782677 1.2957291)
5229188380,1.295024,103.7822509,3,,,POINT (103.7822509 1.295024)
5229188386,1.2955337,103.7823229,3,,,POINT (103.7823229 1.2955337)
5229188389,1.2953087,103.782498,3,,,POINT (103.782498 1.2953087)
5229188396,1.294136,103.7845017,3,,,POINT (103.7845017 1.294136)
5229188397,1.2940108,103.7841778,3,,,POINT (103.7841778 1.2940108)
5229188401,1.293874,103.7839956,3,,,POINT (103.7839956 1.293874)
5229189024,1.2949311,103.7837123,3,,,POINT (103.7837123 1.2949311)
5230843088,1.3016568,103.7740521,3,,,POINT (103.7740521 1.3016568)
5230843089,1.3011605,103.7738769,3,,,POINT (103.7738769 1.3011605)
5230843101,1.297299,103.7763786,1,,,POINT (103.7763786 1.297299)
5231086234,1.2952069,103.7836318,1,,,POINT (103.7836318 1.2952069)
5239711167,1.2964469,103.7831846,3,,,POINT (103.7831846 1.2964469)
5239711177,1.2981321,103.7808595,3,,,POINT (103.7808595 1.2981321)
5243861886,1.2996011,103.7733141,1,,,POINT (103.7733141 1.2996011)
5243866722,1.2970217,103.7723904,3,,,POINT (103.7723904 1.2970217)
5243866726,1.2967551,103.7721642,3,,,POINT (103.7721642 1.2967551)
5243866727,1.2967309,103.7722677,3,,,POINT (103.7722677 1.2967309)
5243866757,1.2980779,103.7719078,3,,,POINT (103.7719078 1.2980779)
5243866758,1.2980175,103.7719695,3,,,POINT (103.7719695 1.2980175)
5243866761,1.2979089,103.7721492,3,,,POINT (103.7721492 1.2979089)
5243866776,1.2905259,103.7809196,4,,,POINT (103.7809196 1.2905259)
5243866777,1.2905083,103.7811058,4,,,POINT (103.7811058 1.2905083)
5243866778,1.2904699,103.7813105,3,,,POINT (103.7813105 1.2904699)
5243866780,1.2906058,103.7811326,5,,,POINT (103.7811326 1.2906058)
5243866781,1.2905167,103.7810166,3,,,POINT (103.7810166 1.2905167)
5254518678,1.2983152,103.7748346,1,,,POINT (103.7748346 1.2983152)
5254518689,1.2990861,103.774839,4,,,POINT (103.774839 1.2990861)
5258691443,1.2962376,103.7803058,1,,,POINT (103.7803058 1.2962376)
5278616160,1.2923441,103.7741497,3,,,POINT (103.7741497 1.2923441)
5280017357,1.2983289,103.7741951,1,,,POINT (103.7741951 1.2983289)
5280696959,1.2902065,103.7802548,3,,,POINT (103.7802548 1.2902065)
5280696960,1.2902109,103.7802396,3,,,POINT (103.7802396 1.2902109)
5282591084,1.2901455,103.7802449,3,,,POINT (103.7802449 1.2901455)
5282980941,1.2988189,103.7741424,3,,,POINT (103.7741424 1.2988189)
5282980943,1.2988863,103.7742807,3,,,POINT (103.7742807 1.2988863)
5303901191,1.3005768,103.7755613,3,,,POINT (103.7755613 1.3005768)
5303901192,1.3005122,103.7757711,1,turning_loop,,POINT (103.7757711 1.3005122)
5686567316,1.2957532,103.7724768,1,,,POINT (103.7724768 1.2957532)
5686604066,1.2940906,103.7845082,4,,,POINT (103.7845082 1.2940906)
5754228582,1.2909627,103.7763995,1,,,POINT (103.7763995 1.2909627)
5754228583,1.2909366,103.7762716,3,,,POINT (103.7762716 1.2909366)
5754228584,1.2907187,103.7771049,1,,,POINT (103.7771049 1.2907187)
5754228585,1.290655,103.776834,3,,,POINT (103.776834 1.290655)
5754228588,1.2915241,103.7765057,3,,,POINT (103.7765057 1.2915241)
5754228589,1.2916532,103.776481,3,,,POINT (103.776481 1.2916532)
5754228593,1.2913676,103.7763458,1,,,POINT (103.7763458 1.2913676)
5792709227,1.2973236,103.7735599,3,,,POINT (103.7735599 1.2973236)
5792709229,1.2971775,103.7730012,3,,,POINT (103.7730012 1.2971775)
5792783411,1.2967202,103.7729992,1,,,POINT (103.7729992 1.2967202)
5792783415,1.2966473,103.7727908,3,,,POINT (103.7727908 1.2966473)
5792783416,1.2967104,103.7727781,3,,,POINT (103.7727781 1.2967104)
5911559026,1.300758,103.7708212,3,,,POINT (103.7708212 1.300758)
5911559027,1.3007368,103.7708792,3,,,POINT (103.7708792 1.3007368)
5936483037,1.2964256,103.7804017,1,,,POINT (103.7804017 1.2964256)
5936483038,1.2963208,103.7802386,1,,,POINT (103.7802386 1.2963208)
5936493260,1.2948072,103.7736946,1,,,POINT (103.7736946 1.2948072)
5936493263,1.2955902,103.7733204,1,,,POINT (103.7733204 1.2955902)
5936493264,1.2956898,103.7735037,3,,,POINT (103.7735037 1.2956898)
5936493265,1.2964551,103.7723504,4,,,POINT (103.7723504 1.2964551)
5936493267,1.2963482,103.7727331,1,,,POINT (103.7727331 1.2963482)
5936493268,1.2964247,103.7723792,3,,,POINT (103.7723792 1.2964247)
5936493269,1.2962424,103.7722213,1,,,POINT (103.7722213 1.2962424)
5936501309,1.297073,103.7700838,1,,,POINT (103.7700838 1.297073)
5936501312,1.2965299,103.7706304,1,,,POINT (103.7706304 1.2965299)
5936501315,1.2991024,103.7745589,4,,,POINT (103.7745589 1.2991024)
5936501316,1.2988479,103.774349,3,,,POINT (103.774349 1.2988479)
6056332017,1.2970679,103.7702178,3,,,POINT (103.7702178 1.2970679)
6056408613,1.2997326,103.7726712,1,,,POINT (103.7726712 1.2997326)
6056408618,1.300151,103.7723136,3,,,POINT (103.7723136 1.300151)
6056408619,1.3012343,103.7745836,3,,,POINT (103.7745836 1.3012343)
6056446431,1.2960739,103.7836838,3,,,POINT (103.7836838 1.2960739)
