element_type,osmid,nodes,building,geometry,name,building:levels,amenity,healthcare,leisure,sport,building:use
way,862888791,"[8038571209, 8038571208, 8038571207, 8038571206, 8038571209]",yes,"POLYGON ((121.4105907 31.1603448, 121.4111093 31.1604238, 121.4111271 31.1603379, 121.4106086 31.160259, 121.4105907 31.1603448))",,,,,,,
way,862888793,"[8038571225, 8038571224, 8038571223, 8038571222, 8038571225]",yes,"POLYGON ((121.4106309 31.1601061, 121.4110681 31.1601727, 121.4110895 31.16007, 121.4106523 31.1600035, 121.4106309 31.1601061))",,,,,,,
way,862888794,"[8038571229, 8038571228, 8038571227, 8038571226, 8038571231, 8038571230, 8038571233, 8038571232, 8038571229]",apartments,"POLYGON ((121.4100659 31.1601309, 121.4104938 31.1602332, 121.4105285 31.1601269, 121.4101006 31.1600246, 121.4100898 31.1600576, 121.4099075 31.160014, 121.4098713 31.1601246, 121.4100537 31.1601682, 121.4100659 31.1601309))",,,,,,,
way,862888795,"[8038571237, 8038571236, 8038571235, 8038571234, 8038571237]",apartments,"POLYGON ((121.4091076 31.1599775, 121.4097191 31.1601014, 121.4097622 31.1599459, 121.4091506 31.1598219, 121.4091076 31.1599775))",,,,,,,
way,862888799,"[8038571259, 8038571258, 8038571257, 8038571256, 8038571254, 8038571253, 8038571252, 8038571255, 8038571259]",yes,"POLYGON ((121.4089251 31.1634341, 121.4093088 31.1634835, 121.4093623 31.1631794, 121.4089785 31.16313, 121.4089613 31.1632278, 121.4090814 31.1632432, 121.4090628 31.1633488, 121.4089428 31.1633334, 121.4089251 31.1634341))",,,,,,,
way,863132640,"[8040762647, 8040762650, 8040762649, 8040762651, 8040762648, 8040762654, 8040762653, 8040762652, 8040762647]",yes,"POLYGON ((121.4176876 31.163127, 121.4176878 31.1630967, 121.4173964 31.1630949, 121.4173955 31.1632, 121.4176269 31.1632015, 121.4176261 31.163285, 121.4183557 31.1632895, 121.4183571 31.1631312, 121.4176876 31.163127))",上海师范大学第三教学楼,,,,,,
way,863132641,"[8040762655, 8040762660, 8040762661, 8040762662, 8040762656, 8040762659, 8040762657, 8040762658, 8040762655]",yes,"POLYGON ((121.4183673 31.1627947, 121.4183664 31.1627226, 121.4179624 31.1627263, 121.4179641 31.1628603, 121.41832 31.1628571, 121.4183208 31.1629246, 121.4184646 31.1629233, 121.418463 31.1627938, 121.4183673 31.1627947))",,,,,,,
way,863132642,"[8040762670, 8040762669, 8040762668, 8040762667, 8040762666, 8040762665, 8040762664, 8040762663, 8040762670]",yes,"POLYGON ((121.41702 31.1618551, 121.4172004 31.1618286, 121.4173216 31.1618287, 121.417467 31.1618574, 121.4174961 31.1617495, 121.4173217 31.1617151, 121.4171776 31.161715, 121.4169972 31.1617415, 121.41702 31.1618551))",,,,,,,
way,863132643,"[8040762678, 8040762675, 8040762673, 8040762671, 8040762672, 8040762674, 8040762676, 8040762677, 8040762678]",yes,"POLYGON ((121.4170267 31.1615865, 121.4172071 31.16156, 121.4173283 31.1615601, 121.4174737 31.1615888, 121.4175028 31.1614809, 121.4173284 31.1614465, 121.4171843 31.1614464, 121.4170039 31.1614729, 121.4170267 31.1615865))",,,,,,,
way,863132644,"[8040762684, 8040762688, 8040762690, 8040762693, 8040762692, 8040762695, 8040762694, 8040762691, 8040762689, 8040762680, 8040762681, 8040762679, 8040762682, 8040762683, 8040762687, 8040762686, 8040762685, 8040762684]",yes,"POLYGON ((121.4165896 31.1631769, 121.4165825 31.1633706, 121.416131 31.1633584, 121.4161328 31.1633101, 121.4157063 31.1632987, 121.4157003 31.1634617, 121.4161268 31.1634732, 121.4161281 31.1634386, 121.416793 31.1634565, 121.4167977 31.1633272, 121.4166782 31.163324, 121.4166836 31.1631794, 121.4167175 31.1631803, 121.4167202 31.1631055, 121.4166942 31.1631048, 121.416556 31.163101, 121.4165533 31.1631759, 121.4165896 31.1631769))",,,,,,,
