element_type,osmid,amenity,geometry,name,building,nodes,layer,operator,residential,healthcare,healthcare:speciality,operator:type,building:levels,tourism,brand,brand:en,brand:wikidata,brand:wikipedia,brand:zh,name:en,name:zh,operator:en,operator:wikidata,operator:wikipedia,operator:zh,shop,addr:housenumber,addr:place,height,leisure,level,sport,frequency,power,voltage,ways,type,highway
way,104634497,,"POLYGON ((114.4028681 30.5128025, 114.4029646 30.5128158, 114.4029949 30.5126514, 114.4036565 30.5127427, 114.4036889 30.5125667, 114.4028519 30.5124512, 114.4028328 30.5125548, 114.4029117 30.5125657, 114.4028681 30.5128025))",西三楼,yes,"[1206981567, 1206981511, 1206981556, 1206981523, 1206981527, 1206981475, 9435865366, 9435865365, 1206981567]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104634498,public_building,"POLYGON ((114.4033894 30.5138329, 114.403781 30.513893, 114.4038159 30.5137174, 114.4034243 30.5136596, 114.4033894 30.5138329))",西四楼,yes,"[1206981449, 1206981451, 1206981467, 1206981532, 1206981449]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635018,public_building,"POLYGON ((114.4037609 30.5134493, 114.4041743 30.5135059, 114.4041939 30.5133985, 114.4039067 30.5133592, 114.403912 30.5133301, 114.4037858 30.5133128, 114.4037609 30.5134493))",水利机械楼,yes,"[1206993277, 1206993273, 1206993280, 1206993278, 1206993254, 1206993281, 1206993277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635023,library,"POLYGON ((114.4056893 30.5143824, 114.405459 30.5144006, 114.405449 30.5143002, 114.4056929 30.5142819, 114.4056967 30.5143195, 114.4058928 30.5143049, 114.4058835 30.5142121, 114.4061221 30.5141942, 114.4061305 30.5142787, 114.4063374 30.5142632, 114.4063338 30.5142276, 114.4065787 30.5142093, 114.4065889 30.5143115, 114.4063583 30.5143297, 114.4063618 30.5143629, 114.4061448 30.51438, 114.406141 30.5143439, 114.4058947 30.5143633, 114.4058985 30.5143994, 114.4056927 30.5144156, 114.4056893 30.5143824))",主校区图书馆老馆,yes,"[1206993250, 1206993238, 1143780521, 1206993279, 1206993239, 1206993240, 1143780501, 1143780497, 1206993261, 1206993267, 1206993262, 1143780529, 1206993243, 1206993268, 9435865312, 9435865309, 9435865308, 9435865307, 9435865310, 9435865311, 1206993250]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635024,library,"POLYGON ((114.4057326 30.5153173, 114.4057175 30.5151671, 114.4060395 30.5151429, 114.4060162 30.5149107, 114.4056969 30.5149346, 114.4056821 30.5147868, 114.4065113 30.5147246, 114.4065644 30.5152549, 114.4057326 30.5153173))",主校区图书馆新馆 逸夫图书馆,yes,"[1143780463, 1206993259, 1206993253, 1206993271, 1206993272, 1143780508, 1143780522, 1143780507, 1143780463]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635259,,"POLYGON ((114.4087723 30.513943, 114.408743 30.5137192, 114.4088488 30.5137088, 114.4088782 30.5139326, 114.4087723 30.513943))",,yes,"[1207005248, 1207005153, 1207005082, 1207005246, 1207005248]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635261,,"POLYGON ((114.4081246 30.5142663, 114.4081107 30.5141409, 114.4086553 30.5140963, 114.4086691 30.5142217, 114.4081246 30.5142663))",师生服务中心,yes,"[1207005142, 1207005182, 1207005159, 1207005186, 1207005142]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635265,,"POLYGON ((114.4073287 30.514103, 114.407742 30.514066, 114.4077151 30.5138207, 114.4086044 30.5137412, 114.4085876 30.5135879, 114.407285 30.5137044, 114.4073287 30.514103))",校史馆,yes,"[1207005138, 1207005207, 1207005080, 1207005247, 1207005208, 1207005143, 1207005138]",,华中科技大学,,,,,,museum,,,,,,,,,,,,,,,,,,,,,,,,
way,104635266,,"POLYGON ((114.4073816 30.5143324, 114.4073674 30.5142036, 114.4078885 30.5141608, 114.4079027 30.5142896, 114.4073816 30.5143324))",,yes,"[1207005214, 1207005230, 1207005060, 1207005081, 1207005214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104635273,,"POLYGON ((114.4083009 30.5139859, 114.4082883 30.5138684, 114.4086068 30.5138431, 114.4086194 30.5139605, 114.4083009 30.5139859))",,yes,"[1207005155, 1207005245, 1207005232, 1207005156, 1207005155]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104778735,,"POLYGON ((114.4158244 30.5150686, 114.4158286 30.5151057, 114.4165429 30.5150449, 114.4165397 30.5150162, 114.416603 30.5150108, 114.416597 30.514958, 114.4163895 30.5149757, 114.4163916 30.5149944, 114.4160353 30.5150247, 114.4160313 30.5149891, 114.4158231 30.5150068, 114.4158159 30.5149436, 114.416433 30.514891, 114.4164303 30.5148677, 114.4165337 30.5148589, 114.4165316 30.5148398, 114.4167109 30.5148245, 114.4167034 30.5147586, 114.4166999 30.5147281, 114.4164165 30.5147522, 114.4164203 30.5147857, 114.415803 30.5148383, 114.415732 30.5148443, 114.4157581 30.5150743, 114.4158244 30.5150686))",材料学院,yes,"[9435866234, 1208579973, 1208579954, 9435866232, 9435866238, 9435866237, 9435866236, 9435866233, 1208579982, 1208579978, 9435866235, 9435866248, 9435866247, 9435866246, 9435866245, 9435866240, 9435866239, 9435866241, 9435866242, 9435866243, 9435866244, 9435866249, 9435866250, 9435866251, 9435866234]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104778738,,"POLYGON ((114.4156441 30.5145311, 114.4156635 30.5146921, 114.4160852 30.5146541, 114.4160922 30.514713, 114.4162555 30.5146983, 114.416246 30.5146196, 114.416598 30.5145878, 114.4165826 30.5144605, 114.4162545 30.5144901, 114.4162528 30.514476, 114.4160116 30.5144977, 114.4160116 30.5144979, 114.4156441 30.5145311))",动力机械与内燃机实验室,yes,"[1208579958, 1208579975, 1208579971, 9435866257, 9435866258, 9435866253, 1208579981, 1208580000, 9435866252, 9435866256, 9435866255, 9435866254, 1208579958]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105245999,,"POLYGON ((114.4039016 30.5164682, 114.4036239 30.5164891, 114.4036383 30.5166334, 114.4039161 30.5166125, 114.4039117 30.5165682, 114.4044471 30.516528, 114.4044504 30.5165607, 114.4047282 30.5165398, 114.4047237 30.5164954, 114.4047137 30.5163956, 114.4044432 30.5164159, 114.4044414 30.5163984, 114.4038987 30.5164392, 114.4039016 30.5164682))",西七舍,residential,"[1212896373, 1212896379, 1212896375, 1212896361, 9435865574, 9435865566, 9435865568, 9435865569, 9435865570, 9435865571, 9435865567, 9435865572, 9435865573, 1212896373]",,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105246000,,"POLYGON ((114.4006961 30.5170809, 114.4007206 30.5169486, 114.4014032 30.5170432, 114.4013788 30.5171755, 114.4006961 30.5170809))",西一舍,residential,"[1212896377, 1212896359, 1212896366, 1212896351, 1212896377]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105246001,,"POLYGON ((114.399971 30.516969, 114.3999962 30.5168393, 114.4006166 30.5169295, 114.4005915 30.5170593, 114.399971 30.516969))",西三舍,residential,"[1212896364, 1212896353, 1212896357, 1212896365, 1212896364]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105246710,,"POLYGON ((114.3990748 30.5172644, 114.3994013 30.5173149, 114.3993806 30.5174153, 114.3990541 30.5173648, 114.3990748 30.5172644))",厨工宿舍,yes,"[1212905996, 1212905968, 1212905974, 1212905972, 1212905996]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105246712,,"POLYGON ((114.4006298 30.5173769, 114.4012959 30.5174811, 114.4012679 30.517615, 114.4006018 30.5175108, 114.4006298 30.5173769))",西二舍,residential,"[1212905970, 1212905969, 1212905958, 1212905953, 1212905970]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105246714,,"POLYGON ((114.4014657 30.5166335, 114.4015628 30.5161367, 114.4018632 30.5161875, 114.4017935 30.5165757, 114.401705 30.5165618, 114.4016849 30.5166657, 114.4014657 30.5166335))",锅炉房,yes,"[1212905956, 1212905990, 1212905989, 1212905954, 1212905962, 1212905963, 1212905956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105246720,,"POLYGON ((114.399661 30.5172393, 114.399878 30.5172716, 114.3998684 30.5173201, 114.4002779 30.517381, 114.4002881 30.5173296, 114.4005253 30.5173649, 114.4005039 30.5174731, 114.4003306 30.5174473, 114.4003035 30.5175839, 114.4001819 30.5175658, 114.4001979 30.5174853, 114.3999 30.517441, 114.399884 30.5175215, 114.3997696 30.5175045, 114.399794 30.5173813, 114.3996375 30.517358, 114.399661 30.5172393))",西四舍,residential,"[1212905993, 1212905967, 1212905982, 1212905994, 1212905979, 1212905981, 1212905975, 1212905973, 1212905983, 9435865477, 9435865476, 9435865475, 9435865478, 1212905988, 1212905986, 1212905955, 1212905993]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105248531,public_building,"POLYGON ((114.4039365 30.512104, 114.4047233 30.5122116, 114.4046939 30.5123729, 114.4039071 30.5122654, 114.4039365 30.512104))",西六楼,yes,"[1212907130, 1212907137, 1212907140, 1212907134, 1212907130]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105248630,public_building,"POLYGON ((114.4040649 30.511983, 114.4045627 30.512059, 114.4046007 30.5118722, 114.4041029 30.5117962, 114.4040649 30.511983))",结构楼,yes,"[1212908167, 1212908155, 1212908168, 1212908159, 1212908167]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105248631,,"POLYGON ((114.4032001 30.5119923, 114.4032099 30.51194, 114.4030186 30.5119132, 114.4030263 30.5118721, 114.402982 30.5118659, 114.403003 30.5117542, 114.4035248 30.5118274, 114.4035181 30.5118632, 114.4036148 30.5118768, 114.4036197 30.5118507, 114.4037839 30.5118737, 114.4037394 30.5121114, 114.4032416 30.5120416, 114.4032001 30.5119923))",动模实验室,yes,"[9435865383, 1212908154, 1212908172, 9435865380, 9435865379, 1212908166, 9435865382, 9435865381, 9435865372, 9435865371, 1212908181, 1212908169, 9435865384, 9435865383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249136,,"POLYGON ((114.4001893 30.5135504, 114.4005512 30.5135978, 114.4005579 30.5135593, 114.4006368 30.5135697, 114.4006143 30.5136987, 114.4001735 30.513641, 114.4001893 30.5135504))",压缩机实验室,yes,"[1212911121, 1212911136, 1212911141, 1212911143, 1212911147, 1212911126, 1212911121]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249137,public_building,"POLYGON ((114.4001895 30.5135298, 114.4003011 30.5135443, 114.4003214 30.5134281, 114.400676 30.5134744, 114.4007035 30.5133163, 114.4002374 30.5132553, 114.4001895 30.5135298))",西七楼,yes,"[1212911124, 1212911119, 1212911135, 1212911137, 1212911152, 1212911128, 1212911124]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249142,public_building,"POLYGON ((114.3991704 30.5136804, 114.3995754 30.5137428, 114.3995566 30.5138028, 114.3996291 30.5138213, 114.399613 30.5138883, 114.3991221 30.513819, 114.3991704 30.5136804))",西十楼,yes,"[1212911402, 1212911408, 1212911400, 1212911412, 1212911401, 1212911410, 1212911402]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249245,,"POLYGON ((114.3993655 30.5132756, 114.3993871 30.5131629, 114.399807 30.5132233, 114.3998139 30.5131871, 114.3999034 30.5131999, 114.3998748 30.5133489, 114.3993655 30.5132756))",热态实验室,yes,"[1212912526, 1212912528, 9435865454, 9435865453, 1212912529, 1212912522, 1212912526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249246,,"POLYGON ((114.4028137 30.5166466, 114.4033636 30.5166027, 114.4033743 30.5167089, 114.402825 30.5167568, 114.4028137 30.5166466))",西十七舍,residential,"[1212912524, 1212912530, 1212912531, 1212912521, 1212912524]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249247,,"POLYGON ((114.4020723 30.5167225, 114.4027484 30.5166655, 114.4027594 30.5167635, 114.4020833 30.5168205, 114.4020723 30.5167225))",西十二舍,residential,"[1212912523, 1212912520, 1212912525, 1212912527, 1212912523]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249309,,"POLYGON ((114.402747 30.5160672, 114.4029994 30.5160474, 114.4030021 30.5160727, 114.4033084 30.5160486, 114.4033264 30.5162199, 114.4032337 30.5162272, 114.4032267 30.5161606, 114.4028365 30.5161913, 114.4028434 30.516258, 114.4027676 30.5162639, 114.402747 30.5160672))",西十五舍,residential,"[1212913183, 1212913169, 1212913173, 1212913176, 1212913177, 9435865530, 9435865529, 9435865528, 9435865531, 1212913178, 1212913183]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249310,,"POLYGON ((114.4021184 30.5164087, 114.402717 30.516356, 114.4027305 30.5164707, 114.4021319 30.5165234, 114.4021184 30.5164087))",西十三舍,residential,"[1212913174, 1212913175, 1212913180, 1212913179, 1212913174]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249311,,"POLYGON ((114.4027761 30.5163332, 114.4033299 30.5162876, 114.4033444 30.5164187, 114.4027905 30.5164644, 114.4027761 30.5163332))",西十六舍,residential,"[9435865537, 9435865536, 1212913172, 1212913186, 9435865537]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
