element_type,osmid,amenity,geometry,name,building,nodes,layer,operator,residential,healthcare,healthcare:speciality,operator:type,building:levels,tourism,brand,brand:en,brand:wikidata,brand:wikipedia,brand:zh,name:en,name:zh,operator:en,operator:wikidata,operator:wikipedia,operator:zh,shop,addr:housenumber,addr:place,height,leisure,level,sport,frequency,power,voltage,ways,type,highway
node,9366842959,,POINT (114.4075897 30.5217169),瑜伽草堂,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9366842960,,POINT (114.4131835 30.521424),喻家山微波站看护点,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98865822,,"POLYGON ((114.4291071 30.5145306, 114.4290404 30.5139558, 114.4299661 30.5138762, 114.4300327 30.514451, 114.4291071 30.5145306))",脉冲强磁场实验室,yes,"[1143750593, 1143750567, 1143750578, 1143750550, 1143750593]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98865824,public_building,"POLYGON ((114.4313842 30.5156983, 114.4312714 30.5147315, 114.4316513 30.5146986, 114.4316831 30.5149716, 114.4315322 30.5149846, 114.4315494 30.5151318, 114.4318914 30.5151022, 114.4319133 30.5152904, 114.4316396 30.5153141, 114.4316453 30.5153624, 114.4316166 30.515374, 114.4316311 30.5154978, 114.4320646 30.5154602, 114.4320853 30.5156376, 114.4313842 30.5156983))",工程实训中心,yes,"[1143750565, 1143750605, 1143750536, 1143750610, 1143750576, 1143750572, 1143750599, 1143750580, 1143750533, 10732676969, 10732676970, 1143750566, 1143750541, 1143750609, 1143750565]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98865829,public_building,"POLYGON ((114.4300144 30.5149332, 114.4299886 30.5146812, 114.430686 30.5146257, 114.4307248 30.514894, 114.4310887 30.5148622, 114.4311271 30.5150795, 114.4302246 30.5151429, 114.4301958 30.514929, 114.4300144 30.5149332))",环境学院,yes,"[1143750539, 1143750584, 1143750551, 1143750579, 1143750588, 1143750595, 1143750538, 1143750597, 1143750539]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98867867,,"POLYGON ((114.4198238 30.5138336, 114.4193345 30.5125512, 114.4197454 30.5125494, 114.4198864 30.5129236, 114.4195333 30.5129251, 114.4195873 30.513074, 114.4199351 30.5130725, 114.4199954 30.5132289, 114.4196359 30.5132304, 114.4196908 30.5133776, 114.4200515 30.5133761, 114.4201116 30.5135331, 114.4197517 30.5135346, 114.419807 30.5136779, 114.4201729 30.5136764, 114.4201728 30.5136923, 114.4203206 30.5136917, 114.4203219 30.5123535, 114.4208346 30.5123428, 114.4208342 30.5126349, 114.4203639 30.5126447, 114.4203643 30.512849, 114.42098 30.5128362, 114.4209798 30.5130328, 114.4203647 30.5130457, 114.4203652 30.5132673, 114.4210665 30.5132526, 114.4210664 30.5134371, 114.4203656 30.5134518, 114.4203658 30.5135204, 114.4208203 30.5135109, 114.4208202 30.5136728, 114.4212513 30.5136638, 114.4212511 30.5138211, 114.4208452 30.5138296, 114.420845 30.5140355, 114.4203202 30.5140465, 114.4203205 30.5137737, 114.4201736 30.5137743, 114.4201735 30.513916, 114.4199319 30.5139191, 114.4199319 30.5138342, 114.4198238 30.5138336))",武汉光电国家研究中心,yes,"[1143771031, 1143771389, 1143771231, 1143771410, 1143771396, 1143770994, 1143771320, 1143771101, 1143771334, 1143771217, 1143771097, 1143771329, 1143771295, 1143771234, 1143771294, 1143771237, 9438953502, 1143771226, 1143771163, 1143771188, 1143771145, 1143771059, 1143771181, 1143771014, 1143771117, 1143771102, 1143771061, 1143771239, 1143771190, 1143771184, 9438953498, 9438953497, 1143771159, 1143771305, 1143771346, 1143771124, 1143771066, 1143771129, 9438953499, 1143771186, 9438953501, 9438953500, 1143771031]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98867881,public_building,"POLYGON ((114.427219 30.5132304, 114.4272062 30.513117, 114.4274218 30.513099, 114.4274156 30.513043, 114.4282738 30.5129715, 114.42828 30.5130275, 114.4283178 30.5130243, 114.4283205 30.5130241, 114.4283332 30.5131375, 114.4283306 30.5131378, 114.427219 30.5132304))",生命科学学院,yes,"[1143771313, 1143771312, 9438953522, 9438953521, 9438953520, 9438953523, 1143771205, 9438953525, 9438953524, 1143771413, 1143771313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98868030,,"POLYGON ((114.4097677 30.518155, 114.4097451 30.5179679, 114.4102876 30.5179193, 114.4102521 30.5176258, 114.4112063 30.5175403, 114.411242 30.5178361, 114.4116885 30.517796, 114.4117109 30.5179809, 114.4111678 30.5180296, 114.4111488 30.5178702, 114.410377 30.5179393, 114.4103961 30.5180987, 114.4097677 30.518155))",管理学院,yes,"[1143773838, 1143773832, 9337270849, 9337270850, 9337270851, 1143773845, 1143773817, 1193915331, 9435865951, 9435865950, 9435865949, 9435865952, 1143773838]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98868568,,"POLYGON ((114.4080538 30.5167479, 114.4080317 30.5165333, 114.4084227 30.5165077, 114.4085095 30.5165065, 114.4086061 30.5165204, 114.4086831 30.5165542, 114.4087475 30.5165953, 114.4087985 30.5166388, 114.4088396 30.51669, 114.4088706 30.5167543, 114.4088824 30.5168132, 114.4089151 30.5171164, 114.408611 30.5171392, 114.408595 30.5169836, 114.4087204 30.5169742, 114.4087079 30.5168279, 114.4086869 30.5167542, 114.4086217 30.5166883, 114.4085325 30.51665, 114.4084352 30.5166406, 114.4081957 30.516657, 114.4082046 30.5167366, 114.4080538 30.5167479))",大学生活动中心,yes,"[1143780499, 1143780477, 1143780489, 9435865274, 1186768318, 9435865273, 1186768356, 9435865272, 9435865275, 9435865271, 1143780581, 1143780544, 1143780577, 1186768383, 1143780488, 1186768333, 9435865276, 1186768327, 9435865277, 1186768391, 1186768316, 1143780525, 1143780499]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98868572,public_building,"POLYGON ((114.4062677 30.5164221, 114.4062495 30.5162574, 114.4068275 30.51621, 114.4067962 30.5159263, 114.4065528 30.5159463, 114.4065647 30.5160542, 114.4062283 30.5160818, 114.4061977 30.5158054, 114.4069051 30.5157474, 114.4069538 30.5161885, 114.4069826 30.5161861, 114.407002 30.5163619, 114.4062677 30.5164221))",科技楼,yes,"[1143780494, 1186768353, 1186768324, 1186768336, 1186768329, 1186768305, 1186768332, 1143780484, 1143780541, 1186768298, 1186768393, 1143780538, 1143780494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98869006,,"POLYGON ((114.4068969 30.5124771, 114.406885 30.5123744, 114.4068813 30.5123424, 114.4068743 30.5122829, 114.4070641 30.5122664, 114.4070736 30.512348, 114.4072769 30.5123302, 114.4072231 30.5118675, 114.4070165 30.5118855, 114.4070222 30.5119351, 114.4068393 30.5119511, 114.4068168 30.5117579, 114.4070028 30.5117417, 114.4070086 30.5117922, 114.407323 30.5117647, 114.4073546 30.5120357, 114.4075547 30.5120182, 114.4075491 30.5119707, 114.4085292 30.5118852, 114.4085347 30.5119317, 114.4087424 30.5119136, 114.4087098 30.5116335, 114.4090161 30.5116067, 114.4090118 30.5115692, 114.4092052 30.5115523, 114.4092309 30.5117733, 114.4090407 30.5117899, 114.409032 30.5117149, 114.4088445 30.5117313, 114.4088678 30.5119318, 114.4088948 30.5121639, 114.4090856 30.5121473, 114.4090798 30.5120976, 114.409267 30.5120813, 114.4092914 30.5122903, 114.4090983 30.5123072, 114.4090898 30.5122335, 114.4087856 30.5122601, 114.4087561 30.5120058, 114.4073629 30.5121278, 114.4073957 30.5124091, 114.407084 30.5124363, 114.4070868 30.5124606, 114.4068969 30.5124771))",南一楼,yes,"[6363882783, 6363882739, 6363882735, 6363882742, 1198346423, 1198346450, 1198346453, 1198346462, 1198346438, 1198346463, 1198346425, 1143784013, 9442093341, 9442093340, 1143784004, 1143784007, 1198346473, 1198346449, 1198346443, 1198346429, 1143784028, 1143784012, 1198346428, 1198346437, 1143784036, 1198346461, 1198346452, 9442093342, 1198346444, 9230058748, 1198346479, 1198346467, 1198346457, 1198346432, 1143784010, 1198346456, 1198346447, 1143784014, 1198346427, 1198346466, 1198346464, 6363882781, 6363882782, 6363882783]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98869012,,"POLYGON ((114.4049201 30.5111423, 114.4049696 30.5111385, 114.4049751 30.5111925, 114.4051134 30.5111819, 114.4051147 30.5111938, 114.4052884 30.5111805, 114.4052825 30.5111227, 114.4054753 30.5111079, 114.4054839 30.5111917, 114.4053158 30.5112046, 114.4053242 30.5112866, 114.4054895 30.5112739, 114.4054953 30.5113302, 114.4053304 30.5113429, 114.4053358 30.511396, 114.4050788 30.5114157, 114.4050646 30.5112767, 114.4049349 30.5112867, 114.4049627 30.5115585, 114.4050348 30.5115529, 114.4050395 30.5115992, 114.4056094 30.5115554, 114.4056047 30.5115092, 114.4058281 30.5114921, 114.405816 30.5113737, 114.405562 30.5113932, 114.4055575 30.5113493, 114.405729 30.5113362, 114.4057185 30.5112343, 114.4055419 30.5112478, 114.4055364 30.5111942, 114.4057131 30.5111806, 114.4057026 30.5110784, 114.4054267 30.5108993, 114.4048992 30.5109397, 114.4049201 30.5111423))",南四楼,yes,"[9435865344, 9435865332, 9435865330, 9435865329, 9435865326, 9435865318, 9435865317, 9435865325, 9435865319, 9435865320, 9435865324, 9435865322, 9435865321, 9435865323, 9435865331, 9435865327, 9435865328, 9435865333, 1143783987, 9435865348, 9435865345, 9435865346, 9435865347, 1143783999, 9435865342, 9435865341, 9435865339, 9435865340, 9435865338, 9435865336, 9435865335, 9435865337, 1143783998, 9435865334, 9435865343, 9435865344]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98869014,,"POLYGON ((114.4037896 30.5129711, 114.4038143 30.5128441, 114.4040464 30.5128779, 114.404076 30.5127255, 114.4041591 30.5127376, 114.4041339 30.5128672, 114.4044726 30.5129166, 114.4044795 30.5128814, 114.4046469 30.5129058, 114.4046404 30.5129392, 114.40475 30.5129552, 114.4047205 30.5131068, 114.4037896 30.5129711))",西五楼,yes,"[1143784047, 1143784021, 1143784020, 1143784041, 1143784002, 1206981501, 1143783976, 1143783979, 1143784022, 1143783978, 1143783967, 1143784035, 1143784047]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98869695,,"POLYGON ((114.4133167 30.5178084, 114.4132727 30.5174572, 114.4137808 30.5174095, 114.4138248 30.5177607, 114.4133167 30.5178084))",湖改江泵房水池,yes,"[1143790352, 1143790457, 1143790418, 1143790428, 1143790352]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98869696,,"POLYGON ((114.4054458 30.5163378, 114.405397 30.5158868, 114.4059828 30.5158392, 114.4059966 30.5159663, 114.4055525 30.5160023, 114.4055876 30.5163262, 114.4054458 30.5163378))",档案馆,office,"[1143790332, 1143790329, 1143790366, 1143790448, 1143790438, 1143790450, 1143790332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102751873,,"POLYGON ((114.4075906 30.5160429, 114.407578 30.5158851, 114.407858 30.5158683, 114.4078707 30.5160261, 114.4075906 30.5160429))",出版社印刷厂,yes,"[1186768374, 1186768392, 1186768337, 1186768348, 1186768374]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102751875,,"POLYGON ((114.4090637 30.5171583, 114.4090262 30.5168094, 114.4092327 30.5167909, 114.4092756 30.5171421, 114.4090637 30.5171583))",财务处,office,"[1186768384, 1186768364, 1186768351, 1186768349, 1186768384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103394417,food_court,"POLYGON ((114.4099235 30.5190789, 114.4098689 30.5186336, 114.4100873 30.5186136, 114.4101418 30.5190589, 114.4099235 30.5190789))",,yes,"[1193915334, 1193915328, 1193915356, 1193915343, 1193915334]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103487619,,"POLYGON ((114.4267949 30.5145547, 114.4267806 30.5144383, 114.4271719 30.5144022, 114.4271858 30.5145153, 114.4275478 30.5144819, 114.4275531 30.5145248, 114.4275939 30.514521, 114.4276037 30.5146003, 114.4271198 30.5146449, 114.4271051 30.514526, 114.4267949 30.5145547))",韵苑三栋,residential,"[1194858811, 1194858760, 1194858838, 1194858785, 1194858810, 9438953358, 9438953359, 1194858816, 1194858815, 1194858863, 1194858811]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103487623,,"POLYGON ((114.4268576 30.515076, 114.4268479 30.5149939, 114.4268755 30.5149914, 114.4268704 30.5149485, 114.4276012 30.5148834, 114.4276066 30.5149293, 114.4276393 30.5149264, 114.4276487 30.5150055, 114.4271071 30.5150538, 114.4268576 30.515076))",韵苑四栋,residential,"[1194858847, 9438953363, 9438953362, 1194858796, 1194858843, 9438953364, 9438953365, 1194858861, 11395851441, 1194858847]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103488145,public_building,"POLYGON ((114.4301337 30.5159982, 114.4301283 30.5159404, 114.4300934 30.515915, 114.4300747 30.5157833, 114.430139 30.5157763, 114.430131 30.5156839, 114.4302454 30.5156751, 114.4302463 30.5157093, 114.4304287 30.5156932, 114.4305092 30.5156631, 114.4307077 30.5156516, 114.4307238 30.5157348, 114.4308203 30.5157278, 114.4308364 30.5158803, 114.4307506 30.5158896, 114.4307252 30.51592, 114.4306354 30.5159245, 114.4306239 30.5159477, 114.4304663 30.515952, 114.4304314 30.5159774, 114.4301337 30.5159982))",,yes,"[1194867130, 1194867140, 1194867226, 1194867188, 1194867212, 1194867181, 1194867201, 1194867214, 1194867243, 1194867167, 1194867227, 1194867224, 1194867158, 1194867175, 1194867194, 1194867162, 1194867197, 1194867238, 1194867256, 1194867222, 1194867130]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103488176,public_building,"POLYGON ((114.4251947 30.5156827, 114.4251037 30.5148594, 114.4251603 30.5148547, 114.4252513 30.515678, 114.4251947 30.5156827))",,yes,"[1194870862, 1194870801, 1194870870, 1194870872, 1194870862]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103488178,public_building,"POLYGON ((114.4264266 30.511496, 114.4263844 30.5114803, 114.426351 30.5114531, 114.4263304 30.5114177, 114.4263251 30.5113784, 114.4263357 30.5113399, 114.4263713 30.5112983, 114.4264026 30.5112822, 114.4264379 30.5112813, 114.4264395 30.5112589, 114.4266037 30.511272, 114.4266378 30.5112961, 114.4266402 30.5113334, 114.4265741 30.5113862, 114.4265723 30.5114072, 114.4265667 30.511449, 114.4265347 30.5114774, 114.4264934 30.5114947, 114.4264266 30.511496))",东校区教工活动中心,yes,"[1194870806, 1194870845, 1194870841, 1194870828, 1194870851, 1194870818, 1194870802, 9438953371, 1194870831, 1194870830, 9438953372, 9438953373, 1194870861, 9438953374, 1194870807, 1194870836, 1194870853, 1194870822, 1194870806]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495014,,"POLYGON ((114.4264851 30.5124758, 114.4264742 30.5123875, 114.426505 30.5123847, 114.4265001 30.5123451, 114.4268908 30.5123094, 114.4268845 30.5122584, 114.4268396 30.5122626, 114.4268247 30.5122639, 114.4268152 30.5121866, 114.4270512 30.512165, 114.4270604 30.5122395, 114.4269434 30.5122502, 114.4269498 30.512302, 114.4271174 30.5122867, 114.4271334 30.5124165, 114.4264851 30.5124758))",远程教育与继续教育学院,yes,"[1194980502, 4711139365, 4711139366, 1194980509, 1194980542, 1194980532, 11563319745, 1194980497, 1194980525, 1194980538, 1194980499, 1194980493, 1194980547, 1194980537, 1194980544, 1194980502]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495731,,"POLYGON ((114.4154034 30.5123137, 114.4153478 30.5118224, 114.4154237 30.511816, 114.4154792 30.5123072, 114.4154034 30.5123137))",,public,"[1194992439, 1194992437, 1194992547, 1194992546, 1194992439]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495732,,"POLYGON ((114.4107957 30.5140148, 114.4107358 30.5135098, 114.4112556 30.5134642, 114.4112712 30.5135963, 114.4108511 30.5136332, 114.4108836 30.5139078, 114.4112446 30.5138761, 114.4112536 30.5139522, 114.4113503 30.5139437, 114.4113632 30.5140529, 114.4112084 30.5140665, 114.411198 30.5139794, 114.4107957 30.5140148))",东三楼,yes,"[1194992453, 1194992407, 1194992463, 1194992545, 1194992506, 1194992461, 1194992509, 9364150487, 9364150488, 9364150489, 1194992486, 9364150490, 1194992453]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495733,public_building,"POLYGON ((114.4018507 30.512989, 114.4018629 30.5129253, 114.4020002 30.512945, 114.4020766 30.5125472, 114.4019581 30.5125301, 114.4019733 30.5124508, 114.402409 30.5125135, 114.4023942 30.5125907, 114.4021813 30.5125601, 114.4021703 30.5126176, 114.4021187 30.5128859, 114.4021061 30.5129518, 114.4023176 30.5129822, 114.4023097 30.5130237, 114.4023038 30.5130543, 114.4018507 30.512989))",西二楼,yes,"[1194992512, 1194992427, 1194992396, 1194992392, 1194992404, 1194992516, 1194992503, 1194992504, 1194992469, 1260824448, 1260824461, 1194992587, 1194992428, 1260824449, 1194992484, 1194992512]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495734,public_building,"POLYGON ((114.3995625 30.5158312, 114.3995762 30.5157244, 114.3999295 30.5157586, 114.3999158 30.5158653, 114.3995625 30.5158312))",西八楼,yes,"[1194992366, 1194992436, 1194992538, 1194992530, 1194992366]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495735,public_building,"POLYGON ((114.4010049 30.5167621, 114.4010549 30.5164301, 114.4013242 30.5164625, 114.4012705 30.5167975, 114.4010049 30.5167621))",学生澡堂,yes,"[1194992490, 1194992581, 1194992399, 1194992403, 1194992490]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495738,restaurant,"POLYGON ((114.3992622 30.5164915, 114.3992829 30.5163257, 114.3993621 30.5163331, 114.3993777 30.5162074, 114.3992986 30.5162, 114.3993224 30.5160083, 114.3998157 30.5160543, 114.3998026 30.5161592, 114.3998328 30.516162, 114.3998012 30.5164156, 114.3998202 30.5164174, 114.3998072 30.5165212, 114.399732 30.5165142, 114.3997294 30.5165352, 114.3992622 30.5164915))",西二食堂,yes,"[1194992543, 9435865463, 9435865461, 9435865460, 9435865462, 1194992525, 1194992450, 9435865459, 9435865458, 9435865467, 9435865466, 1194992438, 9435865464, 9435865465, 1194992543]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495739,,"POLYGON ((114.4000984 30.5160789, 114.4001286 30.5158843, 114.4013054 30.5160281, 114.4012652 30.5162291, 114.4000984 30.5160789))",西六舍,residential,"[1194992536, 1194992380, 1194992487, 1194992528, 1194992536]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495740,public_building,"POLYGON ((114.4018082 30.513633, 114.4018367 30.513472, 114.4023962 30.5135464, 114.4023677 30.5137073, 114.4018082 30.513633))",化学楼,yes,"[1194992480, 1194992370, 1194992431, 1194992432, 1194992480]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495743,shelter,"POLYGON ((114.4119351 30.5126198, 114.4119126 30.512618, 114.4118921 30.5126097, 114.4118761 30.5125959, 114.4118666 30.5125782, 114.411866 30.5125516, 114.4118747 30.5125335, 114.41189 30.5125192, 114.4119124 30.5125096, 114.411935 30.5125078, 114.4119569 30.5125127, 114.4119755 30.5125238, 114.4119886 30.5125398, 114.4119933 30.5125514, 114.4119944 30.5125709, 114.4119876 30.5125896, 114.4119739 30.5126051, 114.4119548 30.5126156, 114.4119351 30.5126198))",醉晚亭,yes,"[1194992601, 1194992521, 1194992549, 1194992558, 1194992552, 1194992565, 1194992382, 1194992363, 1194992561, 1194992519, 1194992535, 1194992597, 1194992571, 1194992369, 1194992576, 1194992388, 1194992564, 1194992376, 1194992601]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495744,,"POLYGON ((114.4156597 30.5126519, 114.4156431 30.5125268, 114.4163987 30.5124524, 114.4164153 30.5125776, 114.4156597 30.5126519))",东九舍,residential,"[1194992475, 1194992562, 1194992445, 1194992471, 1194992475]",,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495746,,"POLYGON ((114.4030927 30.5180354, 114.4030841 30.5179621, 114.4034595 30.5179292, 114.4034681 30.5180025, 114.4030927 30.5180354))",,yes,"[1194992416, 1194992500, 1194992495, 1194992492, 1194992416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495748,,"POLYGON ((114.4153106 30.511561, 114.4152599 30.5110778, 114.4153391 30.5110716, 114.4153898 30.5115548, 114.4153106 30.511561))",,public,"[1194992589, 1194992602, 1194992391, 1194992586, 1194992589]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495749,shelter,"POLYGON ((114.4104657 30.5130154, 114.4104641 30.5129562, 114.4105384 30.5129547, 114.41054 30.5130139, 114.4104657 30.5130154))",,yes,"[1194992433, 1194992515, 1194992572, 1194992446, 1194992433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495753,,"POLYGON ((114.4031958 30.5187079, 114.4031856 30.5186209, 114.4035574 30.5185881, 114.4035676 30.5186751, 114.4031958 30.5187079))",,yes,"[1194992550, 1194992569, 1194992491, 1194992541, 1194992550]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495754,public_building,"POLYGON ((114.400705 30.5135649, 114.4007345 30.513408, 114.4009518 30.5134386, 114.4009663 30.5133614, 114.4015537 30.5134441, 114.4015356 30.5135403, 114.4017598 30.5135719, 114.4017413 30.5136703, 114.4015102 30.5136377, 114.4015 30.5136919, 114.4014084 30.513679, 114.4014385 30.5135189, 114.4012722 30.5134955, 114.4012678 30.5135189, 114.4011938 30.5135085, 114.4011982 30.513485, 114.4010316 30.5134616, 114.4010043 30.513607, 114.400705 30.5135649))",西一楼,yes,"[1194992531, 1194992393, 1194992394, 1194992400, 1194992405, 1194992398, 1194992468, 1194992384, 1194992417, 1194992397, 9435865448, 9435865447, 9435865445, 9435865444, 9435865443, 9435865446, 1194992383, 1194992430, 1194992531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495755,public_building,"POLYGON ((114.4000111 30.5166305, 114.4000788 30.5162799, 114.400968 30.5164074, 114.4009003 30.516758, 114.4000111 30.5166305))",,yes,"[1194992373, 1194992520, 1194992533, 1194992368, 1194992373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495756,,"POLYGON ((114.4117798 30.5133757, 114.4117941 30.5133743, 114.4117906 30.5133469, 114.4118924 30.513337, 114.4119011 30.5134042, 114.4121474 30.5133801, 114.4121434 30.5133491, 114.4121241 30.5132011, 114.411626 30.5132497, 114.4116439 30.5133868, 114.4117124 30.5133801, 114.4117275 30.5134956, 114.4116832 30.5134999, 114.4116995 30.5136249, 114.4119257 30.5136028, 114.4119098 30.5134807, 114.411795 30.5134919, 114.4117798 30.5133757))",东六楼,yes,"[9435866211, 1194992472, 1194992583, 9435866214, 9435866213, 1198256598, 1198256595, 1198256583, 1194992474, 1194992600, 9435866212, 9435866210, 9435866206, 9435866205, 9435866207, 9435866208, 9435866209, 9435866211]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103495763,restaurant,"POLYGON ((114.4018802 30.5186521, 114.4018161 30.5180604, 114.4021825 30.5180307, 114.402171 30.5179249, 114.4022495 30.5179185, 114.4022583 30.5179997, 114.4023043 30.5180024, 114.4023418 30.5180178, 114.4023725 30.5180411, 114.4023863 30.5180768, 114.4024625 30.5180706, 114.4024693 30.5181338, 114.4023337 30.5181448, 114.4023408 30.5182099, 114.4024191 30.5182035, 114.4024369 30.5183684, 114.4024574 30.5183667, 114.40247 30.5184833, 114.4024788 30.5184826, 114.4024918 30.5186024, 114.4018802 30.5186521))",百景园餐厅,yes,"[1194992455, 1194992485, 1194992454, 1194992367, 1194992496, 1194992473, 9435865507, 1194992444, 9435865506, 1194992440, 9435865514, 1194992603, 1194992497, 9435865508, 9435865509, 9435865511, 9435865510, 9435865513, 9435865512, 1194992466, 1194992455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103757019,hospital,"POLYGON ((114.4268407 30.5108439, 114.4268807 30.5108406, 114.4268724 30.5107659, 114.4267133 30.5107792, 114.4267065 30.5107184, 114.4263303 30.5107497, 114.426343 30.5108637, 114.4263518 30.5109425, 114.4263607 30.5109967, 114.4264594 30.5109896, 114.4264562 30.5109591, 114.4265753 30.5109513, 114.4265718 30.5108946, 114.4265402 30.510896, 114.426536 30.510844, 114.4267076 30.5108337, 114.42671 30.5108548, 114.4267267 30.511004, 114.4267409 30.5110028, 114.4267469 30.5110569, 114.4266208 30.5110674, 114.4266298 30.5111482, 114.4268183 30.5111326, 114.4268093 30.5110524, 114.4268255 30.5110511, 114.4268194 30.5109963, 114.4268307 30.5109953, 114.4268385 30.5109982, 114.4269037 30.5108672, 114.4268407 30.5108439))",东校区医院,yes,"[9439385758, 1197937939, 1197937932, 1197937982, 1197937976, 1197937985, 9439385767, 9439385765, 9439385764, 9439385763, 9439385762, 9439385766, 11395851400, 11395851399, 9439385759, 1203939997, 1203940071, 9439385761, 9439385756, 9439385755, 9439385773, 9439385772, 9439385771, 9439385754, 9439385770, 9439385757, 9439385760, 9439385769, 9439385768, 9439385758]",,华中科技大学,,hospital,traditional_chinese_medicine,school,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103757021,public_building,"POLYGON ((114.4260425 30.5143507, 114.4259518 30.5135399, 114.4263784 30.5135042, 114.4264691 30.5143149, 114.4260425 30.5143507))",,yes,"[1197937935, 1197937956, 1197937964, 1197937980, 1197937935]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103757022,public_building,"POLYGON ((114.4254103 30.5143407, 114.4253934 30.5141956, 114.4254506 30.5141898, 114.4254417 30.5140223, 114.4256106 30.513685, 114.4257984 30.5136665, 114.4258708 30.5143019, 114.4254103 30.5143407))",,yes,"[1197937936, 1197937960, 1197937969, 1197937951, 1197937944, 1197937958, 1197937973, 1197937936]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103757127,public_building,"POLYGON ((114.4283025 30.5133684, 114.4282913 30.5132725, 114.4286182 30.5132441, 114.4286294 30.51334, 114.4283025 30.5133684))",,yes,"[1197940969, 1197940936, 1197940926, 1197940927, 1197940969]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103757131,,"POLYGON ((114.4284492 30.513142, 114.4284373 30.5130074, 114.428655 30.5129617, 114.4286783 30.5131506, 114.4284492 30.513142))",,yes,"[1197940947, 1197940931, 1197940962, 1197940961, 1197940947]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103757331,public_building,"POLYGON ((114.4313825 30.516207, 114.4313451 30.5158084, 114.4314725 30.5157995, 114.4315099 30.5161981, 114.4313825 30.516207))",医学图像信息中心,yes,"[1197948524, 1197948544, 1197948489, 1197948570, 1197948524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
