element_type,osmid,geometry,nodes,amenity,name,building,operator
way,98867853,"POLYGON ((114.4265667 30.5130464, 114.4265119 30.5126475, 114.4271805 30.5125793, 114.4272068 30.5127706, 114.4272353 30.5129782, 114.4265667 30.5130464))","[1143771196, 1143770999, 1143771099, 1197937974, 1143771201, 1143771196]",library,东校区图书馆,,
way,104635023,"POLYGON ((114.4056893 30.5143824, 114.405459 30.5144006, 114.405449 30.5143002, 114.4056929 30.5142819, 114.4056967 30.5143195, 114.4058928 30.5143049, 114.4058835 30.5142121, 114.4061221 30.5141942, 114.4061305 30.5142787, 114.4063374 30.5142632, 114.4063338 30.5142276, 114.4065787 30.5142093, 114.4065889 30.5143115, 114.4063583 30.5143297, 114.4063618 30.5143629, 114.4061448 30.51438, 114.406141 30.5143439, 114.4058947 30.5143633, 114.4058985 30.5143994, 114.4056927 30.5144156, 114.4056893 30.5143824))","[1206993250, 1206993238, 1143780521, 1206993279, 1206993239, 1206993240, 1143780501, 1143780497, 1206993261, 1206993267, 1206993262, 1143780529, 1206993243, 1206993268, 9435865312, 9435865309, 9435865308, 9435865307, 9435865310, 9435865311, 1206993250]",library,主校区图书馆老馆,yes,华中科技大学
way,104635024,"POLYGON ((114.4057326 30.5153173, 114.4057175 30.5151671, 114.4060395 30.5151429, 114.4060162 30.5149107, 114.4056969 30.5149346, 114.4056821 30.5147868, 114.4065113 30.5147246, 114.4065644 30.5152549, 114.4057326 30.5153173))","[1143780463, 1206993259, 1206993253, 1206993271, 1206993272, 1143780508, 1143780522, 1143780507, 1143780463]",library,主校区图书馆新馆 逸夫图书馆,yes,华中科技大学
way,1023153414,"POLYGON ((114.4063928 30.5145672, 114.4063749 30.5143969, 114.4054055 30.5144726, 114.4054107 30.5145224, 114.4053726 30.5145254, 114.4054588 30.5153383, 114.4057107 30.5153185, 114.4056529 30.5147735, 114.4056204 30.514776, 114.4056142 30.5147182, 114.4056819 30.5147129, 114.4056724 30.5146235, 114.4059209 30.5146041, 114.4059325 30.514714, 114.4060118 30.5147078, 114.4060167 30.5147548, 114.4061279 30.5147461, 114.4061114 30.5145892, 114.4063067 30.5145739, 114.4063112 30.5146166, 114.4062754 30.5146194, 114.4062871 30.5147304, 114.406409 30.5147209, 114.4063928 30.5145672))","[9435865297, 9435865306, 9435865305, 9435865293, 9435865304, 9435865303, 9435865302, 9435865287, 9435865286, 9435865292, 9435865284, 9435865285, 9435865301, 9435865298, 9435865290, 9435865291, 9435865299, 9435865300, 9435865296, 9435865288, 9435865289, 9435865295, 9435865294, 9435865297]",library,主校区图书馆新馆,yes,
