u,v,key,osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,ref,service,tunnel,access
109987942,4696697706,0,32119328,South 36th Street,pedestrian,False,False,11.213,,,"LINESTRING (-75.1947857 39.9531619, -75.1948071 39.9530624)",,,,,
109987942,4477512914,0,388533144,Walnut Street,primary,True,False,8.022,2,30 mph,"LINESTRING (-75.1947857 39.9531619, -75.1948782 39.9531752)",,,,,
109987942,4477512919,0,858153863,South 36th Street,residential,False,True,8.113,,,"LINESTRING (-75.1947857 39.9531619, -75.1947703 39.9532339)",,,,,
109987964,7918772087,0,35918074,South 37th Street,pedestrian,False,False,10.851,,,"LINESTRING (-75.1967591 39.9534048, -75.1967805 39.9533086)",,,,,
109987964,4477512926,0,388533144,Walnut Street,primary,True,False,7.992,2,30 mph,"LINESTRING (-75.1967591 39.9534048, -75.1968515 39.953417)",,,,,
109987964,4477512929,0,1222833879,South 37th Street,residential,False,True,8.053,,,"LINESTRING (-75.1967591 39.9534048, -75.1967458 39.9534765)",,,,,
109987975,4476162736,0,386547306,South 40th Street,residential,True,False,11.009,1,,"LINESTRING (-75.202605 39.9541292, -75.2026259 39.9540315)",,,,,
109987975,4476162740,0,1199657277,Walnut Street,primary,True,False,7.643,2,30 mph,"LINESTRING (-75.202605 39.9541292, -75.2026931 39.954142)",,PA 3,,,
109988671,4477512470,0,62203497,Walnut Street,primary,True,False,9.842,2,30 mph,"LINESTRING (-75.1840675 39.9518251, -75.1841814 39.9518396)",yes,,,,
109988671,4477512471,0,279870835,South 30th Street,residential,False,False,8.854,2,,"LINESTRING (-75.1840675 39.9518251, -75.1840501 39.9519036)",yes,,,,
109988671,7010176238,0,784598046,Lower South 30th Street,service,False,True,8.51,,,"LINESTRING (-75.1840675 39.9518251, -75.184052 39.9519007)",,,,,
109988671,780922534,0,"[784598040, 784598046]",Lower South 30th Street,"['residential', 'service']",False,False,18.708,,,"LINESTRING (-75.1840675 39.9518251, -75.1840866 39.9517321, -75.1841024 39.951659)",,,,,
110060705,3567693973,0,12166276,Sansom Street,residential,True,False,9.566,,,"LINESTRING (-75.1919544 39.9535791, -75.1920652 39.9535928)",,,,,
110060705,110060711,0,1222833875,South 34th Street,secondary,True,False,33.151,2,25 mph,"LINESTRING (-75.1919544 39.9535791, -75.1919669 39.9535006, -75.1919886 39.9533493, -75.1919974 39.9532828)",,,,,
110060711,4696697682,0,12157151,Moravian Street,service,False,False,8.289,,,"LINESTRING (-75.1919974 39.9532828, -75.1920934 39.9532947)",,,,,
110060711,360484025,0,1222833875,South 34th Street,secondary,True,False,7.048,2,25 mph,"LINESTRING (-75.1919974 39.9532828, -75.1920065 39.9532198)",,,,,
110060722,7918772170,0,32119363,,footway,False,True,8.768,,,"LINESTRING (-75.1924256 39.9512167, -75.1925272 39.951229)",,,,,
110060722,5947653503,0,388533145,South 34th Street,secondary,True,False,11.451,2,25 mph,"LINESTRING (-75.1924256 39.9512167, -75.1924467 39.951115)",,,,,
110060729,7918772160,0,50033054,Civic Center Boulevard,secondary,True,False,9.699,2,,"LINESTRING (-75.1925847 39.9504554, -75.1926072 39.9503699)",,,,,
110060729,3564863919,0,424799826,Spruce Street,secondary,False,True,7.245,3,25 mph,"LINESTRING (-75.1925847 39.9504554, -75.192501 39.9504441)",,,,,
110060729,3564863922,0,903721719,Spruce Street,secondary,False,True,9.473,2,30 mph,"LINESTRING (-75.1925847 39.9504554, -75.1926944 39.950469)",,,,,
110142236,4477512962,0,858153862,Ludlow Street,residential,True,False,7.522,1,25 mph,"LINESTRING (-75.1943127 39.9554188, -75.1943998 39.9554297)",,,,,
110142236,8110066833,0,1222833874,South 36th Street,residential,False,False,5.256,,,"LINESTRING (-75.1943127 39.9554188, -75.1943222 39.9553721)",,,,,
110142269,4696697707,0,32119915,Sansom Street,residential,True,False,6.727,1,25 mph,"LINESTRING (-75.1946293 39.9539029, -75.1947082 39.9539042)",,,,,
110142269,4696697701,0,858153863,South 36th Street,residential,False,False,5.891,,,"LINESTRING (-75.1946293 39.9539029, -75.1946403 39.9538506)",,,,,
110142269,4477512947,0,858153863,South 36th Street,residential,False,True,76.151,,,"LINESTRING (-75.1946293 39.9539029, -75.1944846 39.9545787)",,,,,
110142290,1684000554,0,32108143,Locust Walk,pedestrian,False,False,55.003,,,"LINESTRING (-75.1950364 39.9520049, -75.1944013 39.9519174)",,,,,
110142290,360481965,0,32108143,Locust Walk,pedestrian,False,True,44.511,,,"LINESTRING (-75.1950364 39.9520049, -75.1955524 39.9520663)",,,,,
110142290,360347524,0,32119328,South 36th Street,pedestrian,False,False,40.174,,,"LINESTRING (-75.1950364 39.9520049, -75.1951137 39.9516485)",,,,,
110142290,360480642,0,32119328,South 36th Street,pedestrian,False,True,44.018,,,"LINESTRING (-75.1950364 39.9520049, -75.1949517 39.9523954)",,,,,
110142306,7874108064,0,858153864,Spruce Street,secondary,False,False,7.82,2,30 mph,"LINESTRING (-75.1952991 39.9507932, -75.1952086 39.9507817)",,,,,
110142306,3272478892,0,12168663,Spruce Street,secondary,False,True,167.631,2,30 mph,"LINESTRING (-75.1952991 39.9507932, -75.1971178 39.9510159, -75.1972413 39.9510296)",,,,,
110142306,7874108067,0,"[880018089, 12187657]",South 36th Street Walk,"['pedestrian', 'footway']",False,"[False, True]",9.704,,,"LINESTRING (-75.1952991 39.9507932, -75.1953058 39.9507603, -75.1953127 39.9507311, -75.1953176 39.9507071)",,,,,
110142306,8185907031,0,"[32119328, 880018089]","['South 36th Street Walk', 'South 36th Street']","['pedestrian', 'footway']",False,True,8.488,,,"LINESTRING (-75.1952991 39.9507932, -75.195289 39.9508401, -75.1952828 39.9508685)",,,,,
110153531,11108334658,0,194358833,South 37th Street,residential,False,True,3.399,,,"LINESTRING (-75.196603 39.954149, -75.1965968 39.9541792)",,,,,
110153531,11108334657,0,1222833879,South 37th Street,residential,False,False,3.21,,,"LINESTRING (-75.196603 39.954149, -75.196609 39.9541205)",,,,,
110153531,7918772103,0,1222833880,Sansom Street,residential,True,False,7.929,1,25 mph,"LINESTRING (-75.196603 39.954149, -75.1966921 39.9541695)",,,,,
110153566,1769666654,0,32108143,Locust Walk,pedestrian,False,False,84.813,,,"LINESTRING (-75.1969955 39.9522444, -75.1960133 39.9521225)",,,,,
110153566,2009387998,0,32108143,Locust Walk,pedestrian,False,True,32.676,,,"LINESTRING (-75.1969955 39.9522444, -75.1973738 39.9522919)",,,,,
110153566,3564863828,0,32119090,South 37th Street,pedestrian,False,False,43.343,,,"LINESTRING (-75.1969955 39.9522444, -75.1970733 39.9518592)",,,,,
110153566,7918772087,0,35918074,South 37th Street,pedestrian,False,True,119.745,,,"LINESTRING (-75.1969955 39.9522444, -75.1968014 39.9532051, -75.1967805 39.9533086)",,,,,
110191773,7342289438,0,386547306,South 40th Street,residential,True,False,8.38,1,,"LINESTRING (-75.202847 39.9529811, -75.2028627 39.9529067)",,,,,
110191773,3559370582,0,1222839583,Locust Street,residential,False,True,7.72,2,,"LINESTRING (-75.202847 39.9529811, -75.2029362 39.9529931)",,,,,
