element_type,osmid,geometry,nodes,intermittent,name,natural,salt,water,area,athletics,leisure,sport
way,32110446,"POLYGON ((-75.1980454 39.9491773, -75.1980969 39.9492036, -75.1981055 39.9492497, -75.1981141 39.9493023, -75.1981484 39.9493418, -75.1981913 39.9493944, -75.1982943 39.9494076, -75.1983287 39.9493944, -75.1983544 39.9493747, -75.1983458 39.9493352, -75.1983115 39.9492892, -75.1982772 39.9492497, -75.1982188 39.9492198, -75.1981741 39.949197, -75.1981227 39.9491773, -75.1980712 39.9491641, -75.1980454 39.9491773))","[360371415, 360371417, 360371419, 360371424, 360371428, 360371431, 360371434, 360371438, 360371439, 360371441, 360371443, 360371445, 10960198698, 360371447, 360371450, 360371453, 360371415]",no,Biology Pond,water,no,pond,,,,
way,629743835,"POLYGON ((-75.1908378 39.9494076, -75.1908575 39.9494096, -75.190877 39.9494068, -75.1908944 39.9493995, -75.1909079 39.9493884, -75.1909162 39.9493745, -75.1909184 39.9493594, -75.1909142 39.9493445, -75.1909042 39.9493314, -75.1908881 39.9493207, -75.1908682 39.9493148, -75.1908469 39.9493144, -75.1908266 39.9493196, -75.1908098 39.9493296, -75.1907984 39.9493434, -75.1907937 39.9493594, -75.1907963 39.9493756, -75.1908058 39.9493902, -75.19082 39.9494009, -75.1908378 39.9494076))","[5947511658, 5947511659, 5947511660, 5947511661, 5947511662, 5947511663, 5947511664, 5947511665, 5947511647, 5947511648, 5947511651, 5947511652, 5947511653, 5947511654, 5947511655, 5947511656, 5947511657, 5947511649, 5947511650, 5947511658]",,,water,,,,,,
way,880676937,"POLYGON ((-75.1904596 39.9505473, -75.1904244 39.9505632, -75.1904024 39.9505345, -75.1904376 39.9505186, -75.1904596 39.9505473))","[8191176598, 8191176601, 8191176604, 8191176599, 8191176598]",,,water,,,yes,steeplechase,track,athletics
