element_type,osmid,nodes,amenity,building,building:levels,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,internet_access,internet_access:fee,level,operator,operator:type
way,230847105,"[2392834634, 2401131077, 2392834676, 2392834672, 2401131152, 2392834631, 2409473262, 2392834634]",library,university,6,图书馆北馆,图书馆北馆,图书馆北馆,圖書館北館,"POLYGON ((113.9309178 22.5362146, 113.9308936 22.5363289, 113.9308069 22.5367391, 113.9302215 22.5366335, 113.9303087 22.5362209, 113.9303324 22.5361089, 113.9306406 22.5361646, 113.9309178 22.5362146))",,,,,
way,237484981,"[2397047433, 2397047417, 2397047446, 2397047447, 2397047444, 2397047453, 2397047432, 2397047443, 2397047440, 2397047449, 2397047427, 2623164367, 2397047419, 2397047421, 2397047436, 2397047431, 2397047420, 2397047434, 2397047452, 2397047433]",library,university,5,图书馆南馆,图书馆南馆,图书馆南馆,圖書館南館,"POLYGON ((113.9316509 22.5346573, 113.9308698 22.5345238, 113.9308752 22.534492, 113.9308111 22.5344822, 113.9308055 22.5345124, 113.9306138 22.534482, 113.9306627 22.5342195, 113.9310505 22.534283, 113.9310609 22.5342294, 113.9308369 22.5341921, 113.9308682 22.5340247, 113.9311861 22.5340787, 113.9315795 22.5341456, 113.9315729 22.5341823, 113.9316178 22.5341883, 113.9315972 22.5342945, 113.9316146 22.5342982, 113.9315993 22.5343703, 113.9317059 22.5343889, 113.9316509 22.5346573))",wlan,no,5,,
way,317029242,"[11187277090, 11187277091, 11187277092, 11187277093, 11187277090]",library,yes,,档案馆,档案馆,档案馆,檔案館,"POLYGON ((113.9310731 22.5369858, 113.9316509 22.5370916, 113.9317099 22.5368171, 113.9311321 22.5367111, 113.9310731 22.5369858))",,,,深圳大学,government
