element_type,osmid,geometry,amenity,name,nodes,building
node,8579025313,POINT (120.1735452 35.941626),restaurant,民族餐厅,,
way,924350765,"POLYGON ((120.1676888 35.9405835, 120.1680456 35.9400334, 120.1681228 35.9399459, 120.1681957 35.9398981, 120.1682686 35.9398686, 120.1683506 35.93986, 120.1684206 35.9398768, 120.1685043 35.9399188, 120.16855 35.9399636, 120.1685746 35.9400041, 120.1685836 35.9400563, 120.1685779 35.9401136, 120.1687025 35.9399967, 120.1687763 35.9400507, 120.1688497 35.9401044, 120.1686078 35.9403612, 120.1683909 35.9405915, 120.1680772 35.9409252, 120.1680555 35.9409158, 120.1679522 35.9410128, 120.1676956 35.9408541, 120.1677449 35.940788, 120.1677879 35.9407303, 120.1677568 35.940705, 120.1678021 35.94065, 120.1676888 35.9405835))",restaurant,荟萃苑餐厅,"[8578986709, 8578986710, 8661053585, 8578986711, 8661053584, 8578986712, 8661053583, 8578986713, 8661053586, 8661053587, 8578986714, 8578986715, 8578986716, 8629536052, 8579025217, 8629536053, 8629536054, 8579025218, 8579025219, 8579025220, 8579025221, 8642622274, 8579025222, 8579025223, 8579025224, 8578986709]",yes
way,924350766,"POLYGON ((120.1676937 35.9430726, 120.1679254 35.9432083, 120.168118 35.9429882, 120.1676864 35.9427387, 120.1678122 35.94261, 120.1678808 35.9426503, 120.1679764 35.9425426, 120.1677841 35.942432, 120.1678917 35.9423176, 120.1674998 35.9420924, 120.167379 35.9422217, 120.1672979 35.9421739, 120.1672184 35.9422666, 120.1671122 35.9423799, 120.1670327 35.9423362, 120.1668438 35.9425527, 120.1674954 35.9429495, 120.1675585 35.9428898, 120.1677574 35.9429993, 120.1676937 35.9430726))",restaurant,玉兰苑餐厅,"[8579025225, 8579025226, 8579025227, 8579025228, 8579025229, 8579025230, 8579025234, 8579025235, 8579025236, 8579025237, 8579025238, 8579025239, 8629536081, 8579025244, 8579025245, 8579025240, 8661053578, 8661053579, 8661053580, 8579025225]",yes
way,924350772,"POLYGON ((120.1732859 35.9418105, 120.1739116 35.9421818, 120.1741552 35.9419202, 120.1741945 35.941878, 120.1743351 35.9417311, 120.1738405 35.9414408, 120.1736964 35.9413451, 120.1735892 35.9414667, 120.1732859 35.9418105))",restaurant,唐岛湾餐厅,"[8579025308, 8579025309, 8642622502, 8629536077, 8579025310, 8629536075, 8579025311, 8629536076, 8579025308]",yes
way,924350775,"POLYGON ((120.1758598 35.9410846, 120.1760325 35.940912, 120.1764673 35.9411656, 120.1764325 35.9412043, 120.1769854 35.9415045, 120.1768881 35.9416124, 120.1763614 35.9413078, 120.1763203 35.9413524, 120.1758598 35.9410846))",restaurant,学苑餐厅,"[8579025329, 8579025330, 8579025331, 8579025332, 8579025333, 8579025334, 8579025335, 8579025336, 8579025329]",yes
