element_type,osmid,amenity,geometry,nodes
node,9122015334,bicycle_parking,POINT (120.169815 35.9401612),
node,9122015335,bicycle_parking,POINT (120.1699283 35.9398804),
node,9122015336,bicycle_parking,POINT (120.1715846 35.9413389),
node,9122015337,bicycle_parking,POINT (120.1707388 35.9448805),
node,9122015338,bicycle_parking,POINT (120.17076 35.9443876),
node,9122015339,bicycle_parking,POINT (120.1704131 35.9455509),
node,9122015340,bicycle_parking,POINT (120.1657025 35.9426799),
way,930702739,bicycle_parking,"POLYGON ((120.1695146 35.9427993, 120.1694621 35.9427624, 120.1693757 35.9426295, 120.1695007 35.942492, 120.1695281 35.9425099, 120.1696858 35.9425957, 120.1695146 35.9427993))","[8624585902, 8629536262, 8629536263, 8629536264, 8579066673, 8579066674, 8624585902]"
