u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,width,access,tunnel,bridge,maxspeed,service
2317863624,8579025990,0,222840602,residential,False,True,17.424,"LINESTRING (120.1681774 35.9395266, 120.1682579 35.9393841)",芳华路,2,,,,,,
2317863624,2317863617,0,222840503,residential,False,True,147.482,"LINESTRING (120.1681774 35.9395266, 120.1676388 35.9392096, 120.1668547 35.9387441)",华东路,2,,,,,,
2317863625,8668650570,0,222840503,residential,False,False,49.783,"LINESTRING (120.1690899 35.9400842, 120.1695204 35.9403652)",华东路,2,,,,,,
2317863625,8579025901,0,222840503,residential,False,True,33.957,"LINESTRING (120.1690899 35.9400842, 120.1687835 35.9399061)",华东路,2,,,,,,
2317863625,8579025922,0,222840522,residential,False,False,44.15,"LINESTRING (120.1690899 35.9400842, 120.1693957 35.9397738)",荟萃路,2,,,,,,
2317863625,8579026104,0,222840522,residential,False,True,40.256,"LINESTRING (120.1690899 35.9400842, 120.1688328 35.9403804)",荟萃路,2,,,,,,
2317863626,8579025636,0,222840521,residential,False,False,39.316,"LINESTRING (120.1661158 35.9428052, 120.1657787 35.9425804)",,,,,,,,
2317863626,8579025628,0,222840523,service,False,True,14.628,"LINESTRING (120.1661158 35.9428052, 120.1662242 35.9427072)",,,,,,,,
2317863626,8579025622,0,222840521,residential,False,True,54.065000000000005,"LINESTRING (120.1661158 35.9428052, 120.16621 35.9429821, 120.1662676 35.9431529, 120.1662648 35.9432694)",,,,,,,,
2317863628,3030351258,0,222840503,residential,False,False,69.709,"LINESTRING (120.170399 35.9409275, 120.1710424 35.9412763)",华东路,2,,,,,,
2317863628,7984106852,0,222840503,residential,False,True,14.479,"LINESTRING (120.170399 35.9409275, 120.1702778 35.9408419)",华东路,2,,,,,,
2317863628,8642622535,0,222840516,residential,True,False,89.075,"LINESTRING (120.170399 35.9409275, 120.1698271 35.9415812)",凤华路,,,,,,,
2317863629,2317864096,0,222840504,residential,False,True,80.75,"LINESTRING (120.1677909 35.9369651, 120.1685154 35.9373932)",致远路,2,,,,,,
2317863629,7983909289,0,222840512,residential,False,False,100.206,"LINESTRING (120.1677909 35.9369651, 120.1673079 35.937777)",黄河路,2,,,,,,
2317863629,2317864104,0,"[222840512, 222840604]",residential,False,"[False, True]",171.103,"LINESTRING (120.1677909 35.9369651, 120.1682533 35.9363379, 120.1686384 35.936478, 120.1689504 35.9366248, 120.1691385 35.9367096)","['黄河路', '黄海路']",2,,,,,,
2317863631,8579026202,0,222840502,residential,False,False,19.082,"LINESTRING (120.1733551 35.939148, 120.1735237 35.939252)",,,,,,,,
2317863631,3030351256,0,222840604,residential,False,True,27.751,"LINESTRING (120.1733551 35.939148, 120.1731246 35.9389823)",黄海路,2,,,,,,
2317863631,7984106844,0,930702734,tertiary,True,False,92.069,"LINESTRING (120.1733551 35.939148, 120.1727597 35.9398212)",光华大道,,,,,,,
2317863635,8579025941,0,222840508,service,False,False,19.486,"LINESTRING (120.1670279 35.9415892, 120.1672053 35.9416896)",,,,,,,,
2317863635,8579025958,0,222840602,residential,False,False,14.842,"LINESTRING (120.1670279 35.9415892, 120.166947 35.9417055)",芳华路,2,,,,,,
2317863635,8579025940,0,222840602,residential,False,True,33.514,"LINESTRING (120.1670279 35.9415892, 120.1671926 35.9413189)",芳华路,2,,,,,,
2317863636,8579025593,0,222840503,residential,False,True,17.672,"LINESTRING (120.1712888 35.9414157, 120.171126 35.9413269)",华东路,2,,,,,,
2317863636,7984106821,0,222840503,residential,False,False,46.95099999999999,"LINESTRING (120.1712888 35.9414157, 120.1716079 35.9416154, 120.1716994 35.941676)",华东路,2,,,,,,
2317863638,8629536098,0,222840506,residential,False,True,47.786,"LINESTRING (120.1753022 35.9409703, 120.1749894 35.9413175)",,,,,,,,
2317863638,7984070270,0,856272950,residential,False,False,29.679,"LINESTRING (120.1753022 35.9409703, 120.1755643 35.9411322)",,,,,,,,
2317863638,7984070266,0,856272950,residential,False,True,96.759,"LINESTRING (120.1753022 35.9409703, 120.1744327 35.9404588)",,,,,,,,
2317863639,2317863644,0,222840518,service,False,True,60.682,"LINESTRING (120.1701296 35.9421795, 120.1699568 35.9420756, 120.1695872 35.9418555)",,,,,,,,
2317863639,8579025594,0,924350802,service,False,False,27.093,"LINESTRING (120.1701296 35.9421795, 120.1700707 35.9422962, 120.1701768 35.9423765)",,,,,,,,
2317863639,8579025595,0,924350802,service,False,True,24.514000000000003,"LINESTRING (120.1701296 35.9421795, 120.1702349 35.9421139, 120.1703483 35.9421796)",,,,,,,,
2317863643,2317863618,0,222840515,residential,False,False,34.25,"LINESTRING (120.1667736 35.9425815, 120.1664561 35.9424118)",北油路,2,,,,,,
2317863643,7984106884,0,222840515,residential,False,True,66.603,"LINESTRING (120.1667736 35.9425815, 120.1673508 35.9429562)",北油路,2,,,,,,
2317863643,8579025942,0,222840522,residential,False,False,7.233,"LINESTRING (120.1667736 35.9425815, 120.1668167 35.9425266)",荟萃路,2,,,,,,
2317863643,8579025623,0,924350808,footway,False,False,53.271,"LINESTRING (120.1667736 35.9425815, 120.1663768 35.9429369)",,,,,,,,
2317863644,8642622534,0,222840516,residential,True,False,42.806,"LINESTRING (120.1695872 35.9418555, 120.1693008 35.9421628)",凤华路,,,,,,,
2317863644,2317863639,0,222840518,service,False,False,60.682,"LINESTRING (120.1695872 35.9418555, 120.1699568 35.9420756, 120.1701296 35.9421795)",,,,,,,,
2317863648,8579025956,0,222840513,service,False,False,86.048,"LINESTRING (120.1673833 35.9418053, 120.1681541 35.9422629)",,,,,,,,
2317863648,8579026100,0,222840522,residential,False,False,43.494,"LINESTRING (120.1673833 35.9418053, 120.1677287 35.9415318)",荟萃路,2,,,,,,
