element_type,osmid,amenity,layer,parking,geometry,nodes,fee,access,capacity,operator,operator:type,surface
node,8629536352,parking,-1,underground,POINT (120.1758671 35.9412329),,,,,,,
node,8771903177,parking,0,underground,POINT (120.173994 35.9449202),,,,,,,
way,924350768,parking,,surface,"POLYGON ((120.1707093 35.9443027, 120.1709667 35.944016, 120.1713938 35.9442697, 120.171147 35.9445598, 120.1707093 35.9443027))","[8579025260, 8579025261, 8579025262, 8579025263, 8579025260]",no,,,,,
way,924350924,parking,,surface,"POLYGON ((120.173755 35.9412487, 120.1745196 35.9416921, 120.1747655 35.9414328, 120.1739959 35.9409815, 120.173755 35.9412487))","[8579026123, 8579026124, 8579026125, 8579026126, 8579026123]",no,,,,,
way,930702708,parking,,,"POLYGON ((120.1714337 35.9470595, 120.1721622 35.9474597, 120.1724192 35.9471569, 120.1717655 35.946812, 120.1716191 35.9468489, 120.1714337 35.9470595))","[8629536117, 8629536118, 8629536119, 8629536120, 8629536121, 8629536117]",,,,,,
way,930702747,parking,,,"POLYGON ((120.1654504 35.9406924, 120.1655072 35.9407117, 120.1655903 35.9407398, 120.165722 35.9404501, 120.1655854 35.9404014, 120.1654504 35.9406924))","[8629536281, 8629536285, 8629536282, 8629536283, 8629536284, 8629536281]",,,,,,
way,982163075,parking,,surface,"POLYGON ((120.1684134 35.9375977, 120.1690954 35.9379776, 120.1692037 35.9378782, 120.1685361 35.9374692, 120.1684134 35.9375977))","[9083456312, 9083456313, 9083456314, 9083456315, 9083456312]",,yes,20,China University of Petroleum,university,paving_stones
