element_type,osmid,nodes,amenity,building,geometry
way,103394417,"[1193915334, 1193915328, 1193915356, 1193915343, 1193915334]",food_court,yes,"POLYGON ((114.4099235 30.5190789, 114.4098689 30.5186336, 114.4100873 30.5186136, 114.4101418 30.5190589, 114.4099235 30.5190789))"
way,1023153565,"[9435866189, 9435866188, 9435866187, 9435866186, 9435866189]",food_court,yes,"POLYGON ((114.4097744 30.5190633, 114.4097638 30.5189845, 114.4096972 30.5189913, 114.4097079 30.5190701, 114.4097744 30.5190633))"
way,1023153566,"[9435866193, 9435866192, 9435866191, 9435866190, 9435866193]",food_court,yes,"POLYGON ((114.4097381 30.518793, 114.4097274 30.5187142, 114.4096609 30.5187209, 114.4096716 30.5187997, 114.4097381 30.518793))"
